prob,cell_id
0.06,1733682
0.06,1733683
0.06,1733684
0.06,1733685
0.06,1737298
0.06,1737299
0.06,1737300
0.06,1737301
0.06,1737302
0.06,1740915
0.06,1740916
0.06,1740917
0.06,1740918
0.06,1744532
0.06,1744533
0.06,1744534
0.06,1744535
0.06,1748148
0.06,1748149
0.06,1748150
0.06,1748151
0.06,1748152
0.06,1751765
0.06,1751766
0.06,1751767
0.06,1751768
0.26,1733686
0.26,1733687
0.26,1733688
0.26,1733689
0.26,1733690
0.26,1737303
0.26,1737304
0.26,1737305
0.26,1737306
0.26,1740919
0.26,1740920
0.26,1740921
0.26,1740922
0.26,1740923
0.26,1744536
0.26,1744537
0.26,1744538
0.26,1748153
0.26,1748154
0.26,1751769
0.26,1751770
0.26,1751771
0.27,1733691
0.27,1737307
0.19,1755377
0.19,1755378
0.19,1755379
0.19,1755380
0.19,1758993
0.19,1758994
0.19,1758995
0.19,1758996
0.19,1758997
0.19,1762610
0.19,1762611
0.19,1762612
0.19,1762613
0.19,1766226
0.19,1766227
0.19,1766228
0.19,1766229
0.19,1766230
0.19,1769843
0.19,1769844
0.19,1769845
0.19,1769846
0.07,1773451
0.07,1773452
0.07,1773453
0.07,1773454
0.07,1777067
0.07,1777068
0.07,1777069
0.07,1777070
0.07,1777071
0.07,1780684
0.07,1780685
0.07,1780686
0.07,1780687
0.07,1784300
0.07,1784301
0.07,1784302
0.07,1784303
0.07,1784304
0.07,1787917
0.07,1787918
0.07,1787919
0.07,1787920
0.07,1791533
0.07,1791534
0.07,1791535
0.07,1791536
0.07,1791537
0.48,1773460
0.48,1773461
0.48,1773462
0.48,1773463
0.48,1777076
0.48,1777077
0.48,1777078
0.48,1777079
0.48,1777080
0.48,1780693
0.48,1780694
0.48,1780695
0.48,1780696
0.48,1784309
0.48,1784310
0.48,1784311
0.48,1784312
0.48,1784313
0.48,1787926
0.48,1787927
0.48,1787928
0.48,1791542
0.48,1791543
0.48,1791544
0.05,1798756
0.05,1798757
0.05,1802371
0.05,1802372
0.05,1802373
0.05,1805986
0.05,1805987
0.05,1805988
0.05,1805989
0.05,1805990
0.05,1809603
0.05,1809604
0.05,1809605
0.05,1809606
0.05,1813219
0.05,1813220
0.05,1813221
0.05,1813222
0.05,1813223
0.05,1795141
0.05,1795142
0.05,1795145
0.05,1798758
0.05,1798759
0.05,1798760
0.05,1798761
0.05,1802374
0.05,1802375
0.05,1802376
0.05,1802377
0.05,1802378
0.05,1805991
0.05,1805992
0.05,1805993
0.05,1805994
0.05,1809607
0.05,1809608
0.05,1809609
0.05,1809610
0.05,1809611
0.05,1813224
0.05,1813225
0.05,1813226
0.05,1813227
0.14,1795146
0.14,1795147
0.14,1795148
0.14,1795149
0.14,1798762
0.14,1798763
0.14,1798764
0.14,1798765
0.14,1798766
0.14,1802379
0.14,1802380
0.14,1802381
0.14,1802382
0.14,1805995
0.14,1805996
0.14,1805997
0.14,1805998
0.14,1805999
0.14,1809612
0.14,1809613
0.14,1809614
0.14,1809615
0.14,1813228
0.14,1813229
0.14,1813230
0.14,1813231
0.14,1813232
0.01,1834913
0.11,1816833
0.11,1816834
0.11,1816835
0.11,1820449
0.11,1820450
0.11,1820451
0.11,1820452
0.11,1824066
0.11,1824067
0.11,1824068
0.11,1827682
0.11,1827683
0.11,1827684
0.11,1827685
0.11,1831298
0.11,1831299
0.11,1831300
0.11,1831301
0.11,1834914
0.11,1834915
0.11,1834916
0.11,1834917
0.11,1834918
0.02,1852987
0.06,1849375
0.06,1852990
0.06,1852991
0.06,1852992
0.14,1838529
0.14,1838530
0.14,1842143
0.14,1842145
0.14,1842146
0.14,1845759
0.14,1845760
0.14,1845761
0.14,1845762
0.14,1845763
0.14,1849376
0.14,1849377
0.14,1849378
0.14,1849379
0.14,1849380
0.14,1852993
0.14,1852994
0.14,1852995
0.14,1852996
0.13,1838531
0.13,1838532
0.13,1838533
0.13,1838534
0.13,1842147
0.13,1842148
0.13,1842149
0.13,1842150
0.13,1842151
0.13,1845764
0.13,1845765
0.13,1845766
0.13,1845767
0.13,1849381
0.13,1849382
0.13,1849383
0.13,1849384
0.13,1852997
0.13,1852998
0.13,1852999
0.13,1853000
0.13,1853001
0.11,1856601
0.11,1856602
0.11,1856603
0.11,1856604
0.11,1860218
0.11,1860219
0.11,1860220
0.11,1863835
0.11,1863836
0.11,1863837
0.11,1867451
0.11,1867452
0.11,1867453
0.11,1871067
0.11,1871068
0.11,1871069
0.11,1871070
0.11,1874683
0.11,1874684
0.11,1874685
0.11,1874686
0.11,1874687
0.19,1856605
0.19,1856606
0.19,1856607
0.19,1856608
0.19,1860221
0.19,1860222
0.19,1860223
0.19,1860224
0.19,1860225
0.19,1863838
0.19,1863839
0.19,1863840
0.19,1863841
0.19,1867454
0.19,1867455
0.19,1867456
0.19,1867457
0.19,1867458
0.19,1871071
0.19,1871072
0.19,1871073
0.19,1871074
0.19,1874688
0.19,1874689
0.19,1874690
0.19,1874691
0.34,1860362
0.34,1860363
0.34,1860364
0.34,1863978
0.34,1863979
0.34,1863980
0.34,1863981
0.34,1867595
0.34,1867596
0.34,1867597
0.09,1878299
0.09,1881914
0.09,1881915
0.09,1885531
0.09,1885532
0.09,1889147
0.09,1889148
0.09,1892763
0.09,1892764
0.09,1892765
0.09,1896379
0.09,1896380
0.09,1896381
0.14,1878300
0.14,1878301
0.14,1878302
0.14,1878303
0.14,1881916
0.14,1881917
0.14,1881918
0.14,1881919
0.14,1881920
0.14,1885533
0.14,1885534
0.14,1885535
0.14,1885536
0.14,1889149
0.14,1889150
0.14,1889151
0.14,1889152
0.14,1889153
0.14,1892766
0.14,1892767
0.14,1892768
0.14,1892769
0.14,1896382
0.14,1896383
0.14,1896384
0.14,1896385
0.14,1896386
0.1,1899995
0.1,1899996
0.1,1899997
0.1,1899998
0.1,1903611
0.1,1903612
0.1,1903613
0.1,1903614
0.1,1903615
0.1,1907228
0.1,1907229
0.1,1907230
0.1,1907231
0.1,1910844
0.1,1910845
0.1,1910846
0.1,1910847
0.1,1910848
0.1,1914461
0.1,1914462
0.1,1914463
0.1,1914464
0.1,1918077
0.1,1918078
0.1,1918079
0.1,1918080
0.1,1918081
0.14,1921694
0.14,1921695
0.14,1921696
0.14,1921697
0.14,1921698
0.14,1925311
0.14,1925312
0.14,1925313
0.14,1925314
0.14,1928927
0.14,1928928
0.14,1928929
0.14,1928930
0.14,1928931
0.14,1932544
0.14,1932545
0.14,1932546
0.14,1932547
0.14,1936160
0.14,1936161
0.14,1936162
0.14,1936163
0.14,1936164
0.14,1939777
0.14,1939778
0.14,1939779
0.14,1939780
0.09,1943339
0.09,1943340
0.09,1943341
0.09,1943342
0.09,1946955
0.09,1946956
0.09,1946957
0.09,1946958
0.09,1946959
0.09,1950572
0.09,1950573
0.09,1950574
0.09,1950575
0.09,1954188
0.09,1954189
0.09,1954190
0.09,1954191
0.09,1954192
0.09,1957805
0.09,1957806
0.09,1957807
0.09,1957808
0.09,1961421
0.09,1961422
0.09,1961423
0.09,1961424
0.09,1961425
0.28,1943343
0.28,1943344
0.28,1943345
0.28,1943346
0.28,1943347
0.28,1946960
0.28,1946961
0.28,1946962
0.28,1946963
0.28,1950576
0.28,1950577
0.28,1950578
0.28,1950579
0.28,1950580
0.28,1954193
0.28,1954194
0.28,1954195
0.28,1954196
0.28,1957809
0.28,1957811
0.28,1957812
0.28,1957813
0.28,1961426
0.28,1961428
0.28,1961429
0.28,1961430
0.35,1943348
0.35,1943349
0.35,1943350
0.35,1943351
0.35,1946964
0.35,1946965
0.35,1946966
0.35,1946967
0.35,1946968
0.35,1950581
0.35,1950582
0.35,1950583
0.35,1950584
0.35,1954197
0.35,1954198
0.35,1954199
0.35,1954200
0.35,1954201
0.35,1957814
0.35,1957815
0.35,1957816
0.35,1957817
0.35,1957818
0.35,1961431
0.35,1961432
0.35,1961433
0.35,1961434
0.3,1946970
0.3,1946972
0.3,1950585
0.3,1950586
0.3,1950587
0.3,1950588
0.3,1950589
0.3,1954202
0.3,1954203
0.3,1954204
0.3,1954205
0.3,1957819
0.3,1957820
0.3,1957821
0.3,1957822
0.3,1961435
0.3,1961436
0.3,1961437
0.3,1961438
0.3,1961439
0.31,1957823
0.31,1961440
0.31,1957833
0.31,1957834
0.31,1957835
0.31,1957836
0.31,1961449
0.31,1961450
0.31,1961451
0.31,1961452
0.31,1961453
0.29,1957837
0.29,1961454
0.29,1961455
0.21,1943394
0.21,1943395
0.21,1943396
0.21,1943397
0.21,1947010
0.21,1947011
0.21,1947012
0.21,1947013
0.21,1947014
0.21,1950627
0.21,1950628
0.21,1950629
0.21,1950630
0.21,1954244
0.21,1954245
0.21,1954246
0.21,1954247
0.21,1957861
0.21,1957862
0.21,1957863
0.21,1961478
0.21,1961479
0.21,1961480
0.03,1965033
0.03,1965034
0.03,1965035
0.03,1965036
0.03,1965037
0.03,1968650
0.03,1968651
0.03,1968652
0.03,1968653
0.03,1968654
0.03,1972267
0.03,1972268
0.03,1972269
0.03,1972270
0.03,1975883
0.03,1975884
0.03,1975885
0.03,1975886
0.03,1975887
0.03,1979500
0.03,1979501
0.03,1979502
0.03,1979503
0.33,1965056
0.33,1965057
0.33,1968673
0.33,1968674
0.33,1972290
0.33,1972291
0.33,1972292
0.33,1972293
0.33,1975906
0.33,1975907
0.33,1975908
0.33,1975909
0.33,1975910
0.33,1979523
0.33,1979524
0.33,1979525
0.33,1979526
0.35,1965064
0.35,1965065
0.35,1968678
0.35,1968679
0.35,1968680
0.35,1968681
0.35,1972294
0.35,1972295
0.35,1972296
0.35,1972297
0.35,1972298
0.35,1975911
0.35,1975912
0.35,1975913
0.35,1975914
0.35,1979527
0.35,1979528
0.35,1979529
0.35,1979530
0.35,1979531
0.38,1965066
0.38,1965067
0.38,1965068
0.38,1965069
0.38,1968682
0.38,1968683
0.38,1968684
0.38,1968685
0.38,1968686
0.38,1972299
0.38,1972300
0.38,1972301
0.38,1972302
0.38,1975915
0.38,1975916
0.38,1975917
0.38,1975918
0.38,1975919
0.38,1979532
0.38,1979533
0.38,1979534
0.38,1979535
0.38,1979536
0.35,1965070
0.35,1965071
0.35,1965072
0.35,1965073
0.35,1968687
0.35,1968688
0.35,1968689
0.35,1968690
0.35,1972303
0.35,1972304
0.35,1972305
0.35,1972306
0.35,1972307
0.35,1975920
0.35,1975921
0.35,1975922
0.35,1975923
0.35,1975924
0.35,1979537
0.35,1979538
0.35,1979539
0.35,1979540
0.34,1975925
0.34,1979541
0.34,1979542
0.29,1965094
0.29,1965095
0.29,1965096
0.29,1965097
0.29,1968711
0.29,1968712
0.29,1968713
0.29,1972328
0.29,1972329
0.29,1972330
0.29,1975945
0.29,1975946
0.29,1979562
0.29,1979563
0.25,1965098
0.25,1965099
0.25,1965100
0.25,1965101
0.25,1968714
0.25,1968715
0.25,1968716
0.25,1968717
0.25,1968718
0.25,1972331
0.25,1972332
0.25,1972333
0.25,1972334
0.25,1975947
0.25,1975948
0.25,1975949
0.25,1975950
0.25,1975951
0.25,1979564
0.25,1979565
0.25,1979566
0.25,1979567
0.25,1979568
0.03,1993899
0.03,1993900
0.03,1993901
0.03,1997516
0.03,1997517
0.03,2001132
0.03,2001133
0.03,2001134
0.43,1983158
0.43,1983159
0.43,1986774
0.43,1986775
0.43,1986776
0.43,1990391
0.43,1990392
0.43,1990393
0.43,1990394
0.43,1994008
0.43,1994009
0.43,1994010
0.43,1994011
0.43,1997624
0.43,1997625
0.43,1997626
0.43,1997627
0.43,1997628
0.43,2001241
0.43,2001242
0.43,2001243
0.43,2001244
0.4,1997629
0.4,1997630
0.4,2001245
0.4,2001246
0.4,2001247
0.39,1983179
0.39,1983180
0.39,1986796
0.39,1990413
0.39,1994030
0.48,1983181
0.48,1983182
0.48,1983183
0.48,1983184
0.48,1986797
0.48,1986798
0.48,1986799
0.48,1986800
0.48,1986801
0.48,1990414
0.48,1990415
0.48,1990416
0.48,1990417
0.48,1990418
0.48,1994031
0.48,1994032
0.48,1994033
0.48,1994034
0.48,1997647
0.48,1997648
0.48,1997649
0.48,1997650
0.48,1997651
0.48,2001264
0.48,2001265
0.48,2001266
0.48,2001267
0.8,1983185
0.8,1983186
0.8,1983187
0.8,1986802
0.8,1986803
0.8,1986804
0.8,1990419
0.8,1990420
0.8,1994035
0.8,1994036
0.8,1994037
0.8,1997652
0.8,1997653
0.8,2001268
0.8,2001269
0.8,2001270
0.8,2001271
0.16,2015585
0.16,2015586
0.16,2019202
0.16,2019203
0.16,2022819
0.22,2015587
0.22,2015588
0.22,2015589
0.22,2019204
0.22,2019205
0.22,2019206
0.22,2019207
0.22,2022820
0.22,2022821
0.22,2022822
0.22,2022823
0.22,2022824
0.2,2011978
0.2,2011979
0.2,2015592
0.2,2015593
0.2,2015594
0.2,2015595
0.2,2019208
0.2,2019209
0.2,2019210
0.2,2019211
0.2,2019212
0.2,2022825
0.2,2022826
0.2,2022827
0.2,2022828
0.15,2004748
0.15,2004749
0.15,2004750
0.15,2008363
0.15,2008364
0.15,2008365
0.15,2008366
0.15,2008367
0.15,2011980
0.15,2011981
0.15,2011982
0.15,2011983
0.15,2015596
0.15,2015597
0.15,2015598
0.15,2015599
0.15,2015600
0.15,2019213
0.15,2019214
0.15,2019215
0.15,2019216
