prob,cell_id
0.59,453119
0.59,453120
0.59,456733
0.59,456734
0.59,460347
0.59,460348
0.59,463961
0.59,463962
0.59,467574
0.59,467575
0.59,467576
0.32,453121
0.32,453122
0.32,453123
0.32,456735
0.32,456736
0.32,456737
0.32,460349
0.32,460350
0.32,460351
0.32,463963
0.32,463964
0.32,463965
0.32,467577
0.32,467578
0.32,467579
1,471181
1,471182
1,474795
1,474796
1,478409
1,478410
1,482023
1,482024
1,471183
1,471184
1,471185
1,474797
1,474798
1,474799
1,478411
1,478412
1,478413
1,482025
1,482026
1,482027
0.68,471186
0.68,471187
0.68,474800
0.68,474801
0.68,478414
0.68,478415
0.68,482028
0.68,482029
0.56,471188
0.56,471189
0.56,471190
0.56,474802
0.56,474803
0.56,474804
0.56,478416
0.56,478417
0.56,482030
0.56,482031
0.45,485629
0.45,485630
0.45,489243
0.45,489244
0.45,492857
0.45,492858
0.45,496471
0.45,496472
0.91,485631
0.91,485632
0.91,485633
0.91,489245
0.91,489246
0.91,489247
0.91,492859
0.91,492860
0.91,492861
0.91,496473
0.91,496474
0.91,496475
1,485634
1,485635
1,489248
1,489249
1,492862
1,492863
1,496476
1,496477
1,485636
1,485637
1,485638
1,489250
1,489251
1,489252
1,492864
1,492865
1,492866
1,496478
1,496479
1,496480
0.08,500071
0.08,500072
0.08,500073
0.08,503685
0.08,503686
0.08,503687
0.08,507299
0.08,507300
0.08,507301
0.08,510913
0.08,510914
0.08,510915
0.41,500074
0.41,500075
0.41,500076
0.41,503688
0.41,503689
0.41,503690
0.41,507302
0.41,507303
0.41,507304
0.41,510916
0.41,510917
0.41,510918
1,500077
1,500078
1,503691
1,503692
1,507305
1,507306
1,510919
1,510920
1,500079
1,500080
1,500081
1,503693
1,503694
1,503695
1,507307
1,507308
1,507309
1,510921
1,510922
1,510923
0.98,500082
0.98,500083
0.98,500084
0.98,503696
0.98,503697
0.98,503698
0.98,507310
0.98,507311
0.98,507312
0.98,510924
0.98,510925
0.98,510926
0.99,500085
0.99,500086
1,500087
1,500088
1,500089
1,503701
1,503702
0.84,500090
0.84,500091
0.27,500092
0.27,500093
0.27,500094
0.1,514525
0.1,514526
0.1,518139
0.1,518140
0.1,521753
0.1,521754
0.1,525367
0.1,525368
0.1,525369
0.1,528981
0.1,528982
0.1,528983
0.04,514527
0.04,514528
0.04,514529
0.04,518141
0.04,518142
0.04,518143
0.04,521755
0.04,521756
0.04,521757
0.04,525370
0.04,525371
0.04,528984
0.42,514530
0.42,514531
0.42,514532
0.42,518144
0.42,518145
0.42,518146
0.42,521758
0.42,521759
0.42,521760
0.42,525372
0.42,525373
0.42,525374
0.42,528986
0.42,528987
0.42,528988
1,514533
1,514534
1,518147
1,518148
1,521761
1,521762
1,525375
1,525376
1,525377
1,528989
1,528990
1,528991
0.76,514535
0.76,514536
0.76,514537
0.76,518149
0.76,518150
0.76,518151
0.76,521763
0.76,521764
0.76,521765
0.76,525378
0.76,525379
0.76,528992
0.76,528993
0.18,514538
0.18,514539
0.18,514540
0.18,518152
0.18,518153
0.18,518154
0.18,521766
0.18,521767
0.18,521768
0.18,525380
0.18,525381
0.18,525382
0.18,528994
0.18,528995
0.18,528996
0.57,525383
0.57,525384
0.57,528997
0.57,528998
0.57,528999
0.4,529000
0.4,529001
0.05,532587
0.05,532588
0.05,532589
0.05,536201
0.05,536202
0.05,536203
0.05,539815
0.05,539816
0.05,539817
0.05,543429
0.05,543430
0.05,543431
0.06,532590
0.06,532591
0.06,536204
0.06,536205
0.06,539818
0.06,539819
0.06,543432
0.06,543433
0.13,532592
0.13,532593
0.13,532594
0.13,536206
0.13,536207
0.13,536208
0.13,539820
0.13,539821
0.13,539822
0.13,543434
0.13,543435
0.13,543436
0.27,532595
0.27,532596
0.27,532597
0.27,536209
0.27,536210
0.27,536211
0.27,539823
0.27,539824
0.27,539825
0.27,543437
0.27,543438
0.27,543439
0.19,532598
0.19,532599
0.19,536212
0.19,536213
0.19,539826
0.19,539827
0.19,539828
0.19,543440
0.19,543441
0.19,543442
0.42,532600
0.42,532602
0.42,536214
0.42,536215
0.42,536216
0.42,539829
0.42,539830
0.42,543443
0.42,543444
0.67,532603
0.67,532604
0.67,532605
0.67,536217
0.67,536218
0.67,536219
0.67,539831
0.67,539832
0.67,539833
