prob,cell_id
0.09,471173
0.09,471174
0.09,471175
0.09,474787
0.09,474788
0.09,474789
0.09,478401
0.09,478402
0.09,482015
0.09,482016
0.24,471176
0.24,471177
0.24,474790
0.24,474791
0.24,478403
0.24,478404
0.24,478405
0.24,482017
0.24,482018
0.24,482019
0.3,471178
0.3,471179
0.3,471180
0.3,474792
0.3,474793
0.3,474794
0.3,478406
0.3,478407
0.3,478408
0.3,482020
0.3,482021
0.3,482022
0.4,471181
0.4,471182
0.4,474795
0.4,474796
0.4,478409
0.4,478410
0.4,482023
0.4,482024
0.87,471183
0.87,471184
0.87,471185
0.87,474797
0.87,474798
0.87,474799
0.87,478411
0.87,478412
0.87,478413
0.87,482025
0.87,482026
0.87,482027
0.82,471186
0.82,471187
0.82,474800
0.82,474801
0.82,478414
0.82,478415
0.82,482028
0.82,482029
0.79,471188
0.79,471189
0.79,471190
0.79,474802
0.79,474803
0.79,474804
0.79,478416
0.79,478417
0.79,482030
0.79,482031
0.04,471344
0.04,471345
0.04,474958
0.04,474959
0.04,474960
0.04,478573
0.04,478574
0.04,478575
0.04,482188
0.04,482189
0.07,471346
0.07,471347
0.07,471348
0.07,474961
0.07,474962
0.07,474963
0.07,478577
0.07,482190
0.07,482191
0.07,482192
0.11,471349
0.11,471350
0.11,471351
0.11,478578
0.11,478579
0.11,478580
0.11,482193
0.11,482194
0.05,471352
0.05,471353
0.05,474967
0.05,474968
0.05,478581
0.05,478582
0.05,482195
0.05,482196
0.05,482197
0.06,471354
0.06,471355
0.06,471356
0.06,474969
0.06,474970
0.06,478583
0.06,478584
0.06,478585
0.06,482198
0.06,482199
0.07,471357
0.07,471358
0.07,474971
0.07,474972
0.07,474973
0.1,471359
0.1,471360
0.1,471361
0.1,474974
0.1,474975
0.11,471362
0.11,471363
0.11,474976
0.11,474977
0.11,474978
0.11,478591
0.11,478592
0.16,471364
0.16,471365
0.16,474979
0.26,471372
0.26,471373
0.26,471374
0.26,474987
0.26,474988
0.26,478603
0.22,471375
0.22,474989
0.22,474990
0.22,478604
0.22,478605
0.22,482219
0.22,482220
0.15,471378
0.15,471379
0.15,474992
0.15,474993
0.15,478607
0.15,478608
0.15,482221
0.15,482222
0.15,482223
0.19,471380
0.19,471381
0.19,474994
0.19,474995
0.19,474996
0.19,478609
0.19,478610
0.19,482224
0.19,482225
