prob,cell_id
0.27,764046
0.27,764047
0.27,764048
0.27,767661
0.27,767662
0.27,767663
0.27,771278
0.27,774891
0.27,774892
0.27,774893
0.57,760434
0.57,760435
0.57,760436
0.57,764049
0.57,764050
0.57,764051
0.57,767664
0.57,767665
0.57,767666
0.57,771279
0.57,771280
0.57,771281
0.57,774894
0.57,774895
0.57,774896
0.62,760437
0.62,760438
0.62,760439
0.62,764052
0.62,764053
0.62,764054
0.62,767667
0.62,767668
0.62,767669
0.62,771282
0.62,771283
0.62,771284
0.62,774897
0.62,774898
0.62,774899
0.75,760440
0.75,760441
0.75,760442
0.75,764055
0.75,764056
0.75,764057
0.75,764058
0.75,767670
0.75,767671
0.75,771285
0.75,771286
0.75,771287
0.75,771288
0.75,774900
0.75,774901
0.75,774902
0.75,774903
0.82,760443
0.82,760444
0.82,760445
0.82,760446
0.82,764059
0.82,764060
0.82,764061
0.82,767674
0.82,767675
0.82,767676
0.82,771290
0.82,771291
0.82,774904
0.82,774905
0.82,774906
0.17,789353
0.68,778509
0.68,778510
0.68,778511
0.68,782124
0.68,782125
0.68,782126
0.68,785739
0.68,785740
0.68,785741
0.68,789354
0.68,789355
0.68,789356
0.7,778512
0.7,778513
0.7,778514
0.7,782127
0.7,782128
0.7,782129
0.7,785742
0.7,785743
0.7,785744
0.7,785745
0.7,789357
0.7,789358
0.7,789359
0.7,789360
0.81,778515
0.81,778516
0.81,778517
0.81,778518
0.81,782130
0.81,782131
0.81,782132
0.81,782133
0.81,785746
0.81,785747
0.81,785748
0.81,789361
0.81,789362
0.81,789363
0.87,778519
0.87,778520
0.87,778521
0.87,782134
0.87,782135
0.87,782136
0.87,785749
0.87,785750
0.87,785751
0.87,789364
0.87,789365
0.87,778522
0.87,778523
0.87,778524
0.87,782137
0.87,782138
0.87,782139
0.87,785752
0.87,785753
0.85,778525
0.85,778526
0.85,778527
0.85,782140
0.85,782141
0.85,782142
0.82,778528
0.82,778529
0.82,778530
0.82,778531
0.82,782143
0.82,782144
0.82,782145
0.82,782146
0.82,785760
0.82,785761
0.82,778532
0.82,778533
0.82,782147
0.82,782148
0.82,785762
0.82,785763
0.82,785764
0.82,789379
0.67,792960
0.67,792961
0.67,792962
0.67,796574
0.67,796575
0.67,796576
0.67,796577
0.67,800190
0.67,800191
0.67,800192
0.67,803805
0.67,803806
0.67,803807
0.67,807420
0.67,807421
0.67,807422
0.73,792963
0.73,792964
0.73,792965
0.73,796578
0.73,796579
0.73,796580
0.73,800193
0.73,800194
0.73,800195
0.73,803808
0.73,803809
0.73,807423
0.76,792966
0.76,792967
0.76,792968
0.76,796581
0.76,796582
0.76,796583
0.76,800196
0.76,792969
0.76,792970
0.76,792971
0.76,796584
0.76,796585
0.76,796586
0.76,800202
0.79,792972
0.79,792973
0.79,792974
0.79,792975
0.79,796587
0.79,796588
0.79,796589
0.79,796590
0.79,800203
0.79,800204
0.79,800205
0.87,792976
0.87,792977
0.87,792978
0.87,796591
0.87,796592
0.87,796593
0.87,800206
0.87,800207
0.87,800208
0.2,807442
0.93,807443
0.92,792992
0.92,792993
0.92,792994
0.92,796607
0.92,796608
0.92,796609
0.92,800224
0.93,792995
0.93,792996
0.93,792997
0.93,796610
0.93,796611
0.93,796612
0.93,800225
0.93,800226
0.93,800227
0.99,792998
0.99,792999
0.99,793000
0.99,793001
0.99,796613
0.96,793009
0.96,793010
0.97,793011
0.97,793012
0.97,793013
0.97,793014
0.97,796626
0.97,796627
0.97,796628
0.97,796629
0.97,800243
0.97,800244
0.96,793015
0.96,793016
0.96,796630
0.96,796631
0.96,800245
0.96,800246
0.96,800247
0.89,800252
0.89,800253
0.89,800254
0.89,803867
0.89,803868
0.89,803869
0.89,807484
0.84,793025
0.84,793026
0.84,793027
0.84,796639
0.84,796640
0.84,796641
0.84,796642
0.84,800255
0.84,800256
0.84,800257
0.84,803870
0.84,803871
0.84,803872
0.84,807485
0.84,807486
0.84,807487
0.54,811025
0.54,811026
0.54,814640
0.54,814642
0.54,818255
0.54,818256
0.54,818257
0.54,821870
0.54,821871
0.54,821872
0.54,825485
0.54,825486
0.54,825487
0.65,811029
0.65,811030
0.65,814643
0.65,814644
0.65,814645
0.65,814646
0.65,818258
0.65,818259
0.65,818260
0.65,818261
0.65,821873
0.65,821874
0.65,821875
0.7,811031
0.7,811032
0.7,811033
0.7,811034
0.7,814647
0.7,814648
0.7,814649
0.7,818262
0.94,811058
0.94,811059
0.94,814673
0.94,814674
0.94,814675
1,811102
1,811103
1,814718
1,814719
1,814720
1,818335
1,818336
1,821951
1,829187
1,829188
1,829189
1,832803
1,832804
1,836419
0.94,832805
0.94,836420
0.94,836421
0.94,840035
0.94,840036
0.94,840037
0.94,840038
0.94,843652
0.94,843653
0.82,829195
0.82,832810
0.82,840039
0.82,843654
0.6,829199
0.6,829201
0.6,829202
0.6,832815
0.6,832816
0.6,832817
0.6,836430
0.6,836431
0.6,836432
0.6,840045
0.6,840046
0.6,840047
0.6,840048
0.6,843662
0.6,843663
0.63,829206
0.63,829207
0.63,829208
0.63,832822
0.63,832823
0.63,832824
0.63,836437
0.63,836438
0.63,836439
0.63,840053
0.63,840054
0.63,843669
0.63,843670
0.65,847262
0.65,850877
1,847269
1,847270
1,847271
1,847272
1,850886
1,850887
0.9,847274
0.9,847275
0.9,850888
0.9,850889
0.9,850890
0.9,854503
0.9,854504
0.9,854505
0.9,854506
0.9,858119
0.9,858120
0.9,858121
0.9,861735
0.9,861736
0.71,847276
0.71,847278
0.71,850891
0.71,850892
0.71,850893
0.71,850894
0.71,854507
0.71,854508
0.71,854509
0.71,858122
0.71,858123
0.71,858124
0.71,861737
0.71,861738
0.71,861740
0.62,847279
0.62,847280
0.62,847281
0.62,847282
0.62,850895
0.62,850896
0.62,850897
0.62,854510
0.62,854511
0.62,854512
0.62,858127
0.62,858128
0.62,861741
0.62,861742
0.62,861743
0.64,847283
0.64,847284
0.64,847285
0.64,850898
0.64,850899
0.64,850900
0.64,854513
0.64,854514
0.64,854515
0.64,854516
0.64,858129
0.64,858130
0.64,858131
0.64,861744
0.61,847286
0.61,847287
0.61,847288
0.61,850901
0.61,850902
0.61,850903
0.61,850904
0.61,854517
0.61,854518
0.61,854519
0.61,858132
0.61,858133
0.61,858134
0.61,861747
0.61,861748
0.61,861749
0.58,847291
0.58,847292
0.58,850905
0.58,850906
0.58,850907
0.58,854520
0.58,854521
0.58,854522
0.58,858136
0.58,858137
0.58,858138
0.58,861751
0.58,861752
0.58,861753
1,865351
1,865352
1,868966
1,868967
0.98,865353
0.98,865354
0.98,865355
0.98,868968
0.98,868969
0.98,872583
0.98,872584
0.98,872585
0.98,876199
0.98,876200
0.98,876201
0.98,879815
0.98,879816
0.83,865357
0.83,865358
0.83,868971
0.83,872587
0.83,872588
0.83,872589
0.83,876202
0.83,876203
0.83,876204
0.83,879817
0.83,879818
0.83,879819
0.83,879820
0.73,865359
0.73,865361
0.73,865362
0.73,868975
0.73,868976
0.73,868977
0.73,872591
0.73,872592
0.73,876205
0.73,876206
0.73,879821
0.73,879822
0.73,879823
0.64,865363
0.64,865364
0.64,868978
0.64,868979
0.64,868980
0.64,872593
0.64,872594
0.64,872595
0.64,876209
0.64,876210
0.64,876211
0.64,879824
0.64,879825
0.64,879826
0.57,865366
0.57,865367
0.57,865368
0.57,868983
0.57,868984
0.57,872598
0.57,872599
0.57,879827
0.57,879828
0.57,879829
0.57,879830
0.55,865369
0.55,865370
0.55,865371
0.55,865372
0.55,868985
0.55,868986
0.55,868987
0.55,872600
0.55,872601
0.55,872602
0.55,876215
0.55,876216
0.55,876217
0.55,876218
0.55,879831
0.55,879832
0.55,879833
0.13,883432
0.13,887047
0.13,890662
0.13,894278
1,883433
1,883434
1,883435
1,887048
1,887049
1,887050
1,890663
1,890664
1,890665
1,890666
1,894279
1,894280
1,894281
0.85,883436
0.85,883437
0.85,883438
0.85,887054
0.85,890667
0.85,890668
0.85,894282
0.85,894283
0.67,883439
0.67,883440
0.67,883441
0.67,883442
0.67,887055
0.67,887056
0.67,887057
0.67,890670
0.67,890671
0.67,890672
0.67,890673
0.67,894286
0.67,894287
0.67,894288
0.62,883443
