prob,cell_id
0.62,479340
0.62,482957
0.52,497416
0.6,493801
0.6,497417
0.6,497418
0.6,497419
0.39,490185
0.39,490186
0.39,490187
0.39,493802
0.39,493803
0.39,493804
0.39,497420
0.39,497421
0.52,743250
0.04,880797
0.24,1041148
0.24,1044764
0.24,1044765
0.24,1044766
0.24,1044767
0.24,1041149
0.24,1044768
0.24,1044769
0.24,1044770
0.18,1044771
0.05,1052014
0.05,1052015
0.05,1055631
0.05,1055632
0.05,1055633
0.05,1059250
0.05,1059251
0.05,1059252
0.05,1062869
0.05,1062870
0.14,1078365
0.11,1078366
0.11,1078367
0.11,1078368
0.06,1074755
0.06,1074756
0.06,1074757
0.06,1078370
0.06,1078371
0.06,1078372
0.06,1078373
0.07,1074758
0.07,1074759
0.07,1074760
0.07,1074761
0.07,1078374
0.07,1078375
0.07,1078376
0.04,1066501
0.04,1066502
0.04,1070119
0.04,1070120
0.01,1066503
0.01,1066504
0.01,1070121
0.01,1085582
0.01,1085583
0.01,1089197
0.01,1089198
0.01,1089199
0.01,1089200
0.01,1092814
0.01,1092815
0.01,1096427
0.01,1096428
0.01,1096429
0.01,1096430
0.3,1088222
0.01,1100046
0.01,1100047
0.04,1352082
1,1387059
1,1387060
1,1387061
0.22,1390680
0.22,1390681
0.22,1390683
0.22,1394297
0.22,1394298
0.22,1394299
0.22,1394300
0.22,1397914
0.22,1397915
0.22,1397916
0.22,1397917
0.22,1401531
0.22,1401532
0.22,1401533
0.22,1401534
0.22,1405148
0.22,1405149
0.22,1405150
0.22,1405151
0.67,1397922
0.67,1401535
0.67,1401536
0.67,1401537
0.67,1401538
0.67,1405152
0.67,1405153
0.67,1405154
0.67,1405155
0.36,1394307
0.36,1394308
0.36,1394309
0.36,1397923
0.36,1397924
0.36,1397925
0.36,1397926
0.36,1401539
0.36,1401540
0.36,1401541
0.36,1401542
0.36,1401543
0.36,1405156
0.36,1405157
0.36,1405158
0.36,1405159
0.36,1405160
0.81,1394310
0.81,1394311
0.81,1397927
0.81,1397928
0.81,1397929
0.81,1397930
0.81,1401544
0.81,1401545
0.81,1401546
0.81,1401547
0.81,1405161
0.81,1405162
0.81,1405163
0.81,1405164
0.95,1401548
0.95,1405165
0.95,1405166
1,1405172
0.98,1401557
0.98,1405173
0.98,1405174
0.98,1405175
0.98,1405176
0.73,1405177
0.73,1405178
0.73,1405179
0.73,1405180
0.68,1405181
0.68,1405182
0.68,1405183
0.65,1390724
0.65,1394341
0.65,1397958
0.65,1401575
0.65,1405192
0.31,1413592
0.31,1413593
0.31,1417210
0.31,1417211
0.31,1420827
0.31,1420828
0.31,1420829
0.31,1424445
0.31,1424446
0.31,1424447
0.31,1428064
0.31,1428065
0.1,1431683
0.1,1435299
0.1,1435300
0.1,1435301
0.1,1438916
0.1,1438917
0.1,1438918
0.1,1446156
0.31,1449768
0.31,1449769
0.31,1453386
0.31,1453387
0.31,1457003
0.31,1457004
0.31,1457005
0.31,1460621
0.31,1460622
0.31,1460623
0.31,1460624
0.31,1464239
0.31,1464240
0.31,1464241
0.31,1464242
0.31,1467859
0.31,1467860
0.05,1471479
0.05,1471480
0.05,1475097
0.05,1475098
0.05,1478715
0.05,1482333
0.05,1482336
0.05,1485951
0.05,1485954
0.01,1489569
0.01,1489571
0.01,1489572
0.01,1493187
0.01,1493188
0.01,1493189
0.01,1496807
