prob,cell_id
0.01,1006908
0.01,1006909
0.01,1006910
0.01,1010524
0.01,1010525
0.01,1010526
0.01,1010527
0.01,1014141
0.01,1014142
0.01,1014143
0.01,1017757
0.01,1017758
0.01,1017759
0.01,1017760
0.01,1021373
0.01,1021374
0.01,1006911
0.01,1006912
0.01,1006913
0.01,1006914
0.01,1010528
0.01,1010529
0.01,1014144
0.01,1006923
0.01,1006924
0.01,1006925
0.01,1010540
0.01,1010541
0.01,1014157
0.01,1014158
0.01,1017771
0.01,1017772
0.01,1017773
0.01,1017774
0.01,1021388
0.01,1021389
0.01,1021390
0.01,1025005
0.01,1025006
0.01,1028599
0.01,1028600
0.01,1028601
0.01,1032215
0.01,1032216
0.01,1032217
0.01,1032218
0.01,1028602
0.01,1028603
0.05,1046714
0.05,1046715
0.05,1046716
0.05,1050330
0.05,1050331
0.05,1050332
0.05,1053946
0.05,1053947
0.05,1053948
0.05,1057563
0.05,1057564
0.05,1057565
0.05,1061179
0.05,1061180
0.05,1061181
0.07,1064796
0.07,1064797
0.07,1064798
0.07,1068412
0.07,1068413
0.07,1068414
0.07,1068415
0.07,1072030
0.07,1072031
0.07,1075646
0.07,1075647
0.07,1075648
0.07,1079261
0.07,1079262
0.07,1079263
0.07,1079264
0.05,1079265
0.05,1079266
0.05,1079267
0.25,1090106
0.25,1093721
0.25,1093722
0.25,1097337
0.25,1097338
0.25,1097339
0.19,1082877
0.19,1086492
0.19,1086493
0.19,1090107
0.19,1090108
0.19,1090109
0.19,1090110
0.19,1093723
0.19,1093724
0.19,1093725
0.19,1093726
0.19,1097340
0.19,1097341
0.19,1097342
0.19,1097343
0.16,1082878
0.16,1082879
0.16,1082880
0.16,1086494
0.16,1086495
0.16,1086496
0.16,1086497
0.16,1090111
0.16,1090112
0.16,1090113
0.16,1093727
0.16,1093728
0.16,1093729
0.16,1093730
0.16,1097344
0.16,1097345
0.16,1097346
0.12,1082881
0.12,1082882
0.12,1082883
0.12,1082884
0.12,1086498
0.12,1086499
0.12,1086500
0.12,1090114
0.12,1090115
0.12,1093731
0.12,1097347
0.12,1097348
0.51,1108172
0.51,1108173
0.51,1111788
0.51,1111789
0.51,1111790
0.51,1115403
0.51,1115404
0.51,1115405
0.51,1115406
0.62,1104559
0.62,1104560
0.62,1108174
0.62,1108175
0.62,1108176
0.62,1108177
0.62,1111791
0.62,1111792
0.62,1115407
0.62,1115408
0.56,1100946
0.56,1100947
0.56,1100948
0.56,1104561
0.56,1104562
0.56,1104563
0.56,1104564
0.56,1108178
0.56,1108179
0.37,1100949
0.37,1100950
0.37,1100951
0.37,1104565
0.37,1104566
0.37,1104567
0.37,1104568
0.37,1108184
0.37,1111798
0.37,1111799
0.37,1111800
0.37,1111801
0.37,1115414
0.37,1115415
0.37,1115416
0.37,1115417
0.4,1100952
0.4,1100953
0.4,1100954
0.4,1100955
0.4,1104569
0.4,1104570
0.4,1104571
0.4,1104572
0.4,1108185
0.4,1108186
0.4,1108187
0.4,1111802
0.4,1111803
0.4,1115418
0.4,1115419
0.35,1100956
0.35,1100957
0.35,1100958
0.35,1104575
0.35,1108192
0.4,1100961
0.4,1100962
0.4,1100963
0.4,1104576
0.4,1104577
0.4,1104578
0.4,1104579
0.4,1108193
0.4,1108194
0.4,1108195
0.4,1108196
0.4,1111809
0.4,1111810
0.4,1111811
0.4,1111812
0.4,1115427
0.4,1115428
0.26,1100964
0.26,1100965
0.26,1104580
0.26,1104581
0.26,1115429
0.42,1133481
0.49,1119019
0.49,1122635
0.49,1126250
0.49,1126251
0.49,1129865
0.49,1129866
0.49,1129867
0.49,1129868
0.49,1133482
0.49,1133483
0.49,1133484
0.63,1119020
0.63,1119021
0.63,1119022
0.63,1122636
0.63,1122637
0.63,1126252
0.63,1126253
0.63,1126254
0.63,1129869
0.63,1129870
0.63,1129871
0.63,1133486
0.63,1133487
0.63,1133488
0.62,1126258
0.58,1119028
0.58,1119030
0.58,1122644
0.58,1122645
0.58,1122646
0.58,1126260
0.58,1126261
0.58,1126263
0.58,1133496
0.45,1119031
0.45,1119032
0.45,1119033
0.45,1119034
0.45,1122647
0.45,1122648
0.45,1122649
0.45,1122650
0.45,1126264
0.45,1126265
0.45,1126266
0.45,1126267
0.45,1129880
0.45,1129881
0.45,1129882
0.45,1133497
0.45,1133498
0.45,1133499
0.2,1119035
0.2,1122651
0.55,1122657
0.55,1122658
0.55,1126273
0.55,1126274
0.55,1129890
0.55,1129891
0.55,1133505
0.55,1133506
0.55,1133507
0.5,1119042
0.5,1119043
0.5,1119044
0.5,1119045
0.5,1122659
0.5,1122660
0.5,1122661
0.5,1126275
0.5,1126276
0.5,1126277
0.5,1126278
0.5,1129892
0.5,1129893
0.5,1129894
0.5,1133508
0.4,1119046
0.4,1122662
0.4,1126279
0.4,1129895
0.4,1129896
0.02,1144302
0.02,1144303
0.02,1147917
0.02,1147918
0.02,1147919
0.02,1147920
0.02,1151533
0.02,1151534
0.02,1151535
0.02,1151536
0.18,1144304
0.18,1144305
0.18,1144306
0.18,1144307
0.18,1147921
0.18,1147922
0.18,1147923
0.18,1147924
0.18,1151537
0.18,1151538
0.18,1151539
0.18,1151540
0.2,1144308
0.2,1144309
0.2,1147925
0.2,1147926
0.2,1147927
0.2,1151541
0.2,1151542
0.2,1151543
0.2,1151544
0.2,1155160
0.25,1147928
0.25,1147929
0.25,1147930
0.25,1147931
0.25,1151545
0.25,1151546
0.25,1151547
0.25,1151548
0.25,1155161
0.25,1155162
0.25,1155163
0.25,1155164
0.32,1147932
0.32,1147933
0.32,1147934
0.32,1147935
0.32,1151549
0.32,1151550
0.32,1151551
0.32,1155165
0.32,1155166
0.32,1155167
0.32,1155168
0.41,1144320
0.41,1147936
0.41,1147937
0.41,1147938
0.41,1147939
0.41,1151552
0.41,1151553
0.41,1151554
0.41,1151555
0.41,1155169
0.5,1144323
0.5,1144324
0.5,1144325
0.5,1144326
0.5,1147940
0.5,1147941
0.5,1147942
0.5,1151556
0.5,1151557
0.5,1151558
0.5,1151559
0.5,1155173
0.5,1155174
0.5,1155175
0.33,1137096
0.33,1137097
0.33,1140711
0.33,1140712
0.33,1140713
0.33,1144327
0.33,1144328
0.33,1144329
0.33,1147943
0.33,1147944
0.33,1147945
0.33,1151560
0.33,1151561
0.33,1151562
0.33,1155178
0.54,1137098
0.54,1137099
0.54,1137100
0.54,1140714
