cell_id,presence
2283121,1
2283122,1
2286738,1
2286739,1
2286740,1
2290355,1
2290356,1
2290357,1
2293972,1
2293973,1
2293974,1
2293975,1
2297588,1
2297589,1
2297590,1
2297591,1
2297592,1
2301204,1
2301205,1
2301206,1
2301207,1
2301208,1
2301209,1
2304821,1
2304822,1
2304823,1
2304824,1
2304825,1
2304826,1
2308438,1
2308439,1
2308440,1
2308441,1
2308442,1
2308443,1
2312050,1
2312051,1
2312054,1
2312055,1
2312056,1
2312057,1
2312058,1
2312059,1
2312060,1
2315667,1
2315668,1
2315669,1
2315670,1
2315671,1
2315672,1
2315673,1
2315674,1
2315675,1
2315676,1
2319284,1
2319286,1
2319287,1
2319288,1
2319289,1
2319290,1
2319291,1
2319292,1
2319293,1
2322901,1
2322903,1
2322904,1
2322905,1
2322906,1
2322907,1
2322908,1
2322909,1
2322910,1
2326518,1
2326519,1
2326520,1
2326521,1
2326522,1
2326523,1
2326524,1
2326525,1
2326526,1
2330135,1
2330137,1
2330138,1
2330139,1
2330140,1
2330141,1
2330142,1
2330143,1
2333752,1
2333753,1
2333754,1
2333755,1
2333756,1
2333757,1
2333758,1
2333759,1
2333760,1
2337371,1
2337372,1
2337373,1
2337376,1
2340988,1
2344607,1
2344608,1
2348223,1
2348224,1
2348225,1
2351840,1
2351841,1
