cell_id,therm_prs
1941803,0.23307
1941804,0.23177
4170023,0.69848
4170024,0.71091
4170025,0.71567
4170026,0.70108
4170027,0.69679
4170028,0.70399
4170029,0.71292
4170030,0.71367
4173640,0.69794
4173641,0.71362
4173642,0.70154
4173643,0.6866
4173644,0.68534
4173645,0.69608
4173646,0.69959
4177257,0.70521
4177258,0.70026
4177259,0.67806
4177260,0.6716
4177261,0.67443
4177262,0.67655
4177263,0.67597
4180877,0.66124
4180878,0.6649
4180879,0.66637
4184494,0.64706
4184495,0.63575
4184496,0.62827
4188110,0.57275
4188111,0.62153
4188112,0.61887
4191726,0.56332
4191727,0.58079
4191728,0.59706
4191729,0.60675
4191730,0.61714
4191731,0.64251
4191732,0.66524
4191733,0.67146
4191734,0.67676
4195343,0.57366
4195344,0.58505
4195345,0.59111
4195346,0.6041
4195347,0.62021
4195348,0.64654
4195349,0.66264
4195350,0.66873
4198959,0.57955
4198960,0.58976
4198961,0.59257
4198962,0.59562
4198963,0.60347
4198964,0.61844
4198965,0.63957
4198966,0.65245
4198967,0.66041
4202577,0.59904
4202578,0.59432
4202579,0.59378
4202580,0.5989
4202581,0.60839
4202582,0.62509
4202583,0.63694
4206194,0.60349
4206195,0.59236
4206196,0.58715
4206197,0.58937
4206198,0.59973
4206199,0.61669
4206200,0.62943
4209810,0.60389
4209812,0.5863
4209813,0.57478
4209814,0.57794
4209815,0.58812
4209816,0.60583
4213429,0.57735
4213430,0.56351
4213431,0.57068
4213432,0.58299
4213433,0.59769
4213434,0.61224
4213435,0.62286
4213436,0.62971
4213437,0.63854
4217047,0.55362
4217048,0.5677
4217049,0.58257
4217050,0.59493
4217051,0.60962
4217052,0.6204
4217053,0.62702
4217054,0.63473
4220663,0.54596
4220664,0.55123
4220665,0.56629
4220666,0.58045
4220667,0.59379
4220668,0.60585
4220669,0.61658
4220670,0.62447
4224280,0.54673
4224281,0.55143
4224282,0.56574
4224283,0.57859
4224284,0.58788
4224285,0.59895
4224286,0.6105
4224287,0.62101
4227897,0.54613
4227898,0.5483
4227899,0.55814
4227900,0.56782
4227901,0.57471
4227902,0.58567
4227903,0.6027
4231513,0.54174
4231514,0.53809
4231515,0.53849
4231516,0.54416
4231517,0.55123
4231518,0.55811
4231519,0.56674
4231520,0.59026
4235130,0.52353
4235131,0.52758
4235132,0.52672
4235133,0.53163
4235134,0.53764
4235135,0.54336
4235136,0.55646
4235137,0.58266
4235138,0.59645
4235139,0.60159
4235140,0.61215
4235141,0.62613
4235142,0.63281
4235143,0.63163
4235144,0.62676
4235145,0.62256
4235146,0.61802
4238748,0.51017
4238749,0.51612
4238750,0.52197
4238751,0.52642
4238752,0.53173
4238753,0.54897
4238754,0.57505
4238755,0.58394
4238756,0.59318
4238757,0.60797
4238758,0.62156
4238759,0.62593
4238760,0.62376
4238761,0.62175
4238762,0.62042
4242365,0.49933
4242366,0.50843
4242367,0.51208
4242368,0.5142
4242369,0.52045
4242370,0.53691
4242371,0.56027
4242372,0.56779
4242373,0.58098
4242374,0.59934
4242375,0.61282
4242376,0.61717
4242377,0.61481
4242378,0.61336
4242379,0.61162
4245981,0.49031
4245982,0.4973
4245983,0.50133
4245984,0.4993
4245985,0.50309
4245986,0.51297
4245987,0.52937
4245988,0.54655
4245989,0.55429
4245990,0.57069
4245991,0.58946
4245992,0.60108
4245993,0.60581
4245994,0.60509
4245995,0.60479
4249598,0.4946
4249599,0.49353
4249600,0.48938
4249601,0.48861
4249602,0.49574
4249603,0.50802
4249604,0.52502
