cell_id,therm_prs
3270661,0.43718
3270662,0.46557
3274277,0.3517
3274278,0.41075
3274279,0.45502
3274280,0.46143
3277893,0.29881
3277894,0.30125
3277896,0.4117
3277897,0.45159
3281510,0.26254
3281511,0.25362
3281512,0.25784
3281514,0.43354
3281515,0.43641
3285127,0.23562
3285128,0.2481
3285129,0.25549
3285131,0.41263
3285132,0.41879
3285134,0.44611
3285135,0.47076
3285136,0.47321
3285137,0.46276
3288744,0.22106
3288745,0.23926
3288746,0.24743
3288748,0.40459
3288749,0.40874
3288751,0.42195
3288752,0.45423
3288753,0.47096
3288754,0.45277
3288755,0.44504
3292360,0.18489
3292361,0.21253
3292362,0.23419
3292363,0.22719
3292364,0.21272
3292366,0.40366
3292367,0.40241
3292368,0.40411
3292369,0.39323
3292371,0.42566
3292372,0.43071
3295977,0.15793
3295978,0.14362
3295980,0.19699
3295981,0.20508
3295982,0.22188
3295983,0.32433
3295984,0.39969
3295985,0.39803
3295986,0.38893
3295987,0.3844
3295988,0.396
3295989,0.41278
3295990,0.42692
3295991,0.42408
3299594,0.14373
3299595,0.14219
3299596,0.16583
3299597,0.18835
3299598,0.20498
3299599,0.22246
3299601,0.3813
3299602,0.38629
3299604,0.38796
3299605,0.39668
3299606,0.41106
3299607,0.42698
3299608,0.42349
3299609,0.41599
3303214,0.19033
3303215,0.21039
3303216,0.224
3303217,0.23894
3303218,0.37082
3303219,0.37693
3303220,0.38374
3303222,0.38846
3303223,0.40177
3303224,0.42945
3303225,0.41871
3303226,0.40276
3303227,0.40308
3303230,0.39972
3306832,0.22219
3306833,0.2325
3306834,0.24219
3306835,0.31548
3306836,0.36893
3306837,0.37782
3306838,0.37095
3306839,0.3683
3306840,0.36971
3306843,0.37856
3306844,0.38588
3306852,0.40099
3306853,0.40237
3310448,0.24483
3310449,0.25862
3310450,0.24698
3310451,0.24343
3310453,0.36714
3310454,0.36772
3310455,0.35974
3310456,0.35508
3310457,0.3543
3310460,0.3666
3310461,0.37273
3310467,0.38426
3310468,0.38627
3310469,0.38538
3310470,0.39295
3314065,0.27569
3314071,0.36122
3314072,0.35569
3314074,0.34948
3314075,0.35897
3314076,0.3546
3314077,0.35413
3314078,0.35785
3314079,0.36401
3314083,0.36618
3314084,0.37052
3314085,0.37753
