cell_id,therm_prs
1964790,0
1964791,0
1964792,0
1964805,0
1964806,0
1968407,0
1968408,0
1968409,0
1968422,0
1968423,0
1972024,0
1972025,0
1972026,0
1972040,0
1975642,0
1975643,0
1975656,0
1975657,0
1979260,0
1979274,0
1999583,0.27013
1999584,0.26818
2004535,0
2004536,0
2004537,0
2004592,0
2004593,0
2008152,0
2008153,0
2008154,0
2008206,0
2008208,0
2008209,0
2008210,0
2010435,0.24571
2011769,0
2011770,0
2011823,0
2011824,0
2011825,0
2011826,0
2014053,0.23723
2015439,0
2015440,0
2015441,0
2015442,0
2015443,0
2017670,0.22377
2017677,0.21878
2019056,0
2019057,0
2019058,0
2019059,0
2022676,0
2024911,0.19656
2024912,0.19764
2024913,0.2043
2025678,0
2025679,0
2026284,0
2026285,0
2026293,0
2026294,0.00978
2026295,0
2026296,0
2028527,0.19723
2028528,0.19426
2028529,0.18481
2028530,0.18607
2029295,0
2029296,0
2029901,0
2029902,0
2029910,0
2029911,0.02043
2029912,0.01443
2029913,0.00703
2029914,0
2032143,0.20686
2032144,0.19947
2032145,0.19485
2032146,0.18187
2032147,0.17947
2032149,0.19408
2032912,0
2032913,0
2033518,0
2033519,0
2033526,0
2033527,0.01265
2033528,0.02943
2033529,0.03368
2033530,0.01375
2033531,0.00618
2035759,0.18164
2035760,0.20687
2035761,0.19216
2035762,0.18339
2035763,0.18388
2035764,0.18656
2035766,0.19767
2035767,0.19626
2037135,0
2037143,0.00741
2037144,0.02379
2037145,0.04171
2037146,0.04272
2037147,0.02304
2037148,0.01576
2039376,0.16152
2039377,0.15681
2039378,0.1535
2039379,0.1782
2039380,0.18676
2039381,0.18848
2039383,0.20619
2039384,0.20616
2040751,0
2040752,0
2040762,0.0542
2040763,0.05855
2040764,0.0538
2040765,0.03928
2042994,0.14925
2042995,0.14816
2042996,0.17569
2042997,0.18726
2044368,0
2044369,0
2044380,0.07463
2044381,0.06551
2044382,0.03308
2046612,0.15636
2046613,0.1702
2046614,0.18988
2048001,0.04495
2048002,0.08447
2048003,0.0927
2051618,0.06609
2051619,0.08842
2051620,0.09512
2051621,0.12667
2051622,0.20914
2053838,0.20891
2053839,0.19758
2053840,0.19245
2055235,0.11838
2055236,0.11979
2055237,0.11416
2055238,0.23186
2057456,0.198
2057457,0.18766
2057585,0.08735
2057586,0.1009
2058852,0.14227
2058853,0.1345
2058854,0.12202
2058855,0.1519
