cell_id,therm_prs
4891351,0.0834
4891352,0.08325
4894969,0.0719
4894970,0.107
4898586,0.08137
4898587,0.11349
4902203,0.11858
4902204,0.08321
4905820,0.16418
4905821,0.09526
4905822,0.07816
4909438,0.12307
4909439,0.08378
4913055,0.15209
4913056,0.0942
4916673,0.11507
4916674,0.08868
4920290,0.14175
4920291,0.09301
4920292,0.08985
4923908,0.11224
4923909,0.08985
4927526,0.09084
4927527,0.1006
4931144,0.09781
4934762,0.09235
4938379,0.07406
4941993,0.18657
4941994,0.1515
4941995,0.11287
4941996,0.07183
4941997,0.0544
4945611,0.16846
4945612,0.1356
4945613,0.10206
4945614,0.06591
4949228,0.18362
4949229,0.15845
4949230,0.14028
4949231,0.11313
4949232,0.10099
4952979,0.61828
4952980,0.61926
4952981,0.62783
4952982,0.64154
4952983,0.64264
4956597,0.63232
4956598,0.63508
4956599,0.6416
4956600,0.63736
4960214,0.63824
4960215,0.63527
4960216,0.6314
4960217,0.62358
4963831,0.63341
4963832,0.62659
4963833,0.61732
4963834,0.60364
4963835,0.58076
4967449,0.60991
4967450,0.59378
4967451,0.57587
4967452,0.55414
4971066,0.58692
4971067,0.56689
4971068,0.54574
4971069,0.52451
4971070,0.50235
4992642,0.02228
4996259,0.01304
4999876,0.00919
4999877,0.0155
5003493,0.01742
5003494,0.00652
5007111,0.00481
5007112,0.01421
5010727,0.04617
5010728,0.0166
5010729,0.01594
5075842,0
5075843,0
5075844,0.05164
5075845,0.02025
5079459,0
5079460,0
5079461,0
5083075,0
5083076,0
5083077,0
5083078,0
5083079,0
5083080,0.00302
5086692,0
5086693,0
5086694,0
5086695,0
5086696,0
5086697,0.00302
5090310,0
5090311,0
5090315,0
5093927,0
5093928,0
5097544,0.00703
5097545,0
5097546,0
5101162,0
5101163,0
5104779,0.00148
5104780,0
5108397,0.00185
5108398,0.00313
5112014,0.01487
5112015,0.00182
5115632,0.00237
5115633,0
5119250,0
5119251,0
5122866,0.003
5122867,7.9e-4
5122868,0.00363
5126484,0
5126485,0.00321
5130101,0
5130102,0
5130103,0.00142
5133718,0
5133719,0
5133720,0
5137336,0
5137337,0
5140952,0
5140953,0
5140954,0
5144570,0
5144571,0
5144572,0
5144573,0
5148188,0
5148189,0
5148190,0
5148191,0
5148192,0
5151803,0
5151804,0
5151805,0
5151806,0
5151807,0
5151808,0
5151809,0
5155420,0
5155421,0
5155422,0
5155423,0
5155424,0
5155425,0
5155426,0
5155428,0
5155429,0
5159037,0
5159038,0
5159039,0
5159040,0
5159041,0
5162655,0
5162656,0
5162661,0
5162662,0
5162663,0
5162664,0
5162665,0
5166278,0
5166279,0
5166280,0
5166281,0
5166282,0
5166283,0
5169895,0
5169896,0
5169897,0
5169898,0
5169899,0
5169900,0
5169901,0
5173512,0
5173513,0
5173514,0
5173515,0
5173516,0
5173517,0
5173518,0
5173519,0
5177129,0
5177130,0
5177131,0
5177132,0
5177133,0
5177134,0
5177135,0
5177136,0
5180744,0
5180745,0
5180746,0
5180747,0
5180748,0
5180749,0
5180750,0
5180751,0
5180752,0
5180753,0
5180754,0
5184361,0
5184362,0
5184363,0
5184364,0
5184365,0
5184366,0
5184367,0
5184368,0
5184369,0
5184370,0
5184371,0
5187979,0
5187980,0
5187981,0
5187982,0
5187983,0
5187984,0
5187985,0
5187986,0
5187987,0
5187988,0
5187989,0
5191596,0
5191597,0
5191598,0
5191599,0
5191600,0
5191601,0
5191602,0
5191603,0
5191604,0
5191605,0
5191606,0
5191607,0
5195213,0
5195214,0
5195215,0
5195216,0
5195217,0
5195218,0
5195219,0
5195220,0
5195221,0
5195222,0
5195223,0
5195224,0
5195225,0
5195226,0
5195227,0
5195228,0
5195229,0
5195230,0
5195231,0
5198829,0
5198830,0
5198831,0
5198832,0
5198833,0
5198834,0
5198835,0
5198836,0
5198839,0
5198840,0
5198841,0
5198842,0
5198843,0
5198844,0
5198847,0
5198848,0
5198849,0
5202446,0
5202447,0
5202448,0
5202449,0
5202450,0
5202451,0
5202452,0
5202453,0
5202454,0
5202455,0
5202456,0
5202457,0
5202458,0
5202459,0
5202460,0
5202461,0
5202462,0
5202464,0
5202465,0
5202466,0
5206063,0
5206064,0
5206065,0
5206066,0
5206067,0
5206068,0
5206069,0
5206070,0
5206071,0
5206072,0
5206073,0
5206074,0
5206075,0
5206076,0
5206077,0
5206078,0
5206079,0
5206081,0
5206082,0
5209681,0
5209682,0
5209683,0
5209684,0
5209685,0
5209686,0
5209687,0
5209688,0
5209689,0
5209690,0
5209691,0
5209692,0
5209693,0
5209694,0
5209695,0
5209696,0
5209697,0
5209698,0
5213303,0
5213304,0
5213305,0
5213306,0
5213307,0
5213308,0
5213309,0
5213310,0
5213311,0
5213312,0
5213313,0
5213314,0
5216921,0
5216922,0
5216923,0
5216924,0
5216925,0
