cell_id,therm_prs
743250,0
1387059,0.35744
1387060,0.35954
1387061,0.36265
1390724,0.42602
1394307,0.38175
1394308,0.38568
1394309,0.3892
1394310,0.39338
1394311,0.39691
1394341,0.42454
1397922,0.36797
1397923,0.36941
1397924,0.3744
1397925,0.37937
1397926,0.38364
1397927,0.38845
1397928,0.39251
1397929,0.3962
1397930,0.402
1397958,0.4186
1401535,0.34624
1401536,0.35308
1401537,0.35669
1401538,0.35361
1401539,0.35366
1401540,0.35822
1401541,0.36386
1401542,0.36775
1401543,0.37334
1401544,0.37847
1401545,0.38359
1401546,0.38782
1401547,0.39464
1401548,0.39976
1401557,0.41298
1401575,0.4127
1405152,0.32976
1405153,0.33567
1405154,0.34737
1405155,0.34273
1405156,0.34408
1405157,0.35413
1405158,0.35426
1405159,0.35252
1405160,0.35798
1405161,0.36317
1405162,0.35805
1405163,0.35281
1405164,0.35224
1405165,0.35544
1405166,0.35826
1405172,0.37042
1405173,0.37274
1405174,0.37252
1405175,0.38083
1405176,0.38639
1405177,0.38311
1405178,0.40161
1405179,0.41776
1405180,0.41825
1405181,0.40306
1405182,0.38825
1405183,0.38819
1405192,0.36701
1430447,0.25557
1430448,0.25129
1430449,0.25544
1434064,0.26726
1434065,0.26011
1434066,0.23364
1437682,0.2665
1437683,0.23076
1441299,0.2717
1441300,0.23413
1444916,0.27678
1444917,0.24507
1488320,0.31196
1499169,0.36108
1549808,0.34706
1553425,0.33617
1556853,0.60308
1556854,0.60282
1556855,0.59993
1557040,0.38548
1557041,0.36809
1557042,0.33189
1560470,0.6053
1560471,0.60492
1560472,0.60273
1560657,0.38173
1560658,0.36598
1560659,0.34265
1564086,0.61011
1564087,0.60882
1564088,0.60792
1564089,0.60745
1564273,0.39218
1564274,0.37619
1564275,0.35986
1564276,0.35273
1567703,0.61334
1567704,0.61443
1567705,0.60912
1567890,0.38072
1567891,0.35909
1567892,0.34399
1571319,0.61546
1571320,0.61358
1571321,0.60963
1571322,0.60943
1571506,0.3763
1574936,0.61592
1574937,0.61134
1574938,0.60887
1574939,0.61223
1575122,0.37305
1578739,0.36636
1582197,0.59752
1582198,0.59732
1582199,0.59775
1582356,0.36666
1585814,0.59803
1585815,0.59641
1585816,0.59663
1585973,0.36678
1589431,0.59924
1589432,0.59737
1589433,0.59723
1593055,0.59722
1593205,0.40358
1593207,0.36748
1596662,0.60105
1596663,0.602
1596664,0.60611
1596670,0.59584
1596671,0.59555
1596672,0.60072
1596673,0.59772
1596674,0.59269
1596822,0.40565
1596823,0.3892
1596824,0.36652
1600276,0.60864
1600277,0.60794
1600279,0.60408
1600280,0.60341
1600281,0.60619
1600282,0.61185
1600283,0.60949
1600287,0.59648
1600288,0.59301
1600291,0.58115000000000006
1600439,0.41101
1600440,0.39067
1600441,0.37104
1603892,0.61069
1603893,0.6112
1603894,0.60952
1603895,0.60846
1603896,0.60634
1603897,0.6062
1603898,0.60487
1603899,0.60432
1603900,0.60818
1603901,0.60557
1603902,0.60226
1603905,0.59432
1603906,0.58771
1603907,0.58486
1603908,0.58216
1604058,0.38156
1607509,0.6118
1607510,0.61034
1607511,0.60838
1607512,0.60906
1607513,0.60574
1607514,0.61074
1607515,0.60824
1607516,0.60348
1607517,0.60411
1607518,0.60311
1607519,0.60181
1607522,0.59789
1607523,0.59385
1607524,0.59096
1611126,0.61599
1611127,0.61355
1611128,0.61302
1611129,0.61645
1611130,0.61674
1611131,0.61569
1611132,0.61188
1611133,0.60757
1611294,0.39861
1611295,0.39549
1611296,0.40866
1614745,0.62014
1614746,0.62475
1614747,0.62572
1614748,0.62218
1614749,0.61865
1614750,0.61452
1614911,0.41303
1614912,0.414
1614913,0.42105
1632852,0.61723
1632853,0.62046
1632854,0.62273
1632855,0.62255
1632856,0.62225
1632857,0.62342
1632858,0.62502
1632859,0.62387
1636469,0.6205
1636470,0.62284
1636471,0.62613
1636472,0.62586
1636473,0.62499
1636474,0.625
1636475,0.62943
1636476,0.62802
1640086,0.62727
1640087,0.62727
1640088,0.62765
1640089,0.6304
1640090,0.63403
1640091,0.63461
1640092,0.63329
1640093,0.63264
1643704,0.63327
1643705,0.63254
1643706,0.63414
1643707,0.63614
1643708,0.63658
1643709,0.6363
1658180,0.64941
1661797,0.65122
1669026,0.66147
1669027,0.65855
1669028,0.65933
1672643,0.664
1672644,0.66071
1672645,0.6603
1672646,0.66027
1672785,0.46726
1672786,0.47676
1672788,0.4958
1672789,0.50425
1672790,0.51501
1672791,0.5256
1672792,0.53491
1672793,0.538
1676261,0.66476
1676262,0.66441
1687230,0.57281
1828247,0.70443
1828248,0.70372
1831863,0.70817
1831864,0.70351
