cell_id,therm_prs
1088222,0
1387059,0.44089
1387060,0.44381
1387061,0.44812
1397922,0.45552
1401535,0.42534
1401536,0.43483
1401537,0.43985
1401538,0.43557
1401548,0.49966
1401557,0.51803
1405152,0.40245
1405153,0.41065
1405154,0.4269
1405155,0.42045
1405165,0.43811
1405166,0.44203
1405172,0.45891
1405173,0.46214
1405174,0.46183
1405175,0.47337
1405176,0.4811
1556853,0.78205
1556854,0.78169
1556855,0.77769
1560470,0.78514
1560471,0.78461
1560472,0.78157
1564086,0.79182
1564087,0.79001999999999994
1564088,0.78878
1564089,0.78812
1567703,0.7963
1567704,0.79781
1567705,0.79044
1571319,0.79925
1571320,0.79664
1571321,0.79115
1571322,0.79087
1574936,0.79989
1574937,0.79353
1574938,0.7901
1574939,0.79476
1582197,0.77433
1582198,0.77406
1582199,0.77465
1585814,0.77504
1585815,0.77279
1585816,0.7731
1589431,0.77672
1589432,0.77413
1589433,0.77393
1593055,0.77392
1596662,0.77923
1596663,0.78055
1596664,0.78627
1596670,0.772
1596671,0.7716
1596672,0.77878
1596673,0.77461
1596674,0.76763
1600276,0.78978
1600277,0.78881
1600279,0.78345
1600280,0.78251
1600281,0.78638
1600282,0.79423
1600283,0.79095
1600287,0.77289
1600288,0.76806
1600291,0.7516
1603892,0.79263
1603893,0.79334
1603894,0.791
1603895,0.78952
1603896,0.78659
1603897,0.78639
1603898,0.78455
1603899,0.78378
1603900,0.78914
1603901,0.78551
1603902,0.78091
1603905,0.76989
1603906,0.7607
1603907,0.75675
1603908,0.753
1607509,0.79417
1607510,0.79213
1607511,0.78942
1607512,0.79036
1607513,0.78575
1607514,0.79269
1607515,0.78922
1607516,0.78261
1607517,0.78349
1607518,0.7821
1607519,0.78029
1607522,0.77485
1607523,0.76923
1607524,0.76522
1611126,0.79998
1611127,0.7966
1611128,0.79587
1611129,0.80062
1611130,0.80102
1611131,0.79957
1611132,0.79428
1611133,0.7883
1614745,0.80574
1614746,0.81215
1614747,0.8135
1614748,0.80859
1614749,0.80369
1614750,0.79794
1616184,0.60825
1619801,0.6171
1619802,0.62802
1623418,0.6215
1623419,0.6342
1623420,0.62405
1627036,0.62836
1627038,0.63413
1630653,0.62369
1630654,0.63464
1630655,0.67269
1632852,0.80171
1632853,0.8062
1632854,0.80935
1632855,0.8091
1632856,0.80869
1632857,0.81031
1632858,0.81253
1632859,0.81093
1636469,0.80625
1636470,0.80949
1636471,0.81406
1636472,0.81369
1636473,0.81248
1636474,0.8125
1636475,0.81866
1636476,0.81669
1640086,0.81566
1640087,0.81566
1640088,0.81619
1640089,0.81999
1640090,0.82505
1640091,0.82584
1640092,0.82401
1640093,0.82311
1643704,0.82399
1643705,0.82297
1643706,0.8252
1643707,0.82797
1643708,0.82858
1643709,0.8282
1658180,0.84641
1661797,0.84891
1669026,0.86316
1669027,0.8591
1669028,0.86019
1672643,0.86666
1672644,0.86209
1672645,0.86153
1672646,0.86148
1676261,0.86772
1676262,0.86724
1829647,1
1829648,1
1829649,1
1829650,1
1833265,1
1833266,1
1833267,1
1833268,1
1836883,1
1836884,1
1836885,1
1902006,1
1902007,1
1905623,1
1905624,1
1945336,1
1945420,1
1945421,1
1948954,1
1974363,1
2004535,0.7724
2004536,0.77495
2004537,0.79151
2008152,0.78089
2008153,0.78813
2008154,0.7972
2011769,0.79258
2011770,0.80036
2032150,1
2032151,1
2035768,1
2039385,1
2050229,1
2050230,1
2050231,1
2053846,1
2053847,1
2057464,1
2057465,1
2057585,1
2057586,1
2061082,1
2061202,1
2061203,1
2064699,1
2064820,1
2064821,1
2064822,1
2068438,1
2068439,1
2071930,1
2071931,1
2071932,1
2072057,1
2075547,1
2075548,1
2075549,1
2079165,1
2082909,1
2082910,1
2086400,1
2086526,1
2086527,1
2086528,1
2090017,1
2090144,1
2090145,1
2090146,1
2091390,1
2091391,1
2091392,1
2095007,1
2095008,1
2095009,1
2098624,1
2098625,1
2098626,1
2098627,1
2100997,1
2100998,1
2102240,1
2102241,1
2102243,1
2104614,1
2104615,1
2104616,1
2105857,1
2105858,1
2105859,1
2105860,1
2108092,1
2108093,1
2108094,1
2108232,1
2108233,1
2109475,1
2111709,1
2111710,1
2111711,1
2111850,1
2111851,1
2115306,1
2115323,1
2115324,1
2115325,1
2115336,1
2118940,1
2118941,1
2118942,1
2118943,1
2118953,1
2122557,1
2122558,1
2122559,1
2122571,1
2133454,1
2133455,1
2136999,1
2137000,1
2137001,1
2137008,1
2137009,1
2140616,1
2140617,1
2140622,1
2140625,1
2140626,1
2144234,1
2144235,1
2147851,1
2147852,1
2155253,1
2155254,1
2158870,1
2158871,1
2162487,1
2162488,1
2173190,1
2173191,1
2176807,1
2176808,1
2184045,1
2184194,1
2184195,1
2187811,1
2187812,1
2191269,1
2191428,1
2191429,1
2194885,1
2194886,1
2194887,1
2198490,1
2198491,1
2198492,1
2198501,1
2198502,1
2198503,1
2198504,1
2202107,1
2202108,1
2202109,1
2202118,1
2202119,1
2202120,1
2202121,1
2202185,1
2205736,1
2205737,1
2205738,1
2209353,1
2209354,1
2209355,1
2209518,1
2209519,1
2213135,1
2213136,1
2236076,1
2239692,1
2239693,1
2243309,1
2243310,1
2246926,1
2246927,1
2250542,1
2250543,1
2254159,1
2254160,1
2257775,1
2257776,1
2265002,1
2265003,1
2268619,1
2288880,1
2288881,1
2288882,1
2288883,1
2288884,1
2288901,1
2288902,1
2288903,1
2292519,1
2292520,1
2293464,1
2293465,1
2296138,1
2297080,1
2297081,1
2297082,1
2300690,1
2300691,1
2300698,1
2300699,1
2303382,1
2304305,1
2304306,1
2304307,1
2304314,1
2304315,1
2306999,1
2307000,1
2307925,1
2307926,1
2307927,1
2307928,1
2307929,1
2310609,1
2310610,1
2310611,1
2310612,1
2310618,1
2310619,1
2311541,1
2311544,1
2311545,1
2314228,1
2314229,1
2315177,1
2318793,1
2318794,1
2322410,1
2322411,1
2326027,1
2326028,1
2326029,1
2329640,1
2329642,1
2330135,1
2333257,1
2333258,1
2333752,1
2336874,1
2336875,1
2336885,1
2336886,1
2336887,1
2340502,1
2340503,1
2340504,1
2343178,1
2343179,1
2344118,1
2344119,1
2344120,1
2344121,1
2344122,1
2346795,1
2346796,1
2347735,1
2347736,1
2347737,1
2347738,1
2350413,1
2351349,1
2351350,1
2351356,1
2351357,1
2351358,1
2351359,1
2354966,1
2354967,1
2354975,1
2354976,1
2358583,1
2358589,1
2358593,1
2362200,1
2362205,1
2362206,1
2362209,1
2365822,1
2365823,1
2365824,1
2365825,1
2365826,1
2368721,1
2368722,1
2369438,1
2369439,1
2369440,1
2369441,1
2372338,1
2372339,1
2375734,1
2375735,1
2375736,1
2379351,1
2379352,1
2379353,1
2382968,1
2382969,1
2382970,1
2383914,1
2387530,1
2387531,1
2387532,1
2390429,1
2390430,1
2391148,1
2391149,1
2391150,1
2394046,1
2394047,1
2394048,1
2394759,1
2394760,1
2397441,1
2397664,1
2398375,1
2398376,1
2404669,1
2404901,1
2408287,1
2408517,1
2408518,1
2408519,1
2411908,1
2411909,1
2411910,1
2412135,1
2412136,1
2412841,1
2415525,1
2415526,1
2415527,1
2416458,1
2419138,1
2419139,1
2419140,1
2419143,1
2419144,1
2420074,1
2420075,1
2420510,1
2420511,1
2422755,1
2422756,1
2422757,1
2422758,1
2423691,1
2423692,1
2424127,1
2424128,1
2426372,1
2426373,1
2426374,1
2426375,1
2427307,1
2427308,1
2429988,1
2429989,1
2429990,1
2429991,1
2429992,1
2430924,1
2430928,1
2433605,1
2433606,1
2433607,1
2433612,1
2434540,1
2434541,1
2434542,1
2434544,1
2437223,1
2437224,1
2437230,1
2437231,1
2437232,1
2438158,1
2438159,1
2438160,1
2438161,1
2438592,1
2440841,1
2440842,1
2440843,1
2440844,1
2440847,1
2440848,1
2440849,1
2441776,1
2441777,1
2442208,1
2442209,1
2442210,1
2444458,1
2444459,1
2444460,1
2444461,1
2444464,1
2444465,1
2444466,1
2444695,1
2444696,1
2445824,1
2445825,1
2445826,1
2445827,1
2448076,1
2448077,1
2448081,1
2448082,1
2448312,1
2448313,1
2448314,1
2449442,1
2449443,1
2449444,1
2451688,1
2451689,1
2451690,1
2451691,1
2451692,1
2451693,1
2451929,1
2451930,1
2451931,1
2455304,1
2455305,1
2455306,1
2455307,1
2455308,1
2455309,1
2455310,1
2455311,1
2455312,1
2455319,1
2455320,1
2458921,1
2458922,1
2458923,1
2458928,1
2458929,1
2458930,1
2458931,1
2458936,1
2458937,1
2458938,1
2460364,1
2460365,1
2462189,1
2462538,1
2463981,1
2467598,1
2473390,1
2473635,1
2473636,1
2473637,1
2477007,1
2477252,1
2477253,1
2477254,1
2480624,1
2480869,1
2480870,1
2480871,1
2484241,1
2484242,1
2484258,1
2484259,1
2487858,1
2487859,1
2487876,1
2491475,1
2491476,1
2491493,1
2491494,1
2495092,1
2495093,1
2495110,1
2495111,1
2495341,1
2498709,1
2498710,1
2498728,1
2498729,1
2498958,1
2498959,1
2502327,1
2502328,1
2502345,1
2502346,1
2502575,1
2502576,1
2503785,1
2505944,1
2505945,1
2505946,1
2509562,1
2509563,1
2509810,1
2509811,1
2513179,1
2513180,1
2513427,1
2513428,1
2516797,1
2517045,1
2520414,1
2520415,1
2523945,1
2524031,1
2524032,1
2527669,1
2531286,1
2534809,1
2534903,1
2534904,1
2538426,1
2538427,1
2538520,1
2538521,1
2542043,1
2542044,1
2542137,1
2542138,1
2545659,1
2545660,1
2545661,1
2545754,1
2545755,1
2549276,1
2549277,1
2549278,1
2549371,1
2549372,1
2549603,1
2552894,1
2552895,1
2552988,1
2552989,1
2553216,1
2553217,1
2553218,1
2553221,1
2556604,1
2556605,1
2556606,1
2556833,1
2556834,1
2556835,1
2556838,1
2556839,1
2560221,1
2560222,1
2560223,1
2560456,1
2560457,1
2563838,1
2563839,1
2563840,1
2564072,1
2564073,1
2564074,1
2567363,1
2567364,1
2567378,1
2567379,1
2567380,1
2567381,1
2567456,1
2567689,1
2567690,1
2567691,1
2570972,1
2571000,1
2571001,1
2571002,1
2571003,1
2571050,1
2571051,1
2571052,1
2571069,1
2571070,1
2571072,1
2574611,1
2574617,1
2574618,1
2574619,1
2574620,1
2574667,1
2574668,1
2574669,1
2574686,1
2578201,1
2578202,1
2578228,1
2578234,1
2578235,1
2578236,1
2578285,1
2578286,1
2578287,1
2578303,1
2578304,1
2581818,1
2581819,1
2581846,1
2581851,1
2581852,1
2581853,1
2581902,1
2581903,1
2581904,1
2581920,1
2581921,1
2585462,1
2585463,1
2585469,1
2585470,1
2585520,1
2585521,1
2585538,1
2589078,1
2589079,1
2589080,1
2589138,1
2589139,1
2589155,1
2592696,1
2592697,1
2592698,1
2592699,1
2592700,1
2592755,1
2592756,1
2596372,1
2596373,1
2599990,1
2599991,1
2603608,1
2607204,1
2607205,1
2607225,1
2610821,1
2610822,1
2610843,1
2610863,1
2610864,1
2614460,1
2618077,1
2621694,1
2625312,1
2628959,1
2628960,1
2632577,1
2632578,1
2632579,1
2632580,1
2632581,1
2636167,1
2636168,1
2639784,1
2639785,1
2639786,1
2643403,1
2650637,1
2654255,1
2661525,1
2661526,1
2661527,1
2661528,1
2661529,1
2661530,1
2665102,1
2665142,1
2665143,1
2665145,1
2665146,1
2665147,1
2668759,1
2668760,1
2668763,1
2672377,1
2672380,1
2672381,1
2672583,1
2675994,1
2675995,1
2675996,1
2675997,1
2675998,1
2679611,1
2679612,1
2679613,1
2679614,1
2679615,1
2682934,1
2682935,1
2682936,1
2683191,1
2683192,1
2683193,1
2683196,1
2683198,1
2683209,1
2683210,1
2683211,1
2683212,1
2683213,1
2683229,1
2683230,1
2683231,1
2686552,1
2686808,1
2686809,1
2686810,1
2686826,1
2686827,1
2686829,1
2686830,1
2686846,1
2690427,1
2690428,1
2690443,1
2690444,1
2690447,1
2690463,1
2690464,1
