cell_id,therm_prs
2184194,1
2184195,1
2187811,1
2187812,1
2191428,1
2191429,1
3728749,1
3728750,1
3732366,1
3732367,1
3735983,1
3761652,1
3768534,1
3772150,1
3775767,1
3779384,1
3779607,1
3783001,1
3783224,1
3786617,1
3786840,1
3786841,1
3790234,1
3790457,1
3793851,1
3794161,1
3794162,1
3794163,1
3794164,1
3797468,1
3797692,1
3797693,1
3797694,1
3797695,1
3797779,1
3797780,1
3797781,1
3797782,1
3801084,1
3801309,1
3801310,1
3801311,1
3801312,1
3804701,1
3804926,1
3804927,1
3804928,1
3804929,1
3808318,1
3808544,1
3808610,1
3808611,1
3808612,1
3808613,1
3808614,1
3811935,1
3812226,1
3812227,1
3812228,1
3812229,1
3812230,1
3815551,1
3815843,1
3815844,1
3815845,1
3815846,1
3815847,1
3826646,1
3826647,1
3830262,1
3830263,1
3830264,1
3833880,1
3862791,1
3866407,1
3866408,1
3870024,1
3870025,1
3873641,1
3873642,1
3873651,1
3877258,1
3877259,1
3880875,1
3880876,1
3880881,1
3880882,1
3884497,1
3884498,1
3884499,1
3884500,1
3888115,1
3888116,1
3888117,1
3888118,1
3888119,1
3891732,1
3891733,1
3891734,1
3891735,1
3891736,1
3895348,1
3895349,1
3895350,1
3895351,1
3895352,1
3898965,1
3898966,1
3898967,1
3898968,1
3898969,1
3902582,1
3902583,1
3902584,1
3902585,1
3906199,1
3906200,1
3909815,1
3909816,1
3909817,1
3913432,1
3913433,1
3913434,1
3913435,1
3917048,1
3917049,1
3917050,1
3917051,1
3920665,1
3920666,1
3920667,1
3920668,1
3924067,1
3927684,1
3927685,1
3931507,1
3931508,1
3935124,1
3935125,1
3938740,1
3938741,1
3938742,1
3942357,1
3942359,1
3945973,1
3945975,1
3945976,1
3945977,1
3945978,1
3945979,1
3945980,1
3949590,1
3949592,1
3949593,1
3949594,1
3949595,1
3949596,1
3949597,1
3953207,1
3953209,1
3953210,1
3953211,1
3953212,1
3953213,1
3956823,1
3956824,1
3956826,1
3956827,1
3956829,1
3956830,1
3960440,1
3960441,1
3960446,1
3960447,1
3960452,1
3960453,1
3960454,1
3964056,1
3964057,1
3964058,1
3964062,1
3964063,1
3964067,1
3964068,1
3964069,1
3964070,1
3967673,1
3967674,1
3967679,1
3967680,1
3967683,1
3967684,1
3967685,1
3967686,1
3967687,1
3971290,1
3971291,1
3971296,1
3971297,1
3971300,1
3971301,1
3971302,1
3971303,1
3974907,1
3974908,1
3974910,1
3974918,1
3974919,1
3974920,1
3974921,1
3974922,1
3974923,1
3978524,1
3978525,1
3978526,1
3978527,1
3978538,1
3978539,1
3978540,1
3982142,1
3982143,1
3982154,1
3982155,1
3982156,1
3985771,1
3985772,1
3985773,1
3989388,1
3989389,1
3989390,1
3993005,1
3993006,1
3993007,1
3993217,1
3993218,1
3993225,1
3996444,1
3996611,1
3996612,1
3996614,1
3996615,1
3996835,1
3996843,1
4000061,1
4000228,1
4000229,1
4000230,1
4000231,1
4000232,1
4000235,1
4000236,1
4000350,1
4000351,1
4000352,1
4000353,1
4000452,1
4003678,1
4003845,1
4003846,1
4003847,1
4003849,1
4003850,1
4003852,1
4003853,1
4003966,1
4003967,1
4003968,1
4003969,1
4003970,1
4004076,1
4007294,1
4007295,1
4007463,1
4007464,1
4007466,1
4007467,1
4007468,1
4007469,1
4007571,1
4007572,1
4007583,1
4007585,1
4007586,1
4007587,1
4007687,1
4007688,1
4007693,1
4007694,1
4011080,1
4011084,1
4011085,1
4011086,1
4011187,1
4011188,1
4011201,1
4011202,1
4011203,1
4011305,1
4011306,1
4011307,1
4014506,1
4014507,1
4014696,1
4014697,1
4014699,1
4014700,1
4014701,1
4014702,1
4014801,1
4014802,1
4014803,1
4014804,1
4014805,1
4014817,1
4014818,1
4014819,1
4014820,1
4018123,1
4018124,1
4018315,1
4018316,1
4018317,1
4018318,1
4021932,1
4021933,1
4021934,1
4021936,1
4022166,1
4032609,1
4032610,1
4032791,1
4032792,1
4036218,1
4036225,1
4036226,1
4036408,1
4036409,1
4039844,1
4039845,1
4039846,1
4040021,1
4040022,1
4040023,1
4040024,1
4040025,1
4040135,1
4043460,1
4043461,1
4043638,1
4043639,1
4043640,1
4043722,1
4043723,1
4043744,1
4043865,1
4043866,1
4047256,1
4047339,1
4047362,1
4047363,1
4047364,1
4047482,1
4047483,1
4050873,1
4050956,1
4050979,1
4050980,1
4050981,1
4054367,1
4054487,1
4054488,1
4054489,1
4054572,1
4054595,1
4054596,1
4054597,1
4054718,1
4057929,1
4057930,1
4057931,1
4057932,1
4057933,1
4057934,1
4057936,1
4057983,1
4058103,1
4058104,1
4058105,1
4058106,1
4058107,1
4058189,1
4058212,1
4058213,1
4058339,1
4058340,1
4061548,1
4061549,1
4061550,1
4061551,1
4061552,1
4061553,1
4061723,1
4061826,1
4065144,1
4065145,1
4065165,1
4065166,1
4065167,1
4065168,1
4065340,1
4065442,1
4065573,1
4065574,1
4068760,1
4068761,1
4068762,1
4068781,1
4068782,1
4068957,1
4069059,1
4069060,1
4069061,1
4069062,1
4069190,1
4069191,1
4072377,1
4072378,1
4072398,1
4072399,1
4072573,1
4072574,1
4072676,1
4072678,1
4072679,1
4072817,1
4072818,1
4072819,1
4075994,1
4075995,1
4076015,1
4076190,1
4076293,1
4076294,1
4076295,1
4076296,1
4076427,1
4076428,1
4076434,1
4076435,1
4076436,1
4079612,1
4079752,1
4079909,1
4079910,1
4079911,1
4080045,1
4080046,1
4083367,1
4083368,1
4083369,1
4083370,1
4083521,1
4083522,1
4083526,1
4083527,1
4083528,1
4086984,1
4086985,1
4086986,1
4086987,1
4086988,1
4087136,1
4087137,1
4087138,1
4087139,1
4087143,1
4087144,1
4087145,1
4090600,1
4090601,1
4090602,1
4090603,1
4090604,1
4090753,1
4090754,1
4090761,1
4094217,1
4094218,1
4094219,1
4094220,1
4094221,1
4094514,1
4097833,1
4097834,1
4097835,1
4097836,1
4097837,1
4101450,1
4101451,1
4101452,1
4101453,1
4101454,1
4105065,1
4105066,1
4105067,1
4105068,1
4105069,1
4105070,1
4105230,1
4105231,1
4105232,1
4105371,1
4105372,1
4105373,1
4105374,1
4108683,1
4108684,1
4108685,1
4108686,1
4108687,1
4108742,1
4108847,1
4108848,1
4108849,1
4108989,1
4108990,1
4108991,1
4112299,1
4112300,1
4112301,1
4112302,1
4112303,1
4112358,1
4112359,1
4112464,1
4112465,1
4112603,1
4112609,1
4115917,1
4115918,1
4115919,1
4115975,1
4116068,1
4116213,1
4116214,1
4116222,1
4116223,1
4116225,1
4119591,1
4119592,1
4119685,1
4119830,1
4119831,1
4119832,1
4119839,1
4119840,1
4119843,1
4119844,1
4123154,1
4123155,1
4123208,1
4123301,1
4123302,1
4123447,1
4123448,1
4123449,1
4123457,1
4126772,1
4126912,1
4126913,1
4126914,1
4126915,1
4126916,1
4126917,1
4127077,1
4127078,1
4127079,1
4127080,1
4127081,1
4130354,1
4130389,1
4130390,1
4130391,1
4130528,1
4130529,1
4130530,1
4130531,1
4130532,1
4130533,1
4130545,1
4130546,1
4130547,1
4130694,1
4130695,1
4130696,1
4130697,1
4130698,1
4134005,1
4134006,1
4134007,1
4134145,1
4134146,1
4134147,1
4134148,1
4134162,1
4134163,1
4134314,1
4134315,1
4137578,1
4137586,1
4137587,1
4137622,1
4137623,1
4137624,1
4137625,1
4137680,1
4137779,1
4137780,1
4141195,1
4141203,1
4141204,1
4141238,1
4141239,1
4141240,1
4141241,1
4141296,1
4144811,1
4144855,1
4144856,1
4144857,1
4144858,1
4148470,1
4148526,1
4148528,1
4148529,1
4148535,1
4148536,1
4148817,1
4152087,1
4152093,1
4152143,1
4152144,1
4152145,1
4152146,1
4152434,1
4152435,1
4155703,1
4155709,1
4155760,1
4155761,1
4155762,1
4156022,1
4156023,1
4156051,1
4156052,1
4159326,1
4159340,1
4159341,1
4159639,1
4159640,1
4159669,1
4159670,1
4162942,1
4162957,1
4162958,1
4162960,1
4166559,1
4166576,1
4170171,1
4170172,1
4170173,1
4170174,1
4173790,1
4173791,1
4177406,1
4177407,1
4181024,1
4181029,1
4181082,1
4181371,1
4181372,1
4184646,1
4184647,1
4184664,1
4184665,1
4184666,1
4188263,1
4188264,1
4188280,1
4188281,1
4188282,1
4188283,1
4188575,1
4188576,1
4188606,1
4188607,1
4191895,1
4191896,1
4191897,1
4191898,1
4191899,1
4191900,1
4192192,1
4192193,1
4192224,1
4192225,1
4195512,1
4195513,1
4195514,1
4195515,1
4195516,1
4195809,1
4195810,1
4195811,1
4199128,1
4199129,1
4199130,1
4199131,1
4199132,1
4199133,1
4199135,1
4202746,1
4202747,1
4202748,1
4202749,1
4206368,1
4206663,1
4210279,1
4210280,1
4210313,1
4210314,1
4210315,1
4210316,1
4213479,1
4213480,1
4213602,1
4213605,1
4213606,1
4213608,1
4213609,1
4213897,1
4213898,1
4213930,1
4213931,1
4213932,1
4213933,1
4217096,1
4217097,1
4217218,1
4217219,1
4217220,1
4217222,1
4217223,1
4217225,1
4217226,1
4217547,1
4217548,1
4217549,1
4217550,1
4217551,1
4220836,1
4220837,1
4220838,1
4220839,1
4220840,1
4220842,1
4221165,1
4221166,1
4221167,1
4221168,1
4224455,1
4224456,1
4224457,1
4224458,1
4224459,1
4224460,1
4224784,1
4224785,1
4224786,1
4228058,1
4228074,1
4228075,1
4228076,1
4228077,1
4228404,1
4231674,1
4231675,1
4231691,1
4231692,1
4231693,1
4231694,1
4231695,1
4232021,1
4235282,1
4235283,1
4235290,1
4235291,1
4235292,1
4235293,1
4235307,1
4235308,1
4235310,1
4235311,1
4235312,1
4238898,1
4238899,1
4238900,1
4238901,1
4238909,1
4238910,1
4238924,1
4238925,1
4238927,1
4238928,1
4238989,1
4242517,1
4242518,1
4242519,1
4242526,1
4242527,1
4242541,1
4242542,1
4242543,1
4242544,1
4242605,1
4242606,1
4246135,1
4246136,1
4246137,1
4246144,1
4246145,1
4246221,1
4246222,1
4246223,1
4249753,1
4249754,1
4249755,1
4249761,1
4249762,1
4253371,1
4253372,1
4253373,1
4253378,1
4253379,1
4253380,1
4256988,1
4260605,1
4260615,1
4264232,1
4264569,1
4264570,1
4267848,1
4267849,1
4268186,1
4268187,1
4271465,1
4271505,1
4271803,1
4275081,1
4278700,1
4278701,1
4278702,1
4282316,1
4282317,1
4282318,1
4282319,1
4285933,1
4285934,1
4285935,1
4285936,1
4289550,1
4289551,1
4289552,1
4561206,1
4561207,1
4561208,1
4564823,1
4564824,1
4564825,1
4564826,1
4568441,1
4568442,1
4568443,1
