cell_id,therm_prs
1965038,0
1965039,0
1965040,0
1965041,0
1965042,0
1968655,0
1968656,0
1972271,0
1972272,0
1975888,0
1983116,0
1983117,0
1983118,0
1983119,0
1983120,0
1983121,0
1986733,0
1986734,0
1986735,0
1986736,0
1986737,0
2048145,0
2048146,0
2048163,0
2084474,0.0763
2088072,0.11921
2088091,0.0376
2088092,0.05834
2088093,0.07571
2088094,0.08791
2091689,0.16146
2091696,0.26326
2091697,0.15413
2091698,0.00389
2091699,0
2091700,0
2091701,0
2091702,0
2091703,0
2091704,0
2091705,0
2091706,0
2091707,0
2095314,0.14105
2095315,0.0069
2095316,0
2095317,0
2095318,0
2095319,0
2095320,0
2095321,0
2095322,0
2095323,0
2098922,0.10543
2098931,0.14623
2098932,0.02168
2098933,0
2098934,0
2098935,0
2098936,0
2098937,0
2098938,0
2098939,0
2098940,0.01542
2102539,0.1666
2102547,0.25167
2102548,0.17229
2102549,0.04955
2102550,0.01324
2102551,0.01567
2102552,0.01803
2102553,0.01079
2102554,0.00756
2102555,0.00805
2102556,0.0382
2102557,0.10144
2106164,0.24806
2106165,0.19454
2106166,0.09332
2106167,0.0466
2106168,0.04606
2106169,0.11831
2106170,0.11852
2106171,0.11009
2106172,0.1069
2106173,0.11804
2109772,0.12377
2109781,0.24545
2109782,0.21018
2109783,0.16036
2109784,0.13654
2109785,0.13003
2109786,0.17098
2109787,0.17543
2109788,0.16931
2113389,0.1929
2113400,0.19751
2113401,0.1859
2113402,0.18101
2113408,0.16045
2113409,0.13554
2113410,0.05299
2113411,0
2117026,0.14929
2117027,0.07543
2117028,0.01056
2120622,0.16813
2120644,0.1032
2120645,0.03252
2124261,0.12493
2127855,0.22433
2127863,0.26321
2127864,0.24247
2127865,0.23558
2127866,0.22655
2127878,0.13999
2131480,0.23421
2131481,0.21093
2131482,0.2086
2131495,0.15086
2135095,0.29407
2135096,0.24349
2135097,0.19127
2138705,0.24961
2138712,0.26248
2138713,0.18655
2138714,0.14718
2142328,0.28752
2142329,0.20398
2142330,0.14046
2142331,0.11923
2145944,0.30694
2145945,0.25114
2145946,0.15355
2145947,0.12148
2149561,0.29951
2149562,0.22511
2149563,0.1416
2149564,0.11222
2153178,0.30105
2153179,0.22008
2153180,0.13266
2153181,0.10368
2156795,0.30027
2156796,0.219
2156797,0.1232
2160412,0.29215
2160413,0.20643
2160414,0.11392
2164030,0.18873
2164031,0.10591
2164049,0.1496
2167646,0.25914
2167647,0.15681
2167664,0.1546
2167665,0.14775
2167666,0.13801
2171263,0.23844
2171264,0.13474
2171279,0.16431
2171280,0.1568
2171281,0.13959
2171282,0.13553
2171283,0.13105
2174880,0.21083
2174881,0.11341
2174896,0.14962
2174897,0.13469
2174898,0.13089
2174899,0.13239
2174900,0.13795
2178484,0.21585
2178485,0.24605
2178517,0.15562
2178518,0.17286
2178519,0.18377
2178520,0.18542
2178521,0.18546
2182101,0.24825
2182134,0.16661
2182135,0.18794
2182136,0.19649
2185751,0.16767
2189367,0.14801
2189368,0.17207
2189369,0.19902
2192984,0.15483
2192985,0.1767
2192986,0.1983
2196601,0.15517
2196602,0.17485
2196603,0.1985
2200159,0.16856
2200160,0.15845
2200161,0.15869
2200162,0.15835
2200163,0.15165
2200164,0.14872
2200165,0.15927
2200166,0.17646
2200167,0.18515
2200168,0.19108
2200169,0.19101
2200170,0.19123
2200171,0.19968
2200172,0.20682
2200173,0.21476
2200174,0.22592
2200175,0.23609
2200229,0.17688
2200230,0.16768
2200231,0.14305
2203778,0.18506
2203779,0.17851
2203780,0.17966
2203781,0.18093
2203782,0.18895
2203783,0.19741
2203846,0.18196
2203847,0.17616
2207464,0.1831
2211080,0.18742
2211081,0.17728
2214652,0.33985
2214653,0.32879
2214654,0.32291
2214655,0.32126
2214656,0.32131
2214657,0.31804
2218269,0.31668
2218270,0.29703
2218271,0.29587
2218272,0.30369
2218273,0.31272
2221723,0
2221884,0.33853
2221885,0.31439
2221886,0.28895
2221887,0.27758
2221888,0.2844
2221897,0.28444
2221898,0.19638
2221913,0.15983
2221916,0.22117
2221917,0.21604
2221918,0.2184
2221919,0.21977
2221920,0.21183
2221921,0.1964
2221940,0.2
2225340,0
2225501,0.33104
2225502,0.30062
2225503,0.28153
2225504,0.27806
2225505,0.28399
2225514,0.28624
2225530,0.18297
2225537,0.22627
2225538,0.21047
2229118,0.32581
2229119,0.30033
2229120,0.28671
2229121,0.28031
2229122,0.28534
2229131,0.28268
2229146,0.14381
2229147,0.20316
2229155,0.2152
2229170,0.21169
2229171,0.20709
2229172,0.20622
2232734,0.33686
2232735,0.32756
2232736,0.30989
2232737,0.29522
2232738,0.28569
2232748,0.26994
2232763,0.18638
2232764,0.21258
2232771,0.22745
2232787,0.20962
2232788,0.20619
2232789,0.20641
2236380,0.20873
2236381,0.21297
2236388,0.22225
2236403,0.20867
2236404,0.20753
2236405,0.20763
2239977,0.3087
2239996,0.19977
2239997,0.2072
2239998,0.21031
2239999,0.22416
2240004,0.22864
2240005,0.21369
2243591,0.31042
2243592,0.30825
2243593,0.3104
2243594,0.31178
2247196,0.28635
2247197,0.265
2250800,0.33212
2250801,0.21542
2250802,0.08987
2250803,0.05688
2250810,0.31719
2250811,0.30428
2250812,0.26499
2250813,0.16546
2250814,0.07142
2250815,0.04927
2250816,0.08987
2250817,0.18229
2250818,0.25439
2250819,0.2954
2254415,0.36349
2254416,0.35625
2254417,0.2965
2254418,0.07695
2254419,0
2254420,0
2254421,0
2254422,0
2254423,0
2254424,0
2254425,0.21002
2254426,0.30653
2254427,0.3067
2254428,0.26177
2254429,0.11474
2254430,0
2254431,0
2254432,0
2254433,0
2254434,0.06342
2254435,0.22753
2254436,0.28093
2254437,0.28839
2258026,0.32646
2258027,0.30879
2258028,0.32124
2258029,0.33342
2258030,0.34115
2258031,0.34884
2258032,0.35699
2258033,0.3533
2258041,0
2258042,0.18806
2258043,0.31152
2258044,0.28794
2258045,0.17354
2258046,0
2258047,0
2258048,0
2258049,0
2258050,0
