cell_id,therm_prs
2184194,0.67969
2184195,0.68076
2187811,0.68422
2187812,0.68333
2191428,0.69352
2191429,0.69022
2527569,0.77373
2527570,0.77182
2527571,0.77325
2531187,0.77315
2531188,0.77417
2534804,0.77445
2534805,0.77415
2538421,0.77722
2538422,0.77624
2600243,0.84758
2600244,0.84904
2600245,0.85078
2603860,0.84688
2603861,0.84706
2603862,0.85126
2607477,0.84816
2607478,0.8476
2607479,0.85167
2611094,0.84971
2611095,0.85085
2611096,0.85345
2661530,0.8691
2665147,0.86922
2672381,0.87185
2715793,0.86538
2715794,0.87237
2719411,0.87474
2719412,0.8727
2719413,0.87268
2723028,0.87557
2723029,0.87219
2723030,0.8705
2723031,0.87217
2762730,0.87081
2762731,0.8711
2766347,0.87082
2766350,0.86903
2889666,0.88555
2889667,0.88512
2893282,0.88531
2893283,0.88531
2893284,0.88607
2896898,0.88948
2896899,0.88651
2896900,0.88622
2896901,0.88693
2900515,0.88867
2900516,0.88811
2900517,0.88836
2900518,0.8883
2900519,0.88749
2903983,0.89481
2907600,0.89053
2907601,0.89376
2911217,0.88977
2911218,0.89043
2914834,0.88835
2914835,0.88635
2922070,0.89278
2947504,0.90271
2947506,0.90296
2947558,0.901
2947559,0.90256
2947560,0.9037
2947561,0.90014
2947562,0.89877
2951121,0.90465
2951123,0.90323
2951175,0.90079
2951176,0.90245
2951177,0.90113
2951178,0.89683
2951179,0.89875
2954715,0.89767
2954716,0.8985
2954792,0.90543
2954793,0.9055
2954794,0.90287
2954795,0.89915
2954796,0.89945
2958410,0.90906
2958411,0.90606
2958412,0.90343
2958413,0.89917
2962030,0.89945
2962031,0.89841
2965648,0.8999
2969265,0.90236
2972854,0.90689
2976471,0.90809
2976472,0.90618
2980089,0.90738
2980090,0.90814
2980091,0.91172
2983707,0.90899
2983708,0.91185
3016222,0.92295
3016223,0.91971
3301741,0.97674
3301742,0.97221
3301744,0.96627
3301745,0.95955
3728749,0.73867
3728750,0.73651
3732366,0.73477
3732367,0.73821
3735983,0.73436
3761652,0.91467
3768534,0.7305
3772150,0.72549
3775767,0.72646
3779384,0.72764
3779606,0.87712
3779607,0.87656
3783001,0.72863
3783222,0.87441
3783223,0.87436
3783224,0.87404
3786617,0.72729
3786839,0.87254
