cell_id,therm_prs
479340,0
482957,0
493801,0
497416,0
497417,0
497418,0
497419,0
678070,0
678071,0
678072,0
678073,0
678074,0
678075,0
678076,0
681692,0
793632,0
793633,0
793654,0
797249,0
797250,0
1368562,0
1368563,0
1368564,0
1368565,0
1368569,0
1368570,0
1372177,0
1372178,0
1372179,0
1372180,0
1372181,0
1375794,0
1375795,0
1375796,0
1375797,0
1379410,0
1387059,0.56244
1387060,0.56472
1387061,0.5681
1390247,0
1390248,0
1390249,0
1390250,0
1390251,0
1390252,0
1390253,0
1390254,0
1390333,0
1390334,0
1393864,0
1393865,0
1393866,0
1393867,0
1393868,0
1393869,0
1393870,0
1393950,0
1397481,0
1397482,0
1397483,0
1397484,0
1397566,0
1397567,0
1401183,0
1401548,0.60843
1401557,0.6228
1405165,0.56026
1405166,0.56332
1405172,0.57654
1405173,0.57907
1405174,0.57882
1405175,0.58786
1405176,0.59391
1408318,0.06159
1408319,0.05139
1408320,0.04785
1408321,0.04317
1408322,0.03676
1408323,0.03261
1411934,0.0737
1411935,0.06377
1411936,0.05722
1411937,0.05552
1415551,0.08126
1419167,0.10479
1419168,0.10753
1422784,0.13699
1487840,0.1435
1487843,0.19072
1487844,0.23696
1491456,0.1569
1491457,0.16219
1495073,0.1779
1498689,0.1921
1549296,0.51364
1549297,0.52985
1556853,0.82943
1556854,0.82915
1556855,0.82602
1560470,0.83185
1560471,0.83143
1560472,0.82906
1564086,0.83707
1564087,0.83567
1564088,0.8347
1564089,0.83418
1567703,0.84058
1567704,0.84177
1567705,0.836
1571319,0.84289
1571320,0.84085
1571321,0.83655
1571322,0.83633
1574936,0.84339
1574937,0.83841
1574938,0.83573
1574939,0.83938
1582197,0.82339
1582198,0.82318
1582199,0.82364
1585814,0.82395
1585815,0.82218
1585816,0.82243
1589433,0.82308
1593055,0.82307
1596670,0.82157
1596671,0.82125
1596672,0.82687
1596673,0.82361
1596674,0.81814
1600276,0.83548
1600277,0.83472
1600283,0.8364
1600287,0.82226
1600288,0.81848
1600291,0.8056
1603892,0.83771
1603893,0.83826
1603894,0.83644
1603895,0.83528
1603900,0.83498000000000006
1603901,0.83214
1603902,0.82854
1603905,0.81992
1603906,0.81272
1603907,0.80963
1603908,0.8067
1607509,0.83892
1607510,0.83732
1607511,0.8352
1607517,0.83056
1607518,0.82947
1607519,0.82805
1607522,0.8238
1607523,0.8194
1607524,0.81626
1611126,0.84346
1611127,0.84082
1611128,0.84024
1611129,0.84397
1611130,0.84428
1611131,0.84314
1611132,0.839
1611133,0.83432
1614745,0.84797
1614746,0.85299
1614747,0.85404
1614748,0.8502
1614749,0.84636
1614750,0.84187
1632852,0.84482
1632853,0.84833
1632854,0.85079
1632855,0.8506
1632856,0.85028
1632857,0.85155
1632858,0.85328
1632859,0.85203
1636469,0.84837
1636470,0.85091
1636471,0.85448
1636472,0.85419
1636473,0.85325
1636474,0.85326
1636475,0.85808
1636476,0.85654
1640086,0.85573
1640087,0.85573
1640088,0.85615
1640089,0.85913
1640090,0.86308
1640091,0.8637
1640092,0.86227
1640093,0.86156
1643704,0.86225
1643705,0.86146
1643706,0.8632
1643707,0.86537
1643708,0.86585
1643709,0.86555
1669026,0.8929
1669027,0.88973
1669028,0.89058
1693909,0.71869
1697525,0.71847
1697526,0.74503
1701142,0.74682
1701143,0.78565
1704758,0.74887
1708375,0.78794
1711991,0.78581
1715608,0.85748
1722841,0.95977
1726458,1
1730074,1
1730075,1
1733691,1
1737307,1
