cell_id,therm_prs
5333818,0.53189
5333819,0.50235
5333820,0.46548
5337434,0.52977
5337435,0.49602
5337436,0.45419
5341036,0.46577
5341050,0.52491
5341051,0.49004
5341052,0.44548
5344652,0.45213
5344667,0.49011
5344668,0.44553
5348268,0.43522
5348269,0.44838
5348274,0.50323
5351883,0.43071
5351884,0.42664
5351885,0.43284
5351886,0.45353
5355500,0.43091
5355501,0.43362
5355502,0.43783
5359117,0.43329
5359118,0.44151
5359119,0.44284
5362733,0.43315
5362734,0.40078
5362735,0.44497
5366349,0.4349
5366350,0.43191
5366351,0.35103
5366364,0.48369
5369966,0.43913
5369967,0.43098
5369968,0.40464
5369980,0.50744
5369981,0.47811
5373582,0.41898
5373583,0.44228
5373584,0.40805
5373597,0.48903
5377198,0.43447
5377199,0.37305
5377200,0.3198
5377213,0.4904
5377214,0.4679
5380814,0.42512
5380815,0.41363
5380816,0.32362
5380817,0.28218
5380829,0.49743
5380830,0.47292
5384432,0.37152
5384433,0.27865
5384446,0.47403
5388046,0.39149
5388048,0.41179
5388049,0.37878
5388050,0.42941
5388051,0.5582
5388052,0.60551
5388053,0.43493
5388055,0.54296
5388056,0.58242
5388057,0.75687
5388058,0.69476
5388059,0.62094
5388060,0.58396
5388061,0.48989
5388062,0.45252
5391664,0.40739
5391665,0.40913
5391667,0.43871
5391668,0.47768
5391669,0.44842
5391670,0.43498
5391671,0.44936
5391672,0.52916
5391673,0.53104
5391675,0.46377
5391676,0.4733
5391677,0.4402
5395281,0.3959
5395282,0.37627
5395283,0.40172
5395284,0.41604
5395285,0.42843
5395287,0.43288
5395288,0.44735
5395289,0.47349
5395290,0.49127
5395291,0.50327
5395292,0.44615
5395293,0.4184
5398898,0.37921
5402509,0.35982
5402520,0.39519
5406131,0.35335
5511038,0.11432
5514651,0.12231
5514652,0.11568
5514653,0.11203
5514654,0.1097
5514655,0.10726
5518263,0.12875
5518264,0.11656
5518268,0.11844
5518269,0.10949
5518270,0.11179
5518271,0.10884
5518272,0.10798
5518273,0.10866
5518274,0.10781
5521885,0.111
5521886,0.11011
5521887,0.12437
5521888,0.11742
5521889,0.10872
5525502,0.1085
5525503,0.12148
5525504,0.12091
5525505,0.11305
5525506,0.10512
5528278,0.0456
5528279,0.03663
5528280,0.02703
5531896,0.05187
5531897,0.03913
5531898,0.03778
5535513,0.04977
5535514,0.046
5535515,0.04472
5535517,0.04261
5535518,0.03348
5539131,0.0547
5539132,0.04956
5539133,0.05162
5539134,0.049
5539135,0.04243
5550012,0
5550013,0
5550014,0
5550015,0
5550016,0
5550017,0
5550018,0
5550019,0
5553629,0
5553630,0
5553631,0
5553632,0
5553633,0
5553634,0
5553635,0
5553636,0
5553637,0
5553638,0
5553639,0
5553640,0
5553641,0
5557247,0
5557248,0
5557249,0
5557250,0
5557251,0
5557252,0
5557253,0
5557254,0
5557255,0
5557256,0
5557257,0
5557258,0
5557259,0
5557260,0
5560858,0
5560859,0
5560865,0
5560866,0
5560867,0
5560868,0
5560869,0
5560870,0.02648
5560871,0.03304
5560875,0
5560876,0
5560877,0.03468
5560878,0.01228
5560879,0
5564475,0
5564476,0
5564477,0
5564478,0
5564485,0
5564486,0
5564487,0.00914
5564488,0.00998
5564489,0.0037
5564490,0
5564493,0
5564494,0.08235
5564495,0.13549
5564496,0.0048
5564497,0
5564779,0
5564780,0
5568092,0
5568093,0
5568094,0
5568095,0
5568096,0
5568106,0.00654
5568107,0
5568108,0
5568109,0.05783
5568112,0.1587
5568113,0.00957
5568114,0
5568115,0
5568396,0
5568397,0
5568398,0
5571710,0
5571711,0
5571712,0
5571713,0
5571714,0
5571715,0
5571724,0.00896
5571725,0.00991
5571726,0.01966
