cell_id,therm_prs
4601978,1
4605594,1
4605595,1
4609211,1
4609212,1
4612828,1
4612829,1
4616445,1
4616446,1
4706881,1
4706882,1
4710499,1
4710500,1
4714116,0.90253
4717733,0.67544
4717734,1
4721350,0.79156
4721351,1
4724966,0.86427
4724967,0.98764
4724968,1
4728583,0.8476
4728584,1
4732201,0.98805
4732202,1
4735818,0.84113
4735819,1
4739436,1
4739437,1
4743053,0.67483
4743054,0.75879
4746671,0.39368
4746672,0.32535
4750288,0.10594
4750289,0.16037
4753905,0
4753906,0.07721
4757521,0.08634
4757522,0
4757523,0
4761139,0
4761140,0
4764756,0.12084
4764757,0.16078
4768373,0.37109
4771990,0.25222
4775607,0.12185
4775608,0.17463
4779225,0.04563
4782842,0
4786459,0
4786460,0
4887735,0
4891351,0
4891352,0
4891510,1
4894969,0
4894970,0
4898586,0
4898587,0
4902203,0
4902204,0
4905820,0
4905821,0
4905822,0
4909438,0
4909439,0
4913055,0
4913056,0
4913205,1
4913206,1
4913207,1
4913208,1
4916673,0
4916674,0
4916823,1
4920290,0
4920291,0
4920292,0
4920440,1
4923908,0
4923909,0
4927526,0
4927527,0
4931144,0
4931288,1
4931289,1
4934762,0
4934905,1
4934906,1
4934907,1
4938379,0
4938523,1
4941993,0
4941994,0
4941995,0
4941996,0
4941997,0
4942140,1
4945610,0
4945611,0
4945612,0
4945613,0
4945614,0
4949228,0
4949229,0
4949230,0
4949231,0
4949232,0
4952850,0
4952988,1
4956468,0
4960085,0
4960086,0
4963703,0
4967320,0
4967321,0
4970938,0
4970939,0
4974555,0
4974556,0
4974557,0
4974679,1
4974680,1
4974681,1
4974682,1
4974683,1
4974684,1
4974685,1
4974686,0.9846
4978173,0
4978174,0
4978175,0
4978297,1
4978298,1
4978299,1
4978300,1
4978301,1
4978302,0.96327
4978303,0.85139
4981790,0
4981791,0
4981792,0
4981914,1
4981915,1
4981916,1
4981917,1
4985408,0
4985409,0
4985410,0
4985532,1
4989025,0
4989026,0
4989027,0
4992642,0
4992643,0
4992644,0
4996259,0
4996260,0
4996261,0
4999876,0
4999877,0
4999878,0
5003493,0
5003494,0
5003495,0
5003496,0
5007111,0
5007112,0
5007113,0
5010727,0
5010728,0
5010729,0
5014462,1
5036049,0
5036050,0
5036163,0.97534
5036164,0.88032
5036165,0.75444
5039666,0
5039667,0
5039780,0.92259
5039781,0.84442
5043284,0
5043359,1
5043397,0.88013
5043398,0.78078
5043399,0.66135
5046901,0
5046902,0
5046975,1
5046976,1
5047015,0.74565
5047016,0.63318
5050518,0
5050519,0
5050592,1
5050593,1
5050632,0.70025
5054135,0
5054136,0
5057753,0
5057754,0
5061371,0
5061372,0
5064989,0
5064990,0
5068606,0
5068607,0
5072224,0
5072225,0
5072232,0
5072233,0
5072234,0
5075842,0
5075843,0
5075844,0
5075845,0
5075848,0
5075849,0
5075950,0.56363
5075951,0.50021
5079459,0
5079460,0
5079461,0
5079466,0
5079568,0.48712
5083075,0
5083076,0
5083077,0
5083078,0
5083079,0
5083080,0
5083081,0
5083082,0
5083083,0
5083084,0
5086692,0
5086693,0
5086694,0
5086695,0
5086696,0
5086697,0
5086698,0
5086699,0
5086700,0
5086701,0
5090310,0
5090311,0
5090315,0
5090316,0
5090318,0
5090319,0
5093927,0
5093928,0
5093933,0
5093934,0
5093938,0
5093939,0
5093940,0
5093941,0
5094025,0.58946
5094026,0.57999
5094027,0.54599
5094028,0.49533
5097544,0
5097545,0
5097546,0
5097551,0
5097552,0
5097557,0
5097558,0
5097559,0.51488
5101162,0
5101163,0
5101168,0
5101169,0
5101170,0
5101171,0
5101172,0
5101173,0
5101174,0
5101175,0
5101176,0.34811
5101177,0.64858
5104779,0
5104780,0
5104786,0
5104787,0
5104788,0
5104789,0
5104790,0
5104791,0
5104792,0
5104793,0
5104794,0.625
5108397,0
5108398,0
5108404,0
5108405,0
5108406,0
5108408,0
5108409,0
5108410,0
5108411,0
5108412,0
5112014,0
5112015,0
5112021,0
5112022,0
5112023,0
5112026,0
5112027,0
5112028,0
5112029,0
5115632,0
5115633,0
5115635,0
5115636,0
5115637,0
5115638,0
5115639,0
5115640,0
5115641,0
5115642,0
5115643,0
5115644,0
5115645,0
5115646,0
5119250,0
5119251,0
5119253,0
5119254,0
5119255,0
5119256,0
5119257,0
5119258,0
5119259,0
5119260,0
5119261,0
5122866,0
5122867,0
5122868,0
5122872,0
5122873,0
5122874,0
5122876,0
5122877,0
5122878,0
5122879,0
5126484,0
5126485,0
5126489,0
5126490,0
5126491,0
5126492,0
5126494,0
5126495,0
5126496,0
5126497,0
5130101,0
5130102,0
5130103,0
5130107,0
5130108,0
5130109,0
5130110,0
5130113,0
5130114,0
5130115,0
5133718,0
5133719,0
5133720,0
5133725,0
5133726,0
5133727,0
5133728,0
5133730,0
5133731,0
5133732,0
5137336,0
5137337,0
5137341,0
5137342,0
5137343,0
5137344,0
5137348,0
5137349,0
5137350,0
5140952,0
5140953,0
5140954,0
5140959,0
5140960,0
5140961,0
5140965,0
5140966,0
5144570,0
5144571,0
5144572,0
5144573,0
5144577,0
5144578,0
5144579,0
5144582,0
5144583,0
5148188,0
5148189,0
5148190,0
5148191,0
5148192,0
5148193,0
5148194,0
5148195,0
5148199,0
5148200,0
5151803,0
5151804,0
5151805,0
5151806,0
5151807,0
5151808,0
5151809,0
5151810,0
5151811,0
5151812,0
5151816,0
5151817,0
5151818,0
5155420,0
5155421,0
5155422,0
5155423,0
5155424,0
5155425,0
5155426,0
5155428,0
5155429,0
5155433,0
5155434,0
5155435,0
5155499,0
5155500,0
5155501,0
5155502,0
5155503,0
5155504,0
5155505,0
5155506,0
5155507,0
5159037,0
5159038,0
5159039,0
5159040,0
5159041,0
5159050,0
5159051,0
5159052,0
5159053,0
5159116,0
5159117,0
5159118,0
5159119,0
5159120,0
5159121,0
5159122,0
5159123,0
5159124,0
5162655,0
5162656,0
5162661,0
5162662,0
5162663,0
5162664,0
5162665,0
5162667,0
5162669,0
5162670,0
5162733,0
5162734,0
5162735,0
5162736,0
5162737,0
5162738,0
5162739,0
5162740,0
5166278,0
5166279,0
5166280,0
5166281,0
5166282,0
5166283,0
5166286,0
5166287,0
5166288,0
5166351,0
5166352,0
5166353,0
5166354,0
5166355,0
5166356,0
5169895,0
5169896,0
5169897,0
5169898,0
5169899,0
5169900,0
5169901,0
5169902,0
5169903,0
5169904,0
5169905,0
5169969,0
5169970,0
5169971,0
5169972,0
5173512,0
5173513,0
5173514,0
5173515,0
5173516,0
5173517,0
5173518,0
5173519,0
5173520,0
5173521,0
5173522,0
5173523,0
5173586,0
5173587,0
5173588,0
5173589,0
5173590,0
5177129,0
5177130,0
5177131,0
5177132,0
5177133,0
5177134,0
5177135,0
5177136,0
5177137,0
5177138,0
5177139,0
5177140,0
5177204,0
5177205,0
5177206,0
5180744,0
5180745,0
5180746,0
5180747,0
5180748,0
5180749,0
5180750,0
5180751,0
5180752,0
5180753,0
5180754,0
5180755,0
5180756,0
5180757,0
5180821,0
5180822,0
5180823,0
5180824,0
5184361,0
5184362,0
5184363,0
5184364,0
5184365,0
5184366,0
5184367,0
5184368,0
5184369,0
5184370,0
5184371,0
5184372,0
5184373,0
5184374,0
5184375,0
5184376,0
5184377,0
5184439,0
5184440,0
5184441,0
5187979,0
5187980,0
5187981,0
5187982,0
5187983,0
5187984,0
5187985,0
5187986,0
5187987,0
5187988,0
5187989,0
5187990,0
5187991,0
5187992,0
5187993,0
5187994,0
5187995,0
5187996,0
5187997,0
5188056,0
5188057,0
5188058,0
5191596,0
5191597,0
5191598,0
5191599,0
5191600,0
5191601,0
5191602,0
5191603,0
5191604,0
5191605,0
5191606,0
5191607,0
5191608,0
5191609,0
5191610,0
5191611,0
5191612,0
5191613,0
5191614,0
5191615,0
5191673,0
5191674,0
5191675,0
5191676,0
5195213,0
5195214,0
5195215,0
5195216,0
5195217,0
5195218,0
5195219,0
5195220,0
5195221,0
5195222,0
5195223,0
5195224,0
5195225,0
5195226,0
5195227,0
5195228,0
5195229,0
5195230,0
5195231,0
5195290,0
5195291,0
5195292,0
5198829,0
5198830,0
5198831,0
5198832,0
5198833,0
5198834,0
5198835,0
5198836,0
5198839,0
5198840,0
5198841,0
5198842,0
5198843,0
5198844,0
5198847,0
5198848,0
5198849,0
5198906,0
5198907,0
5198908,0
5198909,0
5198910,0
5202446,0
5202447,0
5202448,0
5202449,0
5202450,0
5202451,0
5202452,0
5202453,0
5202454,0
5202455,0
5202456,0
5202457,0
5202458,0
5202459,0
5202460,0
5202461,0
5202462,0
5202464,0
5202465,0
5202466,0
5202523,0
5202524,0
5202525,0
5202526,0
5202527,0
5206063,0
5206064,0
5206065,0
5206066,0
5206067,0
5206068,0
5206069,0
5206070,0
5206071,0
5206072,0
5206073,0
5206074,0
5206075,0
5206076,0
5206077,0
5206078,0
5206079,0
5206081,0
5206082,0
5206140,0
5206141,0
5206142,0
5206143,0
5206144,0
5206145,0
5209681,0
5209682,0
5209683,0
5209684,0
5209685,0
5209686,0
5209687,0
5209688,0
5209689,0
5209690,0
5209691,0
5209692,0
5209693,0
5209694,0
5209695,0
5209696,0
5209697,0
5209698,0
5209759,0
5209760,0
5209761,0
5209762,0
5213303,0
5213304,0
5213305,0
5213306,0
5213307,0
5213308,0
5213309,0
5213310,0
5213311,0
5213312,0
5213313,0
5213314,0
5213370,0
5213371,0
5213372,0
5213373,0
5213374,0
5213375,0
5213376,0
5213377,0
5213378,0
5216921,0
5216922,0
5216923,0
5216924,0
5216925,0
5216926,0
5216928,0
5216929,0
5216930,0
5216931,0
5216932,0
5216986,0
5216987,0
5216988,0
5216989,0
5216990,0
5216991,0
5216992,0
5216993,0
5216994,0
5216995,0
5216996,0
5220539,0
5220540,0
5220541,0
5220542,0
5220543,0
5220544,0
5220545,0
5220546,0
5220547,0
5220548,0
5220549,0
5220550,0
5220551,0
5220601,0
5220602,0
5220603,0
5220604,0
5220605,0
5224156,0
5224157,0
5224158,0
5224159,0
5224160,0
5224161,0
5224162,0
5224163,0
5224164,0
5224165,0
5224166,0
5224167,0
5224168,0
5224169,0
5224218,0
5224219,0
5224220,0
5224221,0
5227773,0
5227774,0
5227775,0
5227776,0
5227777,0
5227778,0
5227779,0
5227780,0
5227781,0
5227782,0
5227783,0
5227784,0
5227786,0
5227787,0
5227834,0
5227835,0
5227836,0
5227837,0
5231389,0
5231390,0
5231391,0
5231392,0
5231397,0
5231398,0
5231399,0
5231400,0
5231401,0
5231451,0
5231452,0
5231453,0
5235006,0
5235007,0
5235008,0
5235009,0
5235010,0
5235015,0
5235016,0
5235017,0
5235018,0
5235020,0
5235068,0
5235069,0
5238624,0
5238625,0
5238626,0
5238627,0
5238632,0
5238633,0
5238634,0
5238635,0
5238636,0
5238637,0
5238638,0
5238685,0
5238686,0
5238687,0
5242241,0
5242242,0
5242243,0
5242244,0
5242245,0
5242250,0
5242251,0
5242252,0
5242253,0
5242254,0
5242302,0
5242303,0
5242304,0
5245858,0
5245859,0
5245860,0
5245861,0
5245862,0
5245863,0
5245868,0
5245869,0
5245870,0
5245871,0
5245919,0
5245920,0
5245921,0
5245922,0
5249475,0
5249476,0
5249477,0
5249478,0
5249479,0
5249485,0
5249486,0
5249487,0
5249488,0
5249536,0
5249537,0
5249538,0
5249539,0
5253093,0
5253094,0
5253095,0
5253096,0
5253097,0
5253098,0
5253103,0
5253104,0
5253105,0
5253106,0
5253153,0
5253154,0
5253155,0
5256711,0
5256712,0
5256713,0
5256714,0
5256716,0
5256721,0
5256722,0
5256723,0
5256724,0
5256771,0
5256772,0
5260328,0
5260329,0
5260330,0
5260331,0
5260338,0
5260339,0
5260340,0
5260341,0
5260388,0
5260389,0
5260390,0
5263945,0
5263946,0
5263947,0
5263956,0
5263957,0
5263958,0
5263959,0
5264006,0
5264007,0
5264008,0
5267561,0
5267562,0
5267563,0
5267566,0
5267574,0
5267575,0
5267624,0
5267625,0
5267626,0
5271177,0
