cell_id,therm_prs
1041148,0
1041149,0
1044764,0
1044765,0
1044766,0
1044767,0
1044768,0
1044769,0
1044770,0
1941803,0.37239
1941804,0.37163
1964790,0.34348
1964791,0.35113
1964792,0.36193
1964805,0.36144
1964806,0.34031
1968407,0.3388
1968408,0.34964
1968409,0.3591
1968422,0.35213
1968423,0.33377
1972024,0.3305
1972025,0.34475
1972026,0.35449
1972040,0.33027
1974363,0.40211
1975642,0.34334
1975643,0.35045
1975656,0.34249
1975657,0.3127
1979260,0.34632
1979265,0.3175
1979274,0.29781
1993739,0.32288
1997356,0.31324
1999583,0.57066
1999584,0.56952
2000972,0.31555
2004592,0.19634
2004593,0.25082
2008206,0.28722
2008208,0.37544
2008209,0.35995
2008210,0.36777
2011823,0.27949
2011824,0.34025
2011825,0.37464
2011826,0.38883
2015439,0.26658
2015440,0.29153
2015441,0.34258
2015442,0.37399
2015443,0.38322
2017670,0.5434
2019056,0.29014
2019057,0.31962
2019058,0.35473
2019059,0.37928
2022676,0.39133
2025678,0.38712
2025679,0.38267
2026284,0.14299
2026285,0.16266
2026293,0.40238
2026294,0.41752
2026295,0.41076
2026296,0.40121
2029295,0.38858
2029296,0.38602
2029901,0.1444
2029902,0.18226
2029910,0.41145
2029911,0.42378
2029912,0.42025
2029913,0.4159
2029914,0.40753
2032912,0.39499
2032913,0.39593
2033518,0.1586
2033519,0.20972
2033526,0.4048
2033527,0.41921
2033528,0.42908
2033529,0.43158
2033530,0.41985
2033531,0.4154
2036536,0.40087
2036537,0.39515
2037135,0.19194
2037143,0.41612
2037144,0.42576
2037145,0.4363
2037146,0.43689
2037147,0.42531
2037148,0.42104
2040153,0.4052
2040154,0.40377999999999997
2040751,0.21636
2040752,0.22665
2040762,0.44364
2040763,0.4462
2040764,0.44341
2040765,0.43487
2044368,0.23155
2044369,0.26148
2044380,0.45566
2044381,0.4503
2044382,0.43122
2047399,0.40594
2047400,0.40213
2048001,0.4382
2048002,0.46145
2048003,0.4663
2050228,0.50967
2050229,0.51633
2050230,0.52049
2050231,0.52553
2051014,0.41295
2051015,0.41222
2051016,0.41003
2051618,0.45064
2051619,0.46378
2051620,0.46772
2051621,0.48628
2051622,0.53479
2053838,0.53465
2053839,0.52799
2053840,0.52497
2053844,0.50979
2053845,0.50655
2053846,0.51331
2053847,0.52553
2054631,0.4144
2055235,0.4814
2055236,0.48223
2055237,0.47892
2055238,0.54816
2057456,0.52824
2057457,0.52215
2057462,0.51309
2057463,0.51122
2057464,0.5213
2057465,0.53153
2057585,0.46315
2057586,0.47112
2058247,0.42539
2058248,0.42485
2058852,0.49545
2058853,0.49088
2058854,0.48354
2058855,0.50112
2061079,0.51429
2061080,0.51201
2061081,0.52659
2061082,0.53131
2061202,0.46327
2061203,0.44737
2062469,0.50175
2062470,0.49628
2062471,0.49385
2064697,0.51938
2064698,0.52508
2064699,0.53238
2064820,0.45776
2064821,0.44766
2064822,0.47079
2066087,0.50371
2068438,0.46275
2068439,0.46248
2069688,0.366
2071929,0.52712
2071930,0.52411
2071931,0.52765
2071932,0.53573
2072057,0.47959
2073304,0.36547
2073305,0.37104
2075546,0.53054
2075547,0.52781
2075548,0.52825
2075549,0.53643
2076922,0.372
2076923,0.41738
2076938,0.45787
2079164,0.53207
2079165,0.53282
2079279,0.52723
2079280,0.52783
2080538,0.33269
2080539,0.32307
2080540,0.40797
2080555,0.49653
2080556,0.4975
2082896,0.53164
2082897,0.53425
2082898,0.5338
2082909,0.49445
2082910,0.49562
2084156,0.30299
2084171,0.5366
2084172,0.5229
2084173,0.51548
2084174,0.50813
2084175,0.47571
2086394,0.54061
2086395,0.53414
2086396,0.53626
2086399,0.54178
2086400,0.54529
2086526,0.5109
2086527,0.49695
2086528,0.50583
2087773,0.41542
2087789,0.54018
2087790,0.52595
2087791,0.50894
2090011,0.54431
2090012,0.53257
2090013,0.53523
2090015,0.54111
2090016,0.53894
2090017,0.5439
2090144,0.50848
2090145,0.50538
2090146,0.51695
2091390,0.45449
2091391,0.4774
2091392,0.49349
2095007,0.47466
2095008,0.48199
2095009,0.48647
2098624,0.39159
2098625,0.47949
2098626,0.4653
2098627,0.47907
2100997,0.52373
2100998,0.53002
2102240,0.34365
2102241,0.39265
2102243,0.41189
2104614,0.53097
2104615,0.52107
2104616,0.53532
2105857,0.36397
2105858,0.39359
2105859,0.36815
2105860,0.38346
2108232,0.52961
2108233,0.5327
2109475,0.37257
2111850,0.54161
2111851,0.55109
2115336,0.57637
2118953,0.57533
2122571,0.58596
2123356,0.52155
2123357,0.5156
2123358,0.51173
2123359,0.51059
2126972,0.5272
2126973,0.5197
2126974,0.51572
2126975,0.51368
2126978,0.51197
2126979,0.51078
2126980,0.51197
2130588,0.53319
2130589,0.5258
2130590,0.51892
2130591,0.5174
2130594,0.51717
2130595,0.51529
2130596,0.51416
2131181,0.55414
2133454,0.60489
2133455,0.6076
2134206,0.52676
2134207,0.52168
2134210,0.5244
2134211,0.52333
2134212,0.52057
2134812,0.48563
2137071,0.6063
2137072,0.60929
2137843,0.52162
2137844,0.51721
2138429,0.41947
2140688,0.61113
2140689,0.61148
2141459,0.52982
2141460,0.52343
2141461,0.5196
2142045,0.53928
2142046,0.52013
2144305,0.61966
2144306,0.61696
2145076,0.53409
2145077,0.52906
2145097,0.52668
2145098,0.5269
2145662,0.57867
2145663,0.56694
2145664,0.586
2148702,0.52993
2148703,0.52622
2148704,0.52388
2148712,0.5314
2148713,0.52972
2148714,0.5292
2149278,0.61934
2149279,0.61022
2149280,0.60275
2149281,0.59701
2149282,0.63353
2152318,0.53547
2152319,0.52952
2152320,0.52711
2152328,0.5361
2152329,0.53305
2152330,0.53195
2152896,0.62247
2152897,0.61267
2152898,0.59718
2155253,0.65039
2155254,0.6468
2155933,0.54723
2155934,0.54118
2155935,0.53397
2155936,0.52989
2155937,0.5281
2155945,0.53956
2155946,0.53767
2155947,0.53962
2158870,0.66038
2158871,0.65684
2159550,0.54935
2159551,0.542
2159552,0.53633
2159553,0.53217
2159561,0.5453
2159562,0.5445
2162487,0.67079
2162488,0.66959
2163168,0.54703
2163169,0.54174
2170423,0.55002
2170424,0.54313
2170425,0.53735
2170426,0.53285
2174039,0.5589
2174040,0.54778
2174041,0.53906
2174042,0.53316
2177659,0.53566
2178151,0.10265
2178152,0.1018
2181275,0.53617
2181276,0.53908
2184045,0.66705
2184194,0.70543
2184195,0.707
2184891,0.54331
2187654,0.6872
2187655,0.6808
2187811,0.71208
2187812,0.71078
