cell_id,therm_prs
5528278,0.03467
5528279,0.03253
5528280,0.03025
5531896,0.03616
5531897,0.03313
5531898,0.0328
5535513,0.03566
5535514,0.03476
5535515,0.03446
5535517,0.03395
5535518,0.03178
5539131,0.03683
5539132,0.03561
5539133,0.0361
5539134,0.03548
5539135,0.03391
5550012,0.01656
5550013,0.01584
5550014,0.01737
5550015,0.01851
5550016,0.01658
5550017,0.01578
5550018,0.01696
5550019,0.01709
5553629,0.01596
5553630,0.01533
5553631,0.01723
5553632,0.02025
5553633,0.01827
5553634,0.01774
5553635,0.01771
5553636,0.01639
5553637,0.01524
5553638,0.01588
5553639,0.01659
5553640,0.01744
5553641,0.01782
5557247,0.0147
5557248,0.01804
5557249,0.02078
5557250,0.01892
5557251,0.01793
5557252,0.02277
5557253,0.01949
5557254,0.01722
5557255,0.01594
5557256,0.01586
5557257,0.01762
5557258,0.01917
5557259,0.01992
5557260,0.01909
5560858,0.01647
5560859,0.01587
5560865,0.01782
5560866,0.01976
5560867,0.01897
5560868,0.01897
5560869,0.02053
5560870,0.03011
5560871,0.03168
5560875,0.00681
5560876,0.014
5560877,0.03207
5560878,0.02673
5560879,0.02047
5564475,0.01354
5564476,0.01566
5564477,0.01615
5564478,0.01843
5564485,0.02054
5564486,0.02208
5564487,0.02599
5564488,0.02619
5564489,0.02469
5564490,0.02017
5564493,0.01302
5564494,0.04342
5564495,0.05607
5564496,0.02495
5564497,0.01833
5564779,0
5564780,0
5568092,0.00966
5568093,0.01307
5568094,0.01388
5568095,0.01571
5568096,0.01657
5568106,0.02537
5568107,0.02379
5568108,0.0228
5568109,0.03758
5568112,0.0616
5568113,0.02609
5568114,0.02021
5568115,0.01784
5568396,0
5568397,0
5568398,0
5571710,0.00775
5571711,0.00943
5571712,0.01263
5571713,0.01457
5571714,0.01589
5571715,0.01577
5571724,0.02594
5571725,0.02617
5571726,0.02849
5571727,0.04303
5571728,0.06289
5571729,0.0793
5571731,0.02061
5571732,0.01936
5571733,0.01622
5571734,0.01438
5572013,0
5572014,0
5575327,0.0057
5575328,0.00474
5575329,0.00643
5575330,0.00819
5575331,0.01054
5575332,0.01311
5575341,0.02625
5575342,0.02661
5575343,0.02411
5575344,0.02829
5575345,0.03761
5575346,0.04053
5575347,0.00571
5575349,0.01663
5575350,0.01539
5575351,0.01314
5578945,0.00257
5578946,0.00202
5578948,0.0048
5578949,0.0085
5578962,0.02446
5578963,0.02426
5578964,0.01581
5578965,0.01157
5578967,0.01475
5578968,0.01358
5578969,0.01405
5582582,0.01253
5582583,0.01188
5582584,0.01809
5582585,0.01642
5582586,0.01596
5586199,0.01313
5586200,0.01177
5586201,0.01574
5586202,0.01751
5586203,0.01491
5586211,0
5586212,0
5589818,0.01143
5589819,0.0142
5589820,0.01381
5589828,0
5589829,0
5589830,0
5593445,2e-4
5593446,0
5593447,0
5633287,0
5636903,0
5636904,0
5636905,0
5640521,0
5640522,0
5647759,0
5647760,0
5651368,0
5651369,0
5651370,0
5651375,0
5651376,0
5651377,0
5654986,0
5654987,0
5654992,0
5654993,0
5654994,0
5662231,0
5662232,0
5665848,0
5665849,0
5687553,0
5687554,0
5687555,0
5691170,0
5691171,0
5691172,0
5691173,0
5694788,0
5694789,0
5709258,0
5709259,0
5709260,0
5712875,0
5712876,0
5712877,0
5712878,0
5716492,0
5716493,0
5716494,0
5716495,0
5730961,0
5730962,0
5734578,0
5734579,0
5734580,0
5738195,0
5738196,0
5745425,0
5745426,0
5745427,0
5745428,0
5749042,0
5749043,0
5749044,0
5749045,0
5781478,0
5785095,0
5785096,0
5785097,0
5785098,0
5785099,0
5785100,0
5785101,0
5785102,0
5788710,0
5788713,0
5788714,0
5788715,0
5788716,0
5788717,0
5788718,0
5788719,0
5788720,0
5788721,0
5788722,0
5788723,0
5788724,0
5788725,0
5792331,0
5792332,0
5792333,0
5792334,0
5792335,0
5792336,0
5792337,0
5792338,0
5792339,0
5792340,0
5792341,0
5792342,0
5795954,0
5795955,0
5795956,0
5795957,0
5795958,0
5795959,0
5799506,0
5799507,0
5803124,0
5803125,0
5803126,0
5803127,0
5803128,0
5803129,0
5803130,0
5803131,0
5803134,0
5803135,0
5806742,0
5806743,0
5806744,0
5806745,0
5806746,0
5806747,0
5806748,0
5806751,0
5806752,0
5810360,0
5810361,0
5810362,0
5810363,0
5810364,0
5810368,0
5810369,0
5810370,0
5813978,0
5813979,0
5813985,0
5813986,0
5813987,0
5817593,0
5817595,0
5817596,0
5832048,0
5832049,0
5832050,0
5832051,0
5832052,0
5832053,0
5832054,0
5835662,0
5835663,0
5835664,0
5835665,0
5835666,0
5835667,0
5835670,0
5835671,0
5835672,0
5839277,0
5839278,0
5839279,0
5839280,0
5839281,0
5839282,0
5839283,0
5839284,0
5839285,0
5839286,0
5839287,0
5839288,0
5839289,0
5842892,0
5842893,0
5842894,0
5842895,0
5842896,0
5842897,0
5842898,0
5842899,0
5842900,0
5842901,0
5842902,0
5842903,0
5842904,0
5846508,0
5846509,0
5846510,0
5846511,0
5846512,0
5846513,0
5846514,0
5846515,0
5846516,0
5846517,0
5846518,0
5846519,0
5850122,0
5850123,0
5850124,0
5850125,0
5850126,0
5850127,0
5850128,0
5850129,0
5850130,0
5850131,0
5850132,0
5850133,0
5850134,0
5853737,0
5853738,0
5853739,0
5853740,0
5853741,0
5853742,0
5853743,0
5853744,0
5853745,0
5853746,0
5853747,0
5853748,0
5853749,0
5857354,0
5857355,0
5857356,0
5857357,0
5857358,0
5857359,0
5857360,0
5857361,0
5857362,0
5857363,0
5857364,0
5857365,0
5860971,0
5860972,0
5860973,0
5860974,0
5860975,0
5860976,0
5860977,0
5860978,0
5860979,0
5860980,0
5860981,0
5864584,0
5864585,0
5864586,0
5864589,0
5864590,0
5864591,0
5864595,0
5864596,0
5864597,0
5868201,0
5868202,0
5868203,0
5868212,0
5868213,0
5868214,0
5868238,0
5868239,0
5868240,0
5868241,0
5868242,0
5868243,0
5871818,0
5871819,0
5871820,0
5871829,0
5871830,0
5871831,0
5871854,0
5871855,0
5871856,0
5871859,0
5871860,0
5871861,0
5871862,0
5871863,0
5875435,0
5875436,0
5875439,0
5875440,0
5875441,0
5875442,0
5875468,0
5875469,0
5875470,0
5875471,0
5875472,0
5875473,0
5875474,0
5875475,0
5875476,0
5875477,0
5875478,0
5875479,0
5875480,0
5875481,0
5875482,0
5875483,0
5875484,0
5879056,0
5879057,0
5879058,0
5879059,0
5879060,0
5879078,0
5879079,0
5879082,0
5879083,0
5879084,0
5879085,0
5879086,0
5879088,0
5879089,0
5879090,0
5879091,0
5879092,0
5879095,0
5879096,0
5879097,0
5879098,0
5879099,0
5879100,0
5879101,0
5882674,0
5882675,0
5882676,0
5882690,0
5882696,0
5882697,0
5882698,0
5882699,0
5882700,0
5882701,0
5882706,0
5882707,0
5882708,0
5882709,0
5882710,0
5882711,0
5882712,0
5882713,0
5882714,0
5882715,0
5882716,0
5882717,0
5882718,0
5882719,0
5882720,0
5882721,0
5886306,0
5886307,0
5886308,0
5886309,0
5886313,0
5886314,0
5886315,0
5886325,0
5886326,0
5886327,0
5886328,0
5886329,0
5886330,0
5886331,0
5886332,0
5886333,0
5886338,0
5889914,0
5889915,0
5889919,0
5889920,0
5889921,0
5889922,0
5889924,0
5889925,0
5889926,0
5889928,0
5889929,0
5889930,0
5889931,0
5889943,0
5889944,0
5889945,0
5889946,0
5889947,0
5889948,0
5889949,0
5889950,0
5893531,0
5893532,0
5893533,0
5893536,0
5893537,0
5893538,0
5893539,0
5893543,0
5893544,0
5893545,0
5893546,0
5893547,0
5893548,0
5893561,0
5893562,0
5897148,0
5897149,0
5897150,0
5897151,0
5897152,0
5897154,0
5897155,0
5897156,0
5897157,0
5897158,0
5897159,0
5897160,0
5897161,0
5897162,0
5897163,0
5897164,0
5897178,0
5900763,0
5900764,0
5900765,0
5900766,0
5900767,0
5900768,0
5900769,0
5900770,0
5900771,0
5900772,0
5900773,0
5900774,0
5900775,0
5900776,0
5900777,0
5900778,0
5900781,0
5900786,0
5904380,0
5904381,0
5904382,0
5904383,0
5904390,0
5904391,0
5904392,0
5907993,0
5907994,0
5907995,0
5907997,0
5907998,0
5907999,0
5908000,0
5908001,0
5908008,0
5908009,0
5908035,0
5911610,0
5911611,0
5911612,0
5911613,0
5911614,0
5911615,0
5911616,0
5911617,0
5911619,0
5911626,0
5915227,0
5915228,0
5915230,0
5915231,0
5915232,0
5915233,0
5915234,0
5915236,0
5915237,0
5918843,0
5918844,0
5918845,0
5918847,0
5918848,0
5918849,0
5918850,0
5918851,0
5918852,0
5918853,0
5918854,0
5918855,0
5922460,0
5922461,0
5922466,0
5922467,0
5926077,0
5926078,0
5926079,0
5926080,0
5926083,0
5926084,0
5926085,0
5929695,0
5929696,0
5929697,0
5929698,0
5929699,0
5929700,0
5929701,0
5929702,0
5929703,0
5933316,0
5933317,0
5933318,0
5933319,0
5933320,0
5933321,0
5936932,0
5936933,0
5936934,0
5936935,0
5936936,0
5936937,0
5936938,0
5936939,0
5936952,0
5936953,0
5936954,0
5940545,0
5940546,0
5940547,0
5940549,0
5940550,0
5940551,0
5940552,0
5940555,0
5940556,0
5940557,0
5940570,0
5940571,0
5940572,0
5944162,0
5944163,0
5944164,0
5944165,0
5944167,0
5944168,0
5944169,0
5944170,0
5944188,0
5944189,0
5944190,0
5947778,0
5947779,0
5947780,0
5947781,0
5947782,0
5947785,0
5947786,0
5947787,0
5947788,0
5947806,0
5947807,0
5947808,0
5951394,0
5951395,0
5951396,0
5951397,0
5951398,0
5951399,0
5951400,0
5951403,0
5951404,0
5951405,0
5951406,0
5951407,0
5951408,0
5951424,0
5951425,0
5955012,0
5955013,0
5955014,0
5955015,0
5955021,0
5955022,0
5955023,0
5955024,0
5955025,0
5955042,0
5955043,0
5958629,0
5958630,0
5958631,0
5958632,0
5958633,0
5958640,0
5958641,0
5958660,0
5958661,0
5962246,0
5962247,0
5962248,0
5962249,0
5962250,0
5962251,0
5962278,0
5962279,0
5965864,0
5965865,0
5965866,0
5965867,0
5965868,0
5965869,0
5965895,0
5965896,0
5965897,0
5969480,0
5969481,0
5969482,0
5969483,0
5969484,0
5969485,0
5969486,0
5969487,0
5969488,0
5969489,0
5969490,0
5973097,0
5973098,0
5973099,0
5973100,0
5973103,0
5973104,0
5973105,0
5973106,0
5973107,0
5973108,0
5976714,0
5976715,0
5976716,0
5976717,0
5976721,0
5976722,0
5976723,0
5980331,0
5980332,0
5980333,0
5980334,0
5980335,0
5980336,0
5980337,0
5980338,0
5980339,0
5980340,0
5980341,0
5983948,0
5983957,0
5983958,0
5983959,0
5983983,0
5983984,0
5983988,0
5983989,0
5987564,0
5987565,0
5987566,0
5987576,0
5987577,0
5987601,0
5987602,0
5987606,0
5987607,0
5987608,0
5991180,0
5991181,0
5991183,0
5991184,0
5991194,0
5991219,0
5991220,0
5991224,0
5991225,0
5991226,0
5994797,0
5994798,0
5994800,0
5994801,0
5994802,0
5994837,0
5994838,0
5994842,0
5994843,0
5994844,0
5998414,0
5998415,0
5998418,0
5998419,0
5998420,0
5998455,0
5998456,0
5998457,0
5998460,0
5998461,0
6002032,0
6002033,0
6002056,0
6002057,0
6002058,0
6002059,0
6002060,0
6002061,0
6002062,0
6002063,0
6002064,0
6002065,0
6002066,0
6002067,0
6002068,0
6002069,0
6002073,0
6002074,0
6002075,0
6002076,0
6002077,0
6002078,0
6002079,0
6005649,0
6005650,0
6005674,0
6005675,0
6005676,0
6005677,0
6005678,0
6005679,0
6005680,0
6005681,0
6005682,0
6005683,0
6005684,0
6005685,0
6005686,0
6005687,0
6005691,0
6005692,0
6005693,0
6005694,0
6005695,0
6005696,0
6009267,0
6009268,0
6009292,0
6009293,0
6009294,0
6009295,0
6009296,0
6009297,0
6009298,0
6009299,0
6009300,0
6009301,0
6009302,0
6009303,0
6009304,0
6009305,0
6009309,0
6009310,0
6009311,0
6009312,0
6009313,0
6009314,0
6012884,0
6012885,0
6012910,0
6012911,0
6012912,0
6012913,0
6012914,0
6012915,0
6012916,0
6012917,0
6012918,0
6012919,0
6012920,0
6012921,0
6012922,0
6012923,0
6012927,0
6012928,0
6012929,0
6012930,0
6012931,0
6012932,0
6016529,0
6016530,0
6016531,0
6016532,0
6016533,0
6016534,0
6016535,0
6016536,0
6016537,0
6016538,0
6016539,0
6016540,0
6016541,0
6016542,0
6016543,0
6016544,0
6016545,0
6016546,0
6016547,0
6016548,0
6016549,0
6020147,0
6020148,0
6020149,0
6020150,0
6020151,0
6020152,0
6020153,0
6020154,0
6020155,0
6020156,0
6020157,0
6020158,0
6020159,0
6020160,0
6020161,0
6020162,0
6020163,0
6020164,0
6020165,0
6023765,0
6023766,0
6023767,0
6023768,0
6023769,0
6023770,0
6023771,0
6023772,0
6023773,0
6023774,0
6023775,0
6023776,0
6023777,0
6023778,0
6023779,0
6023780,0
6023781,0
6023782,0
6023783,0
6023784,0
6027383,0
6027384,0
6027385,0
6027386,0
6027387,0
6027388,0
6027389,0
6027390,0
6027391,0
6027392,0
6027393,0
6027394,0
6027395,0
6027396,0
6027397,0
6027398,0
6027399,0
6027400,0
6027401,0
6027402,0
6031014,0
6031015,0
6031016,0
6031017,0
6031018,0
6031019,0
6031020,0
6034633,0
6034634,0
6034635,0
6034636,0
6034637,0
6034638,0
6034639,0
6038251,0
6038252,0
6038253,0
6038254,0
6038255,0
6038256,0
6041869,0
6041870,0
6041871,0
6041872,0
6041873,0
6041874,0
6045487,0
6045488,0
6045489,0
6045490,0
6045491,0
6045492,0
6045493,0
6082066,0
6082067,0
6082068,0
6082069,0
6082070,0
6082071,0
6082072,0
6082076,0
6082077,0
6085683,0
6085684,0
6085685,0
6085686,0
6085687,0
6085688,0
6085689,0
6085691,0
6085692,0
6085693,0
6085694,0
6085749,0
6085751,0
6089274,0
6089300,0
6089303,0
6089304,0
6089305,0
6089308,0
6089309,0
6089310,0
6089365,0
6092891,0
6092892,0
6092893,0
6092894,0
6092895,0
6092896,0
6092897,0
6092901,0
6092902,0
6092903,0
6092969,0
6092970,0
6092971,0
6096443,0
6096444,0
6096445,0
6096475,0
6096476,0
6096477,0
6096481,0
6096508,0
6096509,0
6096510,0
6096511,0
6096512,0
6096513,0
6096514,0
6096518,0
6096519,0
6096563,0
6096564,0
6096585,0
6096586,0
6096587,0
6100054,0
6100055,0
6100056,0
6100057,0
6100058,0
6100060,0
6100061,0
6100062,0
6100087,0
6100091,0
6100092,0
6100093,0
6100094,0
6100095,0
6100098,0
6100125,0
6100126,0
6100127,0
6100128,0
6100129,0
6100130,0
6100131,0
6100135,0
6100136,0
6100180,0
6100181,0
6100182,0
6100189,0
6100190,0
6100191,0
6100201,0
6100202,0
6103655,0
6103656,0
6103657,0
6103658,0
6103659,0
6103670,0
6103671,0
6103672,0
6103674,0
6103675,0
6103678,0
6103679,0
6103701,0
6103702,0
6103703,0
6103704,0
6103705,0
6103708,0
6103709,0
6103711,0
6103712,0
6103714,0
6103715,0
6103741,0
6103742,0
6103743,0
6103745,0
6103746,0
6103747,0
6103748,0
6103751,0
6103752,0
6103797,0
6103799,0
6103800,0
6103801,0
6103806,0
6103807,0
6103808,0
6103809,0
6103810,0
6103812,0
6103818,0
6103819,0
6103820,0
6103821,0
6107272,0
6107273,0
6107274,0
6107275,0
6107276,0
6107287,0
6107288,0
6107289,0
6107290,0
6107291,0
6107292,0
6107294,0
6107295,0
6107296,0
6107318,0
6107319,0
6107321,0
6107322,0
6107325,0
6107326,0
6107327,0
6107328,0
6107329,0
6107330,0
6107331,0
6107332,0
6107358,0
6107359,0
6107360,0
6107363,0
6107364,0
6107365,0
6107413,0
6107417,0
6107418,0
6107422,0
6107423,0
6107424,0
6107427,0
6107428,0
6107435,0
6107436,0
6107437,0
6107448,0
6107449,0
6107450,0
6110882,0
6110883,0
6110890,0
6110891,0
6110892,0
6110893,0
6110894,0
6110975,0
6110976,0
6110977,0
6110978,0
6110979,0
6110980,0
6110981,0
6114500,0
6114501,0
6114502,0
6114503,0
6114504,0
6114505,0
6114506,0
6114507,0
6114508,0
6114509,0
6114510,0
6114511,0
6114512,0
6114593,0
6114594,0
6114595,0
6114596,0
6114597,0
6114598,0
6118105,0
6118106,0
6118107,0
6118108,0
6118116,0
6118117,0
6118118,0
6118120,0
6118121,0
6118122,0
6118123,0
6118124,0
6118128,0
6118129,0
6121721,0
6121722,0
6121723,0
6121724,0
6121725,0
6121726,0
6121733,0
6121734,0
6121735,0
6121740,0
6121745,0
6121746,0
6125338,0
6125339,0
6125340,0
6125341,0
6125342,0
6125343,0
6125344,0
6125345,0
6125346,0
6125360,0
6125361,0
6125362,0
6125363,0
6125364,0
6125370,0
6125371,0
6125372,0
6125392,0
6128947,0
6128948,0
6128949,0
6128950,0
6128951,0
6128955,0
6128956,0
6128957,0
6128958,0
6128962,0
6128963,0
6128964,0
6128977,0
6128978,0
6128979,0
6128980,0
6128981,0
6128982,0
6128983,0
6128984,0
6128985,0
6128986,0
6128987,0
6128988,0
6128989,0
6128990,0
6129008,0
6129009,0
6132563,0
6132564,0
6132565,0
6132566,0
6132567,0
6132568,0
6132569,0
6132570,0
6132571,0
6132572,0
6132573,0
6132580,0
6132581,0
6132582,0
6132594,0
6132595,0
6132596,0
6132597,0
6132598,0
6132599,0
6132600,0
6132601,0
6132602,0
6132603,0
6132604,0
6132605,0
6132606,0
6132607,0
6132625,0
6132626,0
6136180,0
6136181,0
6136182,0
6136185,0
6136186,0
6136187,0
6136188,0
6136189,0
6136190,0
6136197,0
6136198,0
6136199,0
6136201,0
6136202,0
6136223,0
6136224,0
6136242,0
6139798,0
6139799,0
6139800,0
6139804,0
6139805,0
6139806,0
6139807,0
6139815,0
6139816,0
6139817,0
6139818,0
6139819,0
6143416,0
6143417,0
6143418,0
6143419,0
6143420,0
6143421,0
6143422,0
6143423,0
6143433,0
6143434,0
6143435,0
6143436,0
6147036,0
6147037,0
6147038,0
6147039,0
6147040,0
6150647,0
6150648,0
6150649,0
6150654,0
6150655,0
6150656,0
6150657,0
6154258,0
6154259,0
6154260,0
6154261,0
6154262,0
6154263,0
6154264,0
6154265,0
6154266,0
6154267,0
6154268,0
6154269,0
6154270,0
6154271,0
6157870,0
6157871,0
6157872,0
6157873,0
6157874,0
6157875,0
6157876,0
6157877,0
6157878,0
6157879,0
6157880,0
6157881,0
6157882,0
6157883,0
6157884,0
6157885,0
6157886,0
6157887,0
6157888,0
6161483,0
6161484,0
6161485,0
6161486,0
6161487,0
6161488,0
6161489,0
6161490,0
6161491,0
6161492,0
6161493,0
6161494,0
6161495,0
6161496,0
6161497,0
6161498,0
6161499,0
6161500,0
6161501,0
6161502,0
6161503,0
6161504,0
6161505,0
6161506,0
6165099,0
6165100,0
6165101,0
6165102,0
6165103,0
6165104,0
6165105,0
6165106,0
6165107,0
6165108,0
6165109,0
6165110,0
6165111,0
6165112,0
6165113,0
6165114,0
6165115,0
6165116,0
6165117,0
6165118,0
6165119,0
6165120,0
6165121,0
6165122,0
6165123,0
6168712,0
6168713,0
6168714,0
6168720,0
6168721,0
6168727,0
6168728,0
6168729,0
6168730,0
6168731,0
6172322,0
6172323,0
6172324,0
6172325,0
6172326,0
6172327,0
6172328,0
6172329,0
6172330,0
6172331,0
6172332,0
6172337,0
6172338,0
6172339,0
6172344,0
6172345,0
6172346,0
6172347,0
6172348,0
6175939,0
6175940,0
6175941,0
6175942,0
6175943,0
6175944,0
6175945,0
6175946,0
6175947,0
6175948,0
6175949,0
6175955,0
6175956,0
6175962,0
6175963,0
6175964,0
6175965,0
6179555,0
6179556,0
6179557,0
6179558,0
6179559,0
6179560,0
6179561,0
6179562,0
6179563,0
6179564,0
6179565,0
6179566,0
6179572,0
6179573,0
6179579,0
6179580,0
6179581,0
6182979,0
6182980,0
6183172,0
6183173,0
6183174,0
6183175,0
6183176,0
6183177,0
6183178,0
6183179,0
6186596,0
6186597,0
6186598,0
6186599,0
6186600,0
6186601,0
6186787,0
6186788,0
6186789,0
6186790,0
6186791,0
6186792,0
6186793,0
6186794,0
6186795,0
6186796,0
6186797,0
6190216,0
6190217,0
6190218,0
6190219,0
6190403,0
6190404,0
6190405,0
6190406,0
6190407,0
6190408,0
6190409,0
6190410,0
6190411,0
6190412,0
6190413,0
6190414,0
6193833,0
6193834,0
6193835,0
6193836,0
6193837,0
6194020,0
6194021,0
6194022,0
6194023,0
6194024,0
6194025,0
6194026,0
6194027,0
6194028,0
6194029,0
6194030,0
6194031,0
6197453,0
6197636,0
6197637,0
6197638,0
6197639,0
6197640,0
6197641,0
6197642,0
6197643,0
6197644,0
6201253,0
6201254,0
6201255,0
6201256,0
6201257,0
6201258,0
6201259,0
6201260,0
6201261,0
6201262,0
6204690,0
6204870,0
6204871,0
6204873,0
6204874,0
6204875,0
6204876,0
6204877,0
6204878,0
6204879,0
6208308,0
6208309,0
6208484,0
6208485,0
6208486,0
6208487,0
6208488,0
6208490,0
6208491,0
6208492,0
6208493,0
6208494,0
6208495,0
6208496,0
6208497,0
6212089,0
6212090,0
6212091,0
6212092,0
6212093,0
6212094,0
6212095,0
6212096,0
6212097,0
6212098,0
6212101,0
6212102,0
6212103,0
6212104,0
6212105,0
6212106,0
6212107,0
6212108,0
6212109,0
6212110,0
6212111,0
