cell_id,therm_prs
3281510,0.39691
3281511,0.39021
3285127,0.37671
3285128,0.38608
3288744,0.36579
3288745,0.37945
3292360,0.33867
3292361,0.3594
3292362,0.37564
3295977,0.31845
3295978,0.30772
3299594,0.3078
3299595,0.30664
3299596,0.32437
3303214,0.34275
3303215,0.35779
3303216,0.368
3303217,0.37921
3303218,0.47811
3306832,0.36664
3306833,0.37438
3306834,0.38164
3306835,0.43661
3310448,0.38362
3310449,0.39396
3310450,0.38523
3310451,0.38257
3314065,0.40677
3321299,0.39599
3321303,0.47404
3324916,0.42124
3324917,0.46207
3324918,0.45928
3324919,0.47831
3324920,0.48368
3328533,0.4063
3328534,0.43495
3328535,0.44701
3328536,0.45854
3328537,0.47013
3437151,0.61589
3437152,0.64226
3437153,0.6734
3440766,0.58091
3440767,0.6046
3440768,0.62606
3440769,0.65352
3440770,0.6763
3444383,0.57738
3444384,0.60711
3444385,0.63429
3444386,0.65692
3448000,0.57764
3448001,0.60527
3451617,0.56494
3451618,0.59179
3455233,0.53297
3455234,0.55952
3455235,0.5808
3458850,0.52818
3462466,0.46502
3462467,0.50628
3466082,0.40714
3466083,0.45065
3469698,0.31684
3469699,0.37623
3469700,0.43744
3473315,0.28528
3473316,0.35504
3476932,0.24184
3476933,0.28296
3480549,0.19754
3480550,0.21731
3484166,0.16635
3484167,0.17212
3487783,0.14846
3487784,0.14944
3491400,0.13637
3491401,0.12825
3495018,0.12103
3495019,0.10966
3498635,0.11875
3498636,0.11849
3498637,0.16293
3502252,0.12488
3502253,0.15088
3502254,0.28071
3502255,0.3268
3505870,0.21742
3505871,0.40203
3505872,0.46153
3509487,0.2481
3509488,0.41392
3513104,0.18295
3513105,0.25796
3516721,0.13693
3516722,0.13972
3516723,0.13765
3520339,0.12098
3520340,0.14015
3520341,0.16619
3523956,0.10998
3523957,0.13985
3523958,0.17296
3527573,0.1
3527574,0.11675
3527575,0.13073
3527576,0.10831
3531191,0.09786
3531192,0.09408
3531193,0.08469
3534807,0.08315
3534808,0.08938
3534809,0.07998
3534810,0.07237
3538424,0.06879
3538425,0.08158
3538426,0.07823
3538427,0.06587
3542041,0.05443
3542042,0.0695
3542043,0.07688
3542044,0.06855
3545658,0.04899
3545659,0.062
3549275,0.06017
3549276,0.06204
3552893,0.08403
3552894,0.13845
3556510,0.10259
3556511,0.14538
3556512,0.21524
3556513,0.1511
3560128,0.12736
3560129,0.14963
3560130,0.12023
3560131,0.07423
3563746,0.10512
3563747,0.09545
3563748,0.07846
3563749,0.06563
3567363,0.0912
3567364,0.08494
3567365,0.08019
3567366,0.06894
3567367,0.05929
3567368,0.05057
3570980,0.09635
3570981,0.09175
3570982,0.08716
3570983,0.0751
3570984,0.06407
3570985,0.05083
3570986,0.04285
3570987,0.0297
3574599,0.09377
3574600,0.08124
3574601,0.06612
3574602,0.05344
3574603,0.04491
3574604,0.02921
3574605,0.00853
3578216,0.10037
3578217,0.08927
3578218,0.07505
3578219,0.06063
3578220,0.04844
3578221,0.03243
3578222,0.01386
3578223,0.01158
3581834,0.09783
3581835,0.08433
3581836,0.06981
3581837,0.05468
3581838,0.03752
3581839,0.02033
3581840,0.0129
3581841,0.01624
3585451,0.11071
3585452,0.09375
3585453,0.07681
3585454,0.06092
3585455,0.04365
3585456,0.02471
3585457,0.01164
3585458,0
3585459,0
3589067,0.12376
3589068,0.11943
3589069,0.10616
3589070,0.08902
3589071,0.07264
3589072,0.05517
3589073,0.03599
3589074,0.01678
3589075,0
3589076,0
3592684,0.1361
3592685,0.12784
3592687,0.10553
3592688,0.08729
3592689,0.06913
3592690,0.04971
3592691,0.02854
3592692,0.00632
3592693,0
3592694,0.02187
3596302,0.14149
3596303,0.13021
3596305,0.10058
3596306,0.0824
3596307,0.06306
3596308,0.04175
3596309,0.01809
3596310,0
3596311,0.02072
3596312,0.25737
3599923,0.0974
3599924,0.07905
3599925,0.0576
3599926,0.03417
3599927,0.0117
3599928,0.01418
3599929,0.13062000000000001
3603543,0.04892
3603544,0.02423
3603545,0.01319
3603546,0.03013
3603547,0.05419
3607162,0.01737
3607163,0
3607164,0
3607165,0
3610780,0
3610781,0
3610782,0
3614397,0.01729
3614398,0
3614399,0
3618015,0
3618016,0.00434
3618017,0.19559000000000001
3621632,0.01912
3621633,0.01949
3621634,0.13889
3625250,0.01848
3625251,0.04404
3625252,0.00841
3628867,0.02563
3628868,0.01625
3628869,0
3632484,0.04102
3632485,0.01713
3632486,0
3632487,0.00351
3636102,0.03411
3636103,0.00969
3636104,0.00774
3636105,0.02703
3639720,0.02578
3639721,0.01741
3639722,0.01744
3639723,0
3643338,0.02615
3643339,0.00804
3643340,0
3643341,0.11585
3646955,0.04088
3646956,0.01983
3646957,0.00176
3646958,0.11421
3646959,0.48074
3650573,0.0353
3650574,0.01711
3650575,0.08656
3650576,0.44696
3654190,0.05089
3654191,0.02801
3654192,0.03897
3654193,0.31283
3654194,0
3657808,0.03655
3657809,0.03826
3657810,0.10919
3657811,0
3661426,0.03318
3661427,0.02701
3661428,0.0206
3661429,0
3665044,0.0086
3665045,0
3665046,0
3668661,0.01911
3668662,0
3668663,0
3668664,0.01613
3672279,0.0086
3672280,0.01086
3672281,0.1992
3675896,0.0213
3675897,0.03326
3675898,0.25199
3675899,0.38791
3679514,0.02951
3679515,0.09901
3679516,0.11033
3683131,0.03442
3683132,0.02549
3683133,0.04287
3686749,0.01299
3686750,0
3686751,0
3690367,0
3690368,0
3690369,0
3693984,0.01059
3693985,0
3693986,0
3697602,0
3697603,0
3697604,0
3701220,0
3701221,0
3704837,0
3704838,0
3708455,0
3708456,0
3712072,0
3712073,0
3715690,0
3715691,0
3719307,0
3719308,0
3722925,0
3726542,0
3726543,0
3730159,0
3730160,0
3733776,0
3733777,0
3733778,0
3737394,0
3737395,0
3741012,0
3741013,0
3744629,0
3744630,0
3744631,0
3748247,0
3748248,0
3751865,0
3751866,0
3755482,0
3755483,0
3759099,0
3759100,0
3759101,0
3762717,0
3762718,0
3762719,0
3766335,0
3766336,0
3769953,0
3769954,0
3773570,0
3773571,0
3777187,0
3777188,0
3777189,0
3780804,0
3780805,0
3780806,0
3784421,0
3784422,0
3784423,0
3788038,0.00736
3788039,0
3788040,0
3788041,0
3788042,0
3791654,0.06141
3791655,0.02928
3791656,0.0088
3791657,0.00113
3791658,0
3791659,0
3791660,0
3795276,0
3795277,0
3798894,0
3798895,0
3802512,0
3802513,0
3806129,0
3806130,0
3809746,0
3809747,0
