cell_id,therm_prs
1372722,0.01737
1372723,0.06781
1372724,0.06985
1372725,0.12716
1372726,0.11863
1376339,0
1376340,0.09141
1376341,0.10431
1376342,0.15001
1376343,0.12086
1376344,0
1376345,0
1376346,0
1379956,0
1379961,0
1379962,0
1379963,0
1383580,0
1390803,0
1390804,0
1394418,0
1394419,0
1394420,0
1394421,0
1398031,0
1398032,0
1398033,0
1398034,0
1398035,0
1398036,0
1401647,0
1401648,0
1401649,0
1405263,0
1405264,0
1405265,0
1408879,0
1408880,0
1408881,0
1412494,0
1412495,0
1412496,0
1416110,0
1416111,0
1416112,0
1419727,0
1419728,0
1419729,0
1423344,0
1423345,0
1423346,0
1426961,0
1426984,0.0329
1426985,0.10794
1430571,0
1430575,0
1430576,0
1430577,0
1430601,0.04328
1430602,0.1266
1434218,0
1434219,0.13572
1437833,0
1437834,0
1437835,0
1437836,0
1441447,0.01246
1441448,0.04747
1441449,0
1441450,0
1441452,0
1441453,0
1445064,0.02262
1445065,0.07012
1448680,0.05161
1448681,0.0624
1452297,0.08948
1452298,0.10508
1452316,0.30147
1452317,0.29182
1455914,0.1693
1455915,0.41921
1455933,0.26813
1455934,0.26084
1459531,0.12218999999999999
1459532,0.35781
1463148,0.132
1463149,0.1025
1463150,0
1466765,0.1787
1466766,0.05978
1466767,0
1470338,0
1470339,0
1470382,0.146
1470383,0
1470384,0
1470410,0
1470411,0
1473954,0
1473955,0
1473999,0.15685
1474000,0
1474001,0
1474028,0.37101
1477570,0
1477571,0
1477572,0
1477617,0.04735
1477618,0
1481185,0
1481186,0
1481187,0
1481234,0.08394
1481235,0
1481236,0
1481237,0
1484801,0
1484802,0
1484803,0
1484852,0
1484853,0
1488415,0
1488416,0
1488417,0
1488418,0
1488469,0
1488470,0
1488471,0
1488500,0.52821
1488501,0.2527
1488502,0.37955
1492032,0
1492033,0
1492034,0
1492088,0
1492118,0.56449
1492119,0.56193
1492120,0.62474
1492121,0.55583
1492122,0.38899
1495647,0
1495648,0
1495649,0
1495705,0
1495738,0.67323
1495739,0.26754
1499264,0
1499265,0
1499322,0
1499355,0.79855
1499356,0.54342
1502881,0.03102
1502933,0.14468
1502934,0.14135
1502935,0.12626
1502939,0
1506550,0.09857
1506551,0.10248
1506552,0.1075
1506553,0.09361
1506555,0
1506556,0
1510166,0.16597
1510167,0.09825
1510168,0.1068
1510169,0.11646
1510206,0.86461
1510207,0.85194
1510208,0.88716
1510215,0.71423
1513784,0.11124
1513785,0.11519
1513786,0.11093
1513823,0.88914
1513824,0.88064
1513828,0.95023
1513829,0.96336
1513833,0
1517400,0.1387
1517401,0.00622
1517445,0.97858
1517446,0.99452
1517448,1
1517449,0.93221
1517450,0.09671
1521017,0.11949
1521018,0
1521065,1
1521066,0.98951
1521067,0.76133
1524634,0.12191
1524635,0
1524636,0
1528252,0
1528253,0
1528254,0
1528266,0.24631
1528267,0.44492
1528304,1
1528305,0.98367
1528309,0.82336
1528327,0
1528328,0
1528329,0.09126
1528330,0.42814
1531870,0
1531871,0
1531882,0
1531883,0
1531884,0.50076
1531926,0.92015
1531927,0.24236
1531944,0.33296
1531945,0.34717
1531946,0.52052
1531947,0.67265
1535488,0
1535489,0
1535499,0
1535500,0
1535543,1
1535544,0.25828
1535563,0.80801
1535564,0.73414
1535565,0.53095
1535566,0
1535567,0
1535568,0
1539105,0
1539106,0
1539116,0
1539117,0
1539159,1
1539160,1
1539161,1
1539182,0.61705
1539183,0
1539184,0
1539185,0
1539186,0
1542684,0.85838
1542685,0.82295
1542686,0.77566
1542687,0.73639
