cell_id,therm_prs
1983116,0.86612
1983117,0.8669
1983118,0.86846
1983119,0.87091
1983120,0.87508
1983121,0.87921
1986733,0.87378
1986734,0.87457
1986735,0.87643
1986736,0.87996
1986737,0.88408
2048145,0.88419
2048146,0.88908
2048163,0.91062
2084474,0.96248
2088072,0.97351
2088091,0.95253
2088092,0.95786
2088093,0.96233
2088094,0.96546
2091689,0.98437
2091696,1
2091697,0.98249
2095314,0.97913
2098922,0.96997
2098931,0.98046
2102539,0.9857
2102547,1
2102567,0.95879
2106164,1
2109772,0.97468
2109781,1
2109800,0.95832
2109801,0.95974
2113389,0.99246
2113400,0.99365
2113401,0.99066
2113402,0.9894
2113408,0.98411
2113409,0.97771
2113410,0.95648
2113411,0.94204
2117026,0.98124
2117027,0.96225
2117028,0.94557
2120622,0.98609
2120644,0.9694
2120645,0.95122
2124261,0.97498
2127855,1
2127865,1
2127866,1
2127878,0.97885
2131482,0.9965
2131495,0.98165
2135112,0.98288
2135113,0.97891
2135114,0.97569
2135115,0.96743
2138705,1
2138730,0.98049
2138731,0.97484
2138732,0.96942
2156808,0.98351
2156809,0.98293
2156810,0.98461
2160425,0.98486
2160426,0.98494
2164049,0.98133
2167658,0.9866
2167664,0.98261
2167665,0.98085
2167666,0.97835
2171274,0.98628
2171275,0.98571
2171277,0.98619
2171278,0.98594
2171279,0.98511
2171280,0.98318
2171281,0.97875
2171282,0.97771
2171283,0.97656
2174891,0.97915
2174892,0.98458
2174894,0.98668
2174895,0.98564
2174896,0.98133
2174897,0.97749
2174898,0.97651
2174899,0.9769
2174900,0.97833
2178484,0.99836
2178485,1
2178517,0.98287
2178518,0.98731
2178519,0.99011
2178520,0.99054
2178521,0.99055
2182101,1
2182134,0.9857
2182135,0.99118
2182136,0.99338
2185751,0.98597
2189367,0.98092
2189368,0.9871
2189369,0.99403
2192984,0.98267
2192985,0.98829
2192986,0.99385
2196601,0.98276
2196602,0.98782
2196603,0.9939
2200159,0.9862
2200160,0.9836
2200161,0.98366
2200162,0.98358
2200163,0.98185
2200164,0.9811
2200165,0.98381
2200166,0.98823
2200167,0.99047
2200168,0.99199
2200169,0.99197
2200170,0.99203
2200171,0.9942
2200172,0.99604
2200173,0.99808
2200174,1
2200175,1
2200229,0.98834
2200230,0.98598
2200231,0.97964
2200232,0.97817
2203778,0.99044
2203779,0.98876
2203780,0.98906
2203781,0.98938
2203782,0.99144
2203783,0.99362
2203846,0.98965
2203847,0.98816
2203848,0.9805
2203849,0.97804
2207456,0.99089
2207464,0.98994
