cell_id,therm_prs
1983116,1
1983117,1
1983118,1
1983119,1
1983120,1
1983121,1
1986733,1
1986734,1
1986735,1
1986736,1
1986737,1
2048145,1
2048146,1
2048163,1
2084474,1
2088072,1
2088091,1
2088092,1
2088093,1
2088094,1
2091689,1
2091696,1
2091697,1
2095314,1
2098922,1
2098931,1
2102539,1
2102547,1
2106164,1
2109772,1
2109781,1
2113389,1
2113400,1
2113401,1
2113402,1
2113408,1
2113409,1
2113410,1
2113411,1
2117026,1
2117027,1
2117028,1
2120622,1
2120644,1
2120645,1
2124261,1
2127855,1
2127865,1
2127866,1
2127878,1
2131482,1
2131495,1
2138705,1
2164049,1
2167664,1
2167665,1
2167666,1
2171279,1
2171280,1
2171281,1
2171282,1
2171283,1
2174896,1
2174897,1
2174898,1
2174899,1
2174900,1
2178484,1
2178485,1
2178517,1
2178518,1
2178519,1
2178520,1
2178521,1
2182101,1
2182134,1
2182135,1
2182136,1
2185751,1
2189367,1
2189368,1
2189369,1
2192984,1
2192985,1
2192986,1
2196601,1
2196602,1
2196603,1
2200159,1
2200160,1
2200161,1
2200162,1
2200163,1
2200164,1
2200165,1
2200166,1
2200167,1
2200168,1
2200169,1
2200170,1
2200171,1
2200172,1
2200173,1
2200174,1
2200175,1
2203778,1
2203779,1
2203780,1
2203781,1
2203782,1
2203783,1
2214652,1
2214653,1
2214654,1
2214655,1
2214656,1
2214657,1
2218269,1
2218270,1
2218271,1
2218272,1
2218273,1
2221723,1
2221897,1
2221898,1
2221913,1
2221916,1
2221917,1
2221918,1
2221919,1
2221920,1
2221921,1
2221940,1
2225340,1
2225514,1
2225530,1
2225537,1
2225538,1
2229131,1
2229146,1
2229147,1
2229155,1
2229170,1
2229171,1
2229172,1
2232734,1
2232748,1
2232763,1
2232764,1
2232771,1
2232787,1
2232788,1
2232789,1
2236380,1
2236381,1
2236388,1
2236403,1
2236404,1
2236405,1
2239977,1
2239996,1
2239997,1
2239998,1
2239999,1
2240004,1
2240005,1
2243591,1
2243592,1
2243593,1
2250800,1
2250801,1
2250802,1
2250803,1
2250818,1
2250819,1
2254415,1
2254416,1
2254417,1
2254418,1
2254419,1
2254420,1
2254421,1
2254422,1
2254423,1
2254424,1
2254435,1
2254436,1
2254437,1
2258026,1
2258027,1
2258028,1
2258029,1
2258030,1
2258031,1
2258032,1
2258033,1
2258041,1
2258051,1
2258052,1
2258053,1
2258054,1
2258055,1
2258056,1
2261639,1
2261640,1
2261641,1
2261642,1
2261643,1
2261644,1
2261645,1
2261646,1
2261647,1
2261668,1
2261669,1
2261670,1
2261671,1
2261672,1
2261673,1
2261674,1
2261675,1
2265255,1
2268869,1
2268870,1
2268871,1
2268872,1
2272483,1
2272484,1
2272485,1
2272486,1
2272487,1
2276099,1
2276100,1
2276101,1
2276102,1
2279713,1
2279714,1
2279715,1
2279716,1
2279717,1
2283206,1
2283330,1
2283331,1
2283332,1
2283333,1
2286823,1
2287014,1
2287015,1
2287016,1
2287017,1
2287018,1
2290439,1
2290630,1
2290631,1
2290632,1
2290633,1
2290634,1
2294056,1
2294248,1
2294249,1
2294250,1
2294251,1
2297673,1
2297834,1
2297865,1
2297866,1
2301289,1
2301447,1
2301448,1
2301449,1
2301450,1
2301451,1
2304906,1
2304907,1
2305064,1
2305065,1
2305066,1
2305067,1
2305068,1
2308642,1
2308643,1
2308644,1
2308645,1
2308646,1
2308647,1
2308648,1
2308649,1
2308650,1
2308651,1
2308652,1
2308655,1
2308656,1
2308686,1
2308687,1
2308730,1
2308731,1
2308732,1
2308762,1
2308763,1
2308764,1
2308765,1
2308766,1
2312259,1
2312260,1
2312261,1
2312262,1
2312263,1
2312264,1
2312265,1
2312266,1
2312267,1
2312268,1
2312303,1
2312304,1
2312305,1
2312306,1
2312347,1
2312348,1
2312349,1
2312379,1
2312380,1
2312381,1
2312382,1
2315876,1
2315877,1
2315878,1
2315879,1
2315880,1
2315881,1
2315882,1
2315922,1
2315923,1
2315964,1
2315965,1
2315995,1
2315996,1
2315997,1
2315998,1
2315999,1
2319478,1
2319531,1
2319539,1
2319599,1
2319600,1
2319612,1
2319613,1
2319614,1
2319615,1
2319616,1
2323095,1
2323229,1
2323230,1
2323231,1
2323232,1
2323233,1
2326848,1
2326849,1
2326850,1
2330328,1
2330360,1
2330361,1
2330362,1
2330363,1
2330364,1
2330365,1
2330368,1
2330369,1
2330370,1
2330393,1
2330394,1
2330419,1
2330420,1
2330421,1
2330422,1
2333945,1
2334011,1
2334037,1
2334038,1
2334039,1
2334040,1
2334041,1
2334042,1
2337628,1
2337655,1
2337656,1
2337657,1
2337658,1
2337659,1
2337660,1
2341245,1
2341273,1
2341274,1
2341277,1
2341278,1
2341279,1
2341280,1
2341281,1
2341282,1
2344894,1
2344895,1
2344896,1
2344897,1
2344898,1
2344899,1
2344900,1
2348311,1
2348516,1
2352098,1
2352099,1
2352100,1
2352151,1
2352152,1
2355544,1
2355545,1
2355716,1
2355768,1
2355769,1
2359161,1
2359162,1
2359372,1
2359373,1
2362778,1
2362779,1
2362989,1
2362990,1
2362991,1
2366394,1
2366395,1
2366396,1
2366397,1
2366608,1
2366609,1
2370011,1
2370012,1
2370013,1
2370014,1
2370225,1
2370226,1
2370227,1
2373720,1
2373721,1
2373722,1
2373723,1
2373724,1
2373725,1
2373726,1
2373807,1
2373808,1
2373809,1
2373810,1
2373843,1
2373888,1
2373889,1
2373890,1
2373891,1
2377337,1
2377338,1
2377339,1
2377340,1
2377341,1
2377342,1
2377424,1
2377425,1
2377426,1
2377504,1
2377505,1
2377506,1
2377507,1
2380953,1
2380954,1
2380956,1
2380957,1
2380958,1
2381043,1
2381121,1
2381122,1
2381123,1
2381124,1
2384569,1
2384570,1
2384574,1
2388099,1
2388186,1
2388187,1
2388325,1
2388326,1
2388327,1
2388328,1
2388329,1
2391716,1
2391803,1
2391923,1
2391924,1
2391925,1
2391926,1
2391927,1
2391940,1
2391941,1
2391942,1
2391943,1
2391944,1
2391945,1
2391946,1
2395420,1
2395530,1
2395531,1
2395532,1
2395533,1
2395534,1
2395535,1
2395537,1
2395538,1
2395539,1
2395540,1
2395541,1
2395556,1
2395557,1
2395558,1
2395559,1
2395560,1
2395561,1
2395562,1
2395563,1
2395570,1
2395571,1
2395572,1
2395573,1
2395574,1
2395575,1
2395576,1
2395577,1
2395578,1
2395579,1
2395580,1
2399036,1
2399037,1
2399150,1
2399151,1
2399152,1
2399153,1
2399154,1
2399155,1
2399156,1
2399157,1
2399171,1
2399172,1
2399173,1
2399180,1
2399187,1
2399188,1
2399189,1
2399191,1
2399192,1
2399193,1
2399194,1
2399197,1
2399198,1
2399199,1
2402653,1
2402724,1
2402725,1
2402726,1
2402727,1
2402728,1
2402788,1
2402789,1
2402803,1
2402804,1
2402805,1
2402815,1
2402816,1
2406270,1
2406340,1
2406341,1
2406342,1
2406343,1
2406344,1
2406345,1
2406405,1
2406407,1
2406419,1
2406420,1
2406421,1
2406422,1
2409886,1
2409887,1
2409957,1
2409958,1
2409960,1
2410022,1
2410023,1
2410024,1
2410025,1
2410026,1
2410027,1
2413503,1
2413504,1
2413643,1
2413644,1
2413645,1
2417120,1
2417121,1
2417178,1
2417179,1
2417180,1
2417181,1
2417290,1
2420737,1
2420794,1
2420795,1
2420796,1
2420797,1
2420798,1
2420799,1
2420907,1
2420908,1
2420909,1
2420910,1
2424271,1
2424272,1
2424353,1
2424354,1
2424411,1
2424412,1
2424413,1
2424414,1
2424415,1
2424416,1
2424524,1
2424525,1
2427888,1
2427889,1
2427890,1
2427970,1
2428029,1
2428030,1
2428142,1
2428143,1
2431505,1
2431506,1
2431507,1
2431759,1
2431760,1
2435121,1
2435122,1
2435123,1
2435124,1
2435340,1
2435341,1
2435342,1
2438856,1
2438857,1
2438957,1
2438958,1
2438959,1
2438960,1
2439001,1
2439002,1
2439003,1
2442471,1
2442472,1
2442473,1
2442474,1
2442574,1
2442575,1
2442576,1
2442577,1
2442619,1
2442620,1
2446087,1
2446088,1
2446089,1
2446191,1
2446192,1
2446193,1
2446237,1
2449796,1
2449797,1
2449798,1
2449799,1
2449800,1
2449801,1
2449802,1
2449803,1
2449804,1
2449810,1
2453319,1
2453320,1
2453321,1
2453380,1
2453381,1
2453412,1
2453413,1
2453414,1
2453417,1
2453418,1
2453419,1
2453420,1
2453421,1
2453422,1
2453423,1
2453424,1
2453484,1
2453485,1
2453502,1
2453503,1
2453504,1
2456936,1
2456937,1
2456938,1
2456996,1
2456997,1
2456998,1
2456999,1
2457000,1
2457029,1
2457030,1
2457036,1
2457037,1
2457038,1
2457039,1
2457040,1
2457041,1
2457042,1
2457043,1
2457044,1
2457100,1
2457101,1
2457102,1
2457119,1
2457120,1
2457121,1
2460516,1
2460518,1
2460521,1
2460522,1
2460523,1
2460623,1
2460624,1
2460641,1
2460642,1
2460645,1
2460646,1
2460647,1
2460683,1
2460684,1
2460691,1
2460692,1
2460693,1
2460694,1
2460695,1
2460696,1
2460697,1
2460698,1
2460705,1
2460706,1
2460744,1
2460745,1
2460746,1
2464133,1
2464134,1
2464135,1
2464137,1
2464138,1
2464139,1
2464240,1
2464241,1
2464258,1
2464259,1
2464262,1
2464263,1
2464264,1
2464298,1
2464299,1
2464300,1
2464301,1
2464307,1
2464308,1
2464310,1
2464311,1
2464312,1
2464313,1
2464314,1
2464315,1
2464316,1
2464322,1
2464323,1
2464361,1
2464362,1
2467749,1
2467750,1
2467751,1
2467858,1
2467859,1
2467860,1
2467861,1
2467880,1
2467881,1
2467882,1
2467883,1
2467884,1
2467913,1
2467914,1
2467915,1
2467916,1
