cell_id,therm_prs
1066501,0
1066502,0
1070119,0
1070120,0
1616184,0
1619801,0
1619802,0
1623418,0
1623419,0
1623420,0
1627036,0
1627038,0
1630653,0
1630654,0
1630655,0
1905623,0
1945420,0
1945421,0
1974363,0
1999583,0
1999584,0
2010435,0
2014053,0
2017670,0
2017677,0
2024911,0
2024912,0
2024913,0
2028527,0
2032143,0
2032144,0
2032145,0
2032150,0
2032151,0
2035759,0
2035760,0
2035761,0
2035762,0
2035768,0
2039376,0
2039377,0
2039378,0
2039379,0
2039380,0
2039385,0
2042994,0
2042995,0
2042996,0
2042997,0
2046612,0
2046613,0
2046614,0
2050228,0
2050229,0
2050230,0
2050231,0
2053838,0
2053839,0
2053840,0
2053844,0
2053845,0
2053846,0
2053847,0
2057456,0
2057457,0
2057462,0
2057463,0
2057464,0
2057465,0
2057585,0
2057586,0
2061079,0
2061080,0
2061081,0
2061082,0
2061202,0
2061203,0
2064697,0
2064698,0
2064699,0
2064820,0
2064821,0
2064822,0
2068438,0
2068439,0
2071929,0
2071930,0
2071931,0
2071932,0
2072057,0
2075546,0
2075547,0
2075548,0
2075549,0
2079164,0
2079165,0
2079279,0
2079280,0
2082896,0
2082897,0
2082898,0
2082909,0
2082910,0
2086394,0
2086395,0
2086396,0
2086399,0
2086400,0
2086526,0
2086527,0
2086528,0
2090011,0
2090012,0
2090013,0
2090015,0
2090016,0
2090017,0
2090144,0
2090145,0
2090146,0
2093628,0
2093629,0
2093630,0
2093632,0
2093633,0
2093634,0
2097247,0
2097249,0
2097250,0
2097251,0
2100863,0
2100864,0
2100865,0
2100866,0
2100867,0
2100868,0
2100869,0
2100997,0
2100998,0
2104480,0
2104481,0
2104482,0
2104483,0
2104484,0
2104485,0
2104486,0
2104614,0
2104615,0
2104616,0
2108092,0
2108093,0
2108094,0
2108098,0
2108099,0
2108100,0
2108102,0
2108103,0
2108232,0
2108233,0
2111709,0
2111710,0
2111711,0
2111716,0
2111717,0
2111718,0
2111719,0
2111720,0
2111850,0
2111851,0
2115323,0
2115324,0
2115325,0
2115332,0
2115333,0
2115334,0
2115335,0
2115336,0
2118940,9.6e-4
2118941,0
2118942,0
2118943,0
2118944,0
2118945,0
2118949,0
2118950,0
2118951,0
2118952,0
2118953,0
2122557,0.00846
2122558,0
2122559,0
2122563,0
2122564,0
2122565,0
2122566,0
2122567,0
2122568,0
2122569,0
2122570,0
2122571,0
2126181,0
2126182,0
2126183,0
2126184,0
2126185,0
2126186,0
2126187,0
2129798,0
2129799,0
2129801,0
2129802,0
2129803,0
2129804,0
2133417,0
2133419,0
2133420,0
2133421,0
2158870,0.02517
2158871,0.01847
2162487,0.04483
2162488,0.04256
2180424,0.03746
2180425,0.01933
2180426,0.03001
2180427,0.03515
2184041,0.04732
2184042,0.02523
2184043,0.01525
2184044,0.02648
2184045,0.03776
2184194,0.11025
2184195,0.11321
2187654,0.07582
2187655,0.06373
2187658,0.06578
2187659,0.05221
2187660,0.04098
2187661,0.01669
2187662,0.04442
2187811,0.12282
2187812,0.12037
2191269,0.104
2191271,0.09362
2191272,0.07195
2191276,0.07909
2191277,0.06358
2191278,0.06763
2191279,0.06672
2191428,0.14866
2191429,0.13951
2194885,0.09565
2194886,0.09195
2194887,0.10575
2194890,0.08474
2198491,0.18221
2198492,0.17989
2198501,0.09589
2198502,0.09165
2198503,0.08499
2198504,0.10387
2198507,0.09824
2202107,0.19871
2202108,0.19058
2202109,0.18214
2202115,0.14663
2202116,0.13397
2202117,0.11323
2202118,0.0994
2202119,0.09445
2202120,0.08884
2202121,0.10851
2205732,0.16116
2205733,0.1409
2205734,0.12168
2205735,0.09433
2205736,0.09559
2205737,0.10429
2205738,0.11706
2209349,0.15653
2209350,0.14768
2209351,0.13878
2209352,0.11279
2209353,0.10984
2209354,0.11971
2209355,0.1252
2209518,0.20132
2212966,0.15977
2212968,0.15269
2212969,0.14437
2212970,0.13171
2213135,0.2155
2213136,0.21705
2216585,0.15485
2216586,0.14786
2220203,0.15287
2220204,0.15329
2288901,0.26986
2288902,0.24117
2288903,0.24327
2292519,0.29681
2292520,0.28228
2296138,0.30846
2310609,0.34097
2310610,0.30607
2310611,0.28595
2310612,0.28862
2314228,0.31658
2314229,0.31174
2354031,0.28409
2357647,0.28721
2357648,0.28439
2361264,0.31605
2361265,0.2998
2361266,0.32014
2364881,0.34819
2364882,0.3262
2364883,0.32851
2372118,0.36352
2375734,0.39369
2375735,0.38612
2379351,0.4279
2379352,0.41682
2379353,0.42654
2382968,0.46389
2382969,0.44908
2382970,0.44843
2390429,0.52223
2390430,0.52411
2394046,0.52249
2394047,0.52283
2394048,0.52471
2404669,0.47671
2408287,0.48426
2411908,0.52731
2411909,0.53336
2415525,0.53945
2415526,0.54235
2419138,0.38801
2419139,0.40844
2419140,0.46497
2419143,0.54286
2419144,0.54643
2422755,0.38184
2422756,0.38599
2422757,0.42941
2422758,0.46884
2426372,0.3829
2426373,0.37865
2426374,0.40106
2426375,0.43108
2429988,0.39923
2429989,0.37639
2429990,0.37508
2429991,0.38851
2429992,0.40137
2433605,0.40703
2433606,0.37237
2433607,0.36516
2433612,0.44176
2437223,0.38926
2437224,0.36096
2437230,0.45066
2437231,0.49438
2440841,0.38383
2440842,0.37162
2440843,0.37854
2440849,0.51938
2444458,0.41411
2444459,0.39415
2444460,0.39082
2444461,0.38906
2444466,0.49456
2448076,0.42413
2448077,0.41203
2451688,0.52883
2451689,0.51184
2451690,0.48692
2451691,0.46529
2451692,0.45467
2451693,0.44337
2455304,0.56988
2455305,0.53586
2455306,0.5219
2455307,0.50388
2455308,0.48045
2455309,0.46571
2455310,0.45079
2455311,0.42625
2455312,0.41879
2455319,0.47614
2455320,0.53616
2458921,0.59385
2458922,0.55208
2458923,0.52434
2458928,0.4111
2458929,0.39259
2458930,0.39974
2458936,0.46527
2458937,0.51263
2458938,0.55947
2462538,0.6238
2462539,0.57678
2466156,0.64206
2469773,0.61791
2473390,0.59851
2473635,0.56112
2473636,0.55883
2473637,0.56139
2477007,0.6115
2477252,0.55738
2477253,0.5526
2477254,0.56056
2480624,0.63626
2480625,0.62
2480869,0.56196
2480870,0.55745
2480871,0.56432
2484241,0.66192
2484242,0.62934
2484258,0.43074
2484259,0.45784
2487858,0.68721
2487859,0.68445
2487876,0.40951
2491475,0.70207
2491476,0.7026
2491493,0.39959
2491494,0.47171
2495092,0.70983
2495093,0.72349
2495110,0.40143
2495111,0.44867
2495341,0.56975
2498709,0.71187
2498710,0.71645
2498728,0.43881
2498729,0.51349
2498958,0.575
2498959,0.5746
2502327,0.69813
2502328,0.69099
2502345,0.43649
2502346,0.50631
2502575,0.57922
2502576,0.5758
2505944,0.69722
2505945,0.69076
2505946,0.69393
2505963,0.51136
2505964,0.54484
2509562,0.69575
2509563,0.6982
2509580,0.51815
2509581,0.54913
2509582,0.56625
2509810,0.5805
2509811,0.57867
2513179,0.69927
2513180,0.70164
2513199,0.55297
2513200,0.54006
2513427,0.58457
2513428,0.58209
2516797,0.69464
2516817,0.48105
2517045,0.58532
2520414,0.69362
2520415,0.69097
2520434,0.43816
2523945,0.38135
2524031,0.69539
2524032,0.69446
2524052,0.55973
2527569,0.37147
2527570,0.36617
2527571,0.37013
2527649,0.71056
2527669,0.52773
2531187,0.36986
2531188,0.37269
2531265,0.69389
2531266,0.73028
2531286,0.51166
2534804,0.37347
2534805,0.37263
2534809,0.39478
2534882,0.66757
2534883,0.6403
2534903,0.56387
2534904,0.56084
2535131,0.58703
2535132,0.58791
2538421,0.38117
2538422,0.37844
2538426,0.39392
2538427,0.39864
2538500,0.59559
2538520,0.57885
2538521,0.5901
2538748,0.58352
2538749,0.58861
2538750,0.59511
2542043,0.39916
2542044,0.40299
2542117,0.58303
2542137,0.60399
2542138,0.61187
2542365,0.58871
2542366,0.58636
2542367,0.5917
2545649,0.39464
2545650,0.38732
2545651,0.38862
2545659,0.40116
2545660,0.40107
2545661,0.4003
2545732,0.70557
2545733,0.68331
2545734,0.61437
2545735,0.60677
2545754,0.57291
2545755,0.61877
2549266,0.40021
2549276,0.40609
2549277,0.40458
2549278,0.40642
2549371,0.56092
2549372,0.61301
2549603,0.58828
2552889,0.40494
2552894,0.40946
2552895,0.41275
2552988,0.55172
2552989,0.6035
2553216,0.59286
2553217,0.58861
2553218,0.58831
2556604,0.59282
2556605,0.56449
2556606,0.59309
2556833,0.59646
2556834,0.59371
2556835,0.58754
2560221,0.59352
2560222,0.59474
2560223,0.60989
2563837,0.61681
2563838,0.60686
2563839,0.6251
2563840,0.64206
2564072,0.59347
2567362,0.44207
2567363,0.43731
2567364,0.43483
2567378,0.43828
2567379,0.43988
2567380,0.44254
2567381,0.44089
2567452,0.59349
2567453,0.58767
2567454,0.62266
2567455,0.62236
2567456,0.638
2567689,0.58803
2570972,0.43685
2571000,0.45205
2571001,0.44599
2571002,0.44727
2571003,0.448
2571050,0.68902
2571051,0.68287
2571052,0.69509
2571069,0.58521
2571070,0.60744
2571072,0.63412
2574611,0.45467
2574617,0.4589
2574618,0.45577
2574619,0.45149
2574620,0.45227
2574667,0.69376
2574668,0.68237
2574669,0.69187
2574686,0.63416
2578201,0.43263
2578202,0.43187
2578228,0.4552
2578234,0.46536
2578235,0.46006
2578236,0.45735
2578285,0.68395
2578286,0.6966
2578287,0.71217
2578303,0.66135
2578304,0.65233
2581818,0.43712
2581819,0.43386
2581846,0.45653
2581851,0.47364
2581852,0.46782
2581853,0.46706
2581902,0.68636
2581903,0.69603
2581904,0.70929
2581920,0.6622
2581921,0.65312
2585462,0.45735
2585463,0.45702
2585469,0.47387
2585470,0.47304
2585520,0.68914
2585521,0.69738
2585538,0.64739
2589078,0.471
2589079,0.46898
2589080,0.46523
2589138,0.69444
2589139,0.70017
2589155,0.63433
2592696,0.47563
2592697,0.47655
2592698,0.47183
2592699,0.47563
2592700,0.48071
2592755,0.69262
2592756,0.70402
2596372,0.68768
2596373,0.67619
2599990,0.66645
2599991,0.5834
2600243,0.57661
2600244,0.58068
2600245,0.58549
2603608,0.59755
2603860,0.57467
2603861,0.57515
2603862,0.58684
2607204,0.61471
2607205,0.61558
2607225,0.61862
2607477,0.57823
2607478,0.57667
2607479,0.58797
2610821,0.61254
2610822,0.61814
2610843,0.58667
2610863,0.62777
2610864,0.62437
2611094,0.58253
2611095,0.5857
2611096,0.59291
2614460,0.63035
2618077,0.6675
2621694,0.68198
2625312,0.6806
2628959,0.61333
2628960,0.62034
2632577,0.61884
2632578,0.62516
2632579,0.62824
2632580,0.62779
2632581,0.63052
2636167,0.65457
2636168,0.62719
2639784,0.65169
2639785,0.63021
2639786,0.61656
2643403,0.62272
2647056,0.62567
2647057,0.63507
2647263,0.61194
2647264,0.60551
2647265,0.60245
2650637,0.6235
2650673,0.62784
2650674,0.63648
2650675,0.64172
2650676,0.63902
2650880,0.61702
2650881,0.60948
2650882,0.60698
2654255,0.60334
2654290,0.6252
2654291,0.63891
2654292,0.64532
2654293,0.63926
2654294,0.64049
2654497,0.62013
2654498,0.61017
2654499,0.6067
2657907,0.6249
2657908,0.63777
2657909,0.65615
2657910,0.65111
2657911,0.63993
2661490,0.58714
2661491,0.57809
2661492,0.5146
2661493,0.45439
2661494,0.26296
2661501,0.58313
2661502,0.56562
2661503,0.59537
2661525,0.64021
2661526,0.64659
2661527,0.66399
2661528,0.65053
2661529,0.63861
2661530,0.6364
2665102,0.65201
2665108,0.57078
2665109,0.52871
2665110,0.51706
2665111,0.50748
2665117,0.53365
2665118,0.57717
2665119,0.59641
2665120,0.59681
2665121,0.56844
2665142,0.64789
2665143,0.65325
